,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
462335,2020-03-30,Bibb,Alabama,1007.0,2,0,7,Alabama,Bibb,22394,8.93096365097794,,
462336,2020-03-31,Bibb,Alabama,1007.0,3,0,7,Alabama,Bibb,22394,13.39644547646691,4.46548182548897,
462337,2020-04-01,Bibb,Alabama,1007.0,3,0,7,Alabama,Bibb,22394,13.39644547646691,0.0,
462338,2020-04-02,Bibb,Alabama,1007.0,4,0,7,Alabama,Bibb,22394,17.86192730195588,4.46548182548897,
462339,2020-04-03,Bibb,Alabama,1007.0,4,0,7,Alabama,Bibb,22394,17.86192730195588,0.0,
462340,2020-04-04,Bibb,Alabama,1007.0,4,0,7,Alabama,Bibb,22394,17.86192730195588,0.0,
462341,2020-04-05,Bibb,Alabama,1007.0,7,0,7,Alabama,Bibb,22394,31.258372778422792,13.396445476466912,
462342,2020-04-06,Bibb,Alabama,1007.0,7,0,7,Alabama,Bibb,22394,31.258372778422792,0.0,
462343,2020-04-07,Bibb,Alabama,1007.0,8,0,7,Alabama,Bibb,22394,35.72385460391176,4.465481825488968,
462344,2020-04-08,Bibb,Alabama,1007.0,9,0,7,Alabama,Bibb,22394,40.18933642940073,4.465481825488972,
462345,2020-04-09,Bibb,Alabama,1007.0,11,0,7,Alabama,Bibb,22394,49.12030008037867,8.930963650977937,
462346,2020-04-10,Bibb,Alabama,1007.0,11,0,7,Alabama,Bibb,22394,49.12030008037867,0.0,
462347,2020-04-11,Bibb,Alabama,1007.0,13,0,7,Alabama,Bibb,22394,58.05126373135661,8.930963650977944,
462348,2020-04-12,Bibb,Alabama,1007.0,16,0,7,Alabama,Bibb,22394,71.44770920782352,13.396445476466909,
462349,2020-04-13,Bibb,Alabama,1007.0,17,0,7,Alabama,Bibb,22394,75.9131910333125,4.465481825488979,4.784444813023897
462350,2020-04-14,Bibb,Alabama,1007.0,17,0,7,Alabama,Bibb,22394,75.9131910333125,0.0,4.46548182548897
462351,2020-04-15,Bibb,Alabama,1007.0,19,0,7,Alabama,Bibb,22394,84.84415468429043,8.93096365097793,5.103407800558823
462352,2020-04-16,Bibb,Alabama,1007.0,24,0,7,Alabama,Bibb,22394,107.17156381173528,22.327409127444852,6.379259750698529
462353,2020-04-17,Bibb,Alabama,1007.0,23,0,7,Alabama,Bibb,22394,102.7060819862463,-4.465481825488979,6.060296763163602
462354,2020-04-18,Bibb,Alabama,1007.0,26,0,7,Alabama,Bibb,22394,116.10252746271323,13.396445476466923,7.017185725768383
462355,2020-04-19,Bibb,Alabama,1007.0,28,0,7,Alabama,Bibb,22394,125.03349111369117,8.930963650977944,6.698222738233456
462356,2020-04-20,Bibb,Alabama,1007.0,32,0,7,Alabama,Bibb,22394,142.89541841564704,17.861927301955873,7.974074688373162
462357,2020-04-21,Bibb,Alabama,1007.0,32,0,7,Alabama,Bibb,22394,142.89541841564704,0.0,7.655111700838235
462358,2020-04-22,Bibb,Alabama,1007.0,34,0,7,Alabama,Bibb,22394,151.826382066625,8.930963650977958,7.974074688373163
462359,2020-04-23,Bibb,Alabama,1007.0,33,0,7,Alabama,Bibb,22394,147.36090024113602,-4.465481825488979,7.017185725768384
462360,2020-04-24,Bibb,Alabama,1007.0,34,0,7,Alabama,Bibb,22394,151.826382066625,4.465481825488979,7.33614871330331
462361,2020-04-25,Bibb,Alabama,1007.0,35,0,7,Alabama,Bibb,22394,156.29186389211398,4.465481825488979,7.0171857257683845
462362,2020-04-26,Bibb,Alabama,1007.0,38,0,7,Alabama,Bibb,22394,169.68830936858086,13.39644547646688,7.017185725768383
462363,2020-04-27,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,17.861927301955888,7.974074688373162
462364,2020-04-28,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,0.0,7.974074688373162
462365,2020-04-29,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,0.0,7.336148713303309
462366,2020-04-30,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,0.0,5.741333775628677
462367,2020-05-01,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,0.0,6.060296763163604
462368,2020-05-02,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,0.0,5.103407800558824
462369,2020-05-03,Bibb,Alabama,1007.0,43,0,7,Alabama,Bibb,22394,192.01571849602573,4.465481825488979,4.784444813023898
462370,2020-05-04,Bibb,Alabama,1007.0,42,0,7,Alabama,Bibb,22394,187.55023667053675,-4.465481825488979,3.1896298753492656
462371,2020-05-05,Bibb,Alabama,1007.0,43,0,7,Alabama,Bibb,22394,192.01571849602573,4.465481825488979,3.5085928628841927
462372,2020-05-06,Bibb,Alabama,1007.0,43,0,7,Alabama,Bibb,22394,192.01571849602573,0.0,2.8706668878143384
462373,2020-05-07,Bibb,Alabama,1007.0,44,0,7,Alabama,Bibb,22394,196.48120032151468,4.465481825488951,3.5085928628841905
462374,2020-05-08,Bibb,Alabama,1007.0,44,1,7,Alabama,Bibb,22394,196.48120032151468,0.0,3.189629875349264
462375,2020-05-09,Bibb,Alabama,1007.0,45,1,7,Alabama,Bibb,22394,200.94668214700366,4.465481825488979,3.189629875349264
462376,2020-05-10,Bibb,Alabama,1007.0,46,1,7,Alabama,Bibb,22394,205.4121639724926,4.465481825488951,2.5517039002794113
462377,2020-05-11,Bibb,Alabama,1007.0,46,1,7,Alabama,Bibb,22394,205.4121639724926,0.0,1.2758519501397052
462378,2020-05-12,Bibb,Alabama,1007.0,46,1,7,Alabama,Bibb,22394,205.4121639724926,0.0,1.2758519501397052
462379,2020-05-13,Bibb,Alabama,1007.0,46,1,7,Alabama,Bibb,22394,205.4121639724926,0.0,1.2758519501397052
462380,2020-05-14,Bibb,Alabama,1007.0,46,1,7,Alabama,Bibb,22394,205.4121639724926,0.0,1.2758519501397052
462381,2020-05-15,Bibb,Alabama,1007.0,49,1,7,Alabama,Bibb,22394,218.80860944895954,13.396445476466937,2.2327409127444864
462382,2020-05-16,Bibb,Alabama,1007.0,50,1,7,Alabama,Bibb,22394,223.2740912744485,4.465481825488951,2.5517039002794113
462383,2020-05-17,Bibb,Alabama,1007.0,50,1,7,Alabama,Bibb,22394,223.2740912744485,0.0,2.2327409127444846
462384,2020-05-18,Bibb,Alabama,1007.0,50,1,7,Alabama,Bibb,22394,223.2740912744485,0.0,2.5517039002794113
462385,2020-05-19,Bibb,Alabama,1007.0,51,1,7,Alabama,Bibb,22394,227.7395730999375,4.465481825489007,2.5517039002794135
462386,2020-05-20,Bibb,Alabama,1007.0,52,1,7,Alabama,Bibb,22394,232.20505492542645,4.465481825488951,2.8706668878143384
462387,2020-05-21,Bibb,Alabama,1007.0,52,1,7,Alabama,Bibb,22394,232.20505492542645,0.0,2.5517039002794135
462388,2020-05-22,Bibb,Alabama,1007.0,55,1,7,Alabama,Bibb,22394,245.6015004018934,13.396445476466937,3.508592862884195
462389,2020-05-23,Bibb,Alabama,1007.0,58,1,7,Alabama,Bibb,22394,258.99794587836027,13.39644547646688,4.146518837954045
462390,2020-05-24,Bibb,Alabama,1007.0,59,1,7,Alabama,Bibb,22394,263.4634277038492,4.465481825488951,4.146518837954045
462391,2020-05-25,Bibb,Alabama,1007.0,59,1,7,Alabama,Bibb,22394,263.4634277038492,0.0,4.146518837954045
462392,2020-05-26,Bibb,Alabama,1007.0,66,1,7,Alabama,Bibb,22394,294.72180048227204,31.258372778422824,6.379259750698532
462393,2020-05-27,Bibb,Alabama,1007.0,71,1,7,Alabama,Bibb,22394,317.0492096097169,22.327409127444866,7.9740746883731655
462394,2020-05-28,Bibb,Alabama,1007.0,71,1,7,Alabama,Bibb,22394,317.0492096097169,0.0,7.9740746883731655
462395,2020-05-29,Bibb,Alabama,1007.0,71,1,7,Alabama,Bibb,22394,317.0492096097169,0.0,7.0171857257683845
462396,2020-05-30,Bibb,Alabama,1007.0,72,1,7,Alabama,Bibb,22394,321.51469143520586,4.465481825488951,7.0171857257683845
462397,2020-05-31,Bibb,Alabama,1007.0,75,1,7,Alabama,Bibb,22394,334.91113691167277,13.396445476466909,7.974074688373164
462398,2020-06-01,Bibb,Alabama,1007.0,79,1,7,Alabama,Bibb,22394,352.7730642136287,17.861927301955916,9.249926638512871
462399,2020-06-02,Bibb,Alabama,1007.0,79,1,7,Alabama,Bibb,22394,352.7730642136287,0.0,8.930963650977942
462400,2020-06-03,Bibb,Alabama,1007.0,79,1,7,Alabama,Bibb,22394,352.7730642136287,0.0,8.612000663443016
462401,2020-06-04,Bibb,Alabama,1007.0,79,1,7,Alabama,Bibb,22394,352.7730642136287,0.0,8.612000663443016
462402,2020-06-05,Bibb,Alabama,1007.0,79,1,7,Alabama,Bibb,22394,352.7730642136287,0.0,7.655111700838235
