,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
269491,2020-03-23,Franklin,Alabama,1059.0,1,0,59,Alabama,Franklin,31362,3.1885721573879215,,,
269492,2020-03-24,Franklin,Alabama,1059.0,1,0,59,Alabama,Franklin,31362,3.1885721573879215,,0.0,
269493,2020-03-25,Franklin,Alabama,1059.0,2,0,59,Alabama,Franklin,31362,6.377144314775843,,3.1885721573879215,
269494,2020-03-26,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,,3.188572157387923,
269495,2020-03-27,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,,0.0,
269496,2020-03-28,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,,0.0,
269497,2020-03-29,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,7.288164931172392,0.0,
269498,2020-03-30,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,8.199185547568941,0.0,0.9110206163965492
269499,2020-03-31,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,9.11020616396549,0.0,0.9110206163965492
269500,2020-04-01,Franklin,Alabama,1059.0,3,0,59,Alabama,Franklin,31362,9.565716472163766,9.565716472163766,0.0,0.45551030819827465
269501,2020-04-02,Franklin,Alabama,1059.0,4,0,59,Alabama,Franklin,31362,12.754288629551686,10.021226780362039,3.18857215738792,0.4555103081982742
269502,2020-04-03,Franklin,Alabama,1059.0,5,0,59,Alabama,Franklin,31362,15.942860786939608,10.932247396758585,3.188572157387922,0.9110206163965487
269503,2020-04-04,Franklin,Alabama,1059.0,6,0,59,Alabama,Franklin,31362,19.131432944327532,12.298778321353408,3.1885721573879238,1.3665309245948234
269504,2020-04-05,Franklin,Alabama,1059.0,6,0,59,Alabama,Franklin,31362,19.131432944327532,13.665309245948231,0.0,1.3665309245948234
269505,2020-04-06,Franklin,Alabama,1059.0,7,0,59,Alabama,Franklin,31362,22.320005101715452,15.487350478741329,3.18857215738792,1.8220412327930977
