,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
700692,2020-05-30,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,,,,
700693,2020-05-31,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,0.0,0.0,,
700694,2020-06-01,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,0.0,0.0,,
700695,2020-06-02,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,0.0,0.0,,
700696,2020-06-03,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,0.0,0.0,,
700697,2020-06-04,Bristol Bay Borough,Alaska,2060.0,1,0,60,Alaska,Bristol Bay Borough,836,119.61722488038276,0.0,0.0,0.0,0.0,,
700698,2020-06-05,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,119.61722488038276,0.0,,
700699,2020-06-06,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700700,2020-06-07,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700701,2020-06-08,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700702,2020-06-09,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700703,2020-06-10,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700704,2020-06-11,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700705,2020-06-12,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,0.0,0.0
700706,2020-06-13,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,0.0,0.0
700707,2020-06-14,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,0.0,0.0
700708,2020-06-15,Bristol Bay Borough,Alaska,2060.0,2,0,60,Alaska,Bristol Bay Borough,836,239.23444976076553,0.0,0.0,0.0,0.0,0.0,0.0
700709,2020-06-16,Bristol Bay Borough,Alaska,2060.0,4,0,60,Alaska,Bristol Bay Borough,836,478.46889952153106,0.0,0.0,239.23444976076553,0.0,34.17634996582365,0.0
700710,2020-06-17,Bristol Bay Borough,Alaska,2060.0,4,0,60,Alaska,Bristol Bay Borough,836,478.46889952153106,0.0,0.0,0.0,0.0,34.17634996582365,0.0
700711,2020-06-18,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,119.61722488038276,0.0,51.26452494873547,0.0
700712,2020-06-19,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,51.26452494873547,0.0
700713,2020-06-20,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,51.26452494873547,0.0
700714,2020-06-21,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,51.26452494873547,0.0
700715,2020-06-22,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,51.26452494873547,0.0
700716,2020-06-23,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700717,2020-06-24,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700718,2020-06-25,Bristol Bay Borough,Alaska,2060.0,5,0,60,Alaska,Bristol Bay Borough,836,598.0861244019138,0.0,0.0,0.0,0.0,0.0,0.0
700719,2020-06-26,Bristol Bay Borough,Alaska,2060.0,21,0,60,Alaska,Bristol Bay Borough,836,2511.961722488038,0.0,0.0,1913.8755980861242,0.0,273.4107997265892,0.0
700720,2020-06-27,Bristol Bay Borough,Alaska,2060.0,21,0,60,Alaska,Bristol Bay Borough,836,2511.961722488038,0.0,0.0,0.0,0.0,273.4107997265892,0.0
700721,2020-06-28,Bristol Bay Borough,Alaska,2060.0,21,0,60,Alaska,Bristol Bay Borough,836,2511.961722488038,0.0,0.0,0.0,0.0,273.4107997265892,0.0
700722,2020-06-29,Bristol Bay Borough,Alaska,2060.0,21,0,60,Alaska,Bristol Bay Borough,836,2511.961722488038,0.0,0.0,0.0,0.0,273.4107997265892,0.0
700723,2020-06-30,Bristol Bay Borough,Alaska,2060.0,26,0,60,Alaska,Bristol Bay Borough,836,3110.047846889952,0.0,0.0,598.0861244019138,0.0,358.8516746411483,0.0
700724,2020-07-01,Bristol Bay Borough,Alaska,2060.0,26,0,60,Alaska,Bristol Bay Borough,836,3110.047846889952,0.0,0.0,0.0,0.0,358.8516746411483,0.0
700725,2020-07-02,Bristol Bay Borough,Alaska,2060.0,26,0,60,Alaska,Bristol Bay Borough,836,3110.047846889952,0.0,0.0,0.0,0.0,358.8516746411483,0.0
700726,2020-07-03,Bristol Bay Borough,Alaska,2060.0,41,0,60,Alaska,Bristol Bay Borough,836,4904.306220095694,0.0,0.0,1794.258373205742,0.0,341.76349965823647,0.0
700727,2020-07-04,Bristol Bay Borough,Alaska,2060.0,41,0,60,Alaska,Bristol Bay Borough,836,4904.306220095694,0.0,0.0,0.0,0.0,341.76349965823647,0.0
700728,2020-07-05,Bristol Bay Borough,Alaska,2060.0,41,0,60,Alaska,Bristol Bay Borough,836,4904.306220095694,0.0,0.0,0.0,0.0,341.76349965823647,0.0
700729,2020-07-06,Bristol Bay Borough,Alaska,2060.0,41,0,60,Alaska,Bristol Bay Borough,836,4904.306220095694,0.0,0.0,0.0,0.0,341.76349965823647,0.0
700730,2020-07-07,Bristol Bay Borough,Alaska,2060.0,49,0,60,Alaska,Bristol Bay Borough,836,5861.244019138756,0.0,0.0,956.9377990430621,0.0,393.02802460697194,0.0
700731,2020-07-08,Bristol Bay Borough,Alaska,2060.0,49,0,60,Alaska,Bristol Bay Borough,836,5861.244019138756,0.0,0.0,0.0,0.0,393.02802460697194,0.0
700732,2020-07-09,Bristol Bay Borough,Alaska,2060.0,49,0,60,Alaska,Bristol Bay Borough,836,5861.244019138756,0.0,0.0,0.0,0.0,393.02802460697194,0.0
700733,2020-07-10,Bristol Bay Borough,Alaska,2060.0,53,0,60,Alaska,Bristol Bay Borough,836,6339.712918660287,0.0,0.0,478.46889952153106,0.0,205.05809979494182,0.0
700734,2020-07-11,Bristol Bay Borough,Alaska,2060.0,53,0,60,Alaska,Bristol Bay Borough,836,6339.712918660287,0.0,0.0,0.0,0.0,205.05809979494182,0.0
700735,2020-07-12,Bristol Bay Borough,Alaska,2060.0,53,0,60,Alaska,Bristol Bay Borough,836,6339.712918660287,0.0,0.0,0.0,0.0,205.05809979494182,0.0
700736,2020-07-13,Bristol Bay Borough,Alaska,2060.0,53,0,60,Alaska,Bristol Bay Borough,836,6339.712918660287,0.0,0.0,0.0,0.0,205.05809979494182,0.0
700737,2020-07-14,Bristol Bay Borough,Alaska,2060.0,57,0,60,Alaska,Bristol Bay Borough,836,6818.181818181818,0.0,0.0,478.46889952153106,0.0,136.70539986329453,0.0
700738,2020-07-15,Bristol Bay Borough,Alaska,2060.0,61,0,60,Alaska,Bristol Bay Borough,836,7296.65071770335,0.0,0.0,478.46889952153197,0.0,205.05809979494194,0.0
700739,2020-07-16,Bristol Bay Borough,Alaska,2060.0,61,0,60,Alaska,Bristol Bay Borough,836,7296.65071770335,0.0,0.0,0.0,0.0,205.05809979494194,0.0
700740,2020-07-17,Bristol Bay Borough,Alaska,2060.0,61,0,60,Alaska,Bristol Bay Borough,836,7296.65071770335,0.0,0.0,0.0,0.0,136.70539986329464,0.0
700741,2020-07-18,Bristol Bay Borough,Alaska,2060.0,61,0,60,Alaska,Bristol Bay Borough,836,7296.65071770335,0.0,0.0,0.0,0.0,136.70539986329464,0.0
700742,2020-07-19,Bristol Bay Borough,Alaska,2060.0,61,0,60,Alaska,Bristol Bay Borough,836,7296.65071770335,0.0,0.0,0.0,0.0,136.70539986329464,0.0
700743,2020-07-20,Bristol Bay Borough,Alaska,2060.0,62,0,60,Alaska,Bristol Bay Borough,836,7416.267942583732,0.0,0.0,119.61722488038231,0.0,153.7935748462064,0.0
700744,2020-07-21,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,119.61722488038322,0.0,102.52904989747101,0.0
700745,2020-07-22,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700746,2020-07-23,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700747,2020-07-24,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700748,2020-07-25,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700749,2020-07-26,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700750,2020-07-27,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,17.088174982911823,0.0
700751,2020-07-28,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,0.0,0.0
700752,2020-07-29,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,0.0,0.0
700753,2020-07-30,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,0.0,0.0
700754,2020-07-31,Bristol Bay Borough,Alaska,2060.0,63,0,60,Alaska,Bristol Bay Borough,836,7535.8851674641155,0.0,0.0,0.0,0.0,0.0,0.0
700755,2020-08-01,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,358.85167464114693,0.0,51.26452494873521,0.0
700756,2020-08-02,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,0.0,0.0,51.26452494873521,0.0
700757,2020-08-03,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,0.0,0.0,51.26452494873521,0.0
700758,2020-08-04,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,0.0,0.0,51.26452494873521,0.0
700759,2020-08-05,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,0.0,0.0,51.26452494873521,0.0
700760,2020-08-06,Bristol Bay Borough,Alaska,2060.0,66,0,60,Alaska,Bristol Bay Borough,836,7894.736842105262,0.0,0.0,0.0,0.0,51.26452494873521,0.0
700761,2020-08-07,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,239.23444976076553,0.0,85.44087491455886,0.0
700762,2020-08-08,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700763,2020-08-09,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700764,2020-08-10,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700765,2020-08-11,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700766,2020-08-12,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700767,2020-08-13,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,34.17634996582358,0.0
700768,2020-08-14,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700769,2020-08-15,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700770,2020-08-16,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700771,2020-08-17,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700772,2020-08-18,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700773,2020-08-19,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700774,2020-08-20,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700775,2020-08-21,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700776,2020-08-22,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700777,2020-08-23,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700778,2020-08-24,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
700779,2020-08-25,Bristol Bay Borough,Alaska,2060.0,68,0,60,Alaska,Bristol Bay Borough,836,8133.971291866028,0.0,0.0,0.0,0.0,0.0,0.0
