,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
722867,2020-05-20,Northwest Arctic Borough,Alaska,2188.0,1,0.0,188,Alaska,Northwest Arctic Borough,7621,13.121637580370031,0.0,0.0,,,,
722868,2020-05-21,Northwest Arctic Borough,Alaska,2188.0,1,0.0,188,Alaska,Northwest Arctic Borough,7621,13.121637580370031,0.0,0.0,0.0,0.0,,
722869,2020-05-22,Northwest Arctic Borough,Alaska,2188.0,1,0.0,188,Alaska,Northwest Arctic Borough,7621,13.121637580370031,0.0,0.0,0.0,0.0,,
722870,2020-05-23,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,13.121637580370031,0.0,,
722871,2020-05-24,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,,
722872,2020-05-25,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,,
722873,2020-05-26,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,,
722874,2020-05-27,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,1.8745196543385758,0.0
722875,2020-05-28,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,1.8745196543385758,0.0
722876,2020-05-29,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,1.8745196543385758,0.0
722877,2020-05-30,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722878,2020-05-31,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722879,2020-06-01,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722880,2020-06-02,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722881,2020-06-03,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722882,2020-06-04,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
722883,2020-06-05,Northwest Arctic Borough,Alaska,2188.0,2,0.0,188,Alaska,Northwest Arctic Borough,7621,26.243275160740062,0.0,0.0,0.0,0.0,0.0,0.0
