,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
28375,2020-03-09,Pima,Arizona,4019.0,1,0,19,Arizona,Pima,1047279,0.09548553919251698,,,
28376,2020-03-10,Pima,Arizona,4019.0,1,0,19,Arizona,Pima,1047279,0.09548553919251698,,0.0,
28377,2020-03-11,Pima,Arizona,4019.0,1,0,19,Arizona,Pima,1047279,0.09548553919251698,,0.0,
28378,2020-03-12,Pima,Arizona,4019.0,1,0,19,Arizona,Pima,1047279,0.09548553919251698,,0.0,
28379,2020-03-13,Pima,Arizona,4019.0,1,0,19,Arizona,Pima,1047279,0.09548553919251698,,0.0,
28380,2020-03-14,Pima,Arizona,4019.0,2,0,19,Arizona,Pima,1047279,0.19097107838503397,,0.09548553919251698,
28381,2020-03-15,Pima,Arizona,4019.0,3,0,19,Arizona,Pima,1047279,0.286456617577551,0.13640791313216713,0.09548553919251701,
28382,2020-03-16,Pima,Arizona,4019.0,4,0,19,Arizona,Pima,1047279,0.38194215677006793,0.17733028707181728,0.09548553919251695,0.040922373939650133
28383,2020-03-17,Pima,Arizona,4019.0,4,0,19,Arizona,Pima,1047279,0.38194215677006793,0.21825266101146745,0.0,0.040922373939650133
28384,2020-03-18,Pima,Arizona,4019.0,5,0,19,Arizona,Pima,1047279,0.4774276959625849,0.2728158262643343,0.09548553919251695,0.05456316525286684
28385,2020-03-19,Pima,Arizona,4019.0,7,0,19,Arizona,Pima,1047279,0.668398774347619,0.35466057414363467,0.19097107838503408,0.08184474787930028
28386,2020-03-20,Pima,Arizona,4019.0,8,0,19,Arizona,Pima,1047279,0.7638843135401359,0.4501461133361516,0.0954855391925169,0.09548553919251698
28387,2020-03-21,Pima,Arizona,4019.0,12,0,19,Arizona,Pima,1047279,1.145826470310204,0.5865540264683188,0.38194215677006804,0.1364079131321671
28388,2020-03-22,Pima,Arizona,4019.0,17,0,19,Arizona,Pima,1047279,1.6232541662727888,0.7775251048533527,0.47742769596258494,0.190971078385034
28389,2020-03-23,Pima,Arizona,4019.0,24,0,19,Arizona,Pima,1047279,2.291652940620408,1.050340931117687,0.668398774347619,0.2728158262643343
28390,2020-03-24,Pima,Arizona,4019.0,42,0,19,Arizona,Pima,1047279,4.010392646085713,1.568691001019922,1.7187397054653055,0.5183500699022351
28391,2020-03-25,Pima,Arizona,4019.0,49,0,19,Arizona,Pima,1047279,4.678791420433333,2.1688858188014577,0.6683987743476196,0.6001948177815354
28392,2020-03-26,Pima,Arizona,4019.0,75,0,19,Arizona,Pima,1047279,7.161415439438775,3.0964596281001944,2.482624019005442,0.9275738092987366
28393,2020-03-27,Pima,Arizona,4019.0,102,4,19,Arizona,Pima,1047279,9.739524997636732,4.378694011542565,2.5781095581979567,1.2822343834423708
28394,2020-03-28,Pima,Arizona,4019.0,120,5,19,Arizona,Pima,1047279,11.458264703102039,5.851899473369969,1.7187397054653069,1.473205461827405
28395,2020-03-29,Pima,Arizona,4019.0,153,6,19,Arizona,Pima,1047279,14.6092874964551,7.707047091967444,3.151022793353061,1.8551476185974731
28396,2020-03-30,Pima,Arizona,4019.0,187,6,19,Arizona,Pima,1047279,17.855795829000677,9.930496076021766,3.2465083325455772,2.2234489840543246
28397,2020-03-31,Pima,Arizona,4019.0,202,6,19,Arizona,Pima,1047279,19.288078916888434,12.113022686136441,1.4322830878877575,2.182526610114675
