,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
160046,2020-03-19,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,,,,
160047,2020-03-20,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,0.0,0.0,,
160048,2020-03-21,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,0.0,0.0,,
160049,2020-03-22,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,0.0,0.0,,
160050,2020-03-23,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,0.0,0.0,,
160051,2020-03-24,Santa Cruz,Arizona,4023.0,1,0,23,Arizona,Santa Cruz,46498,2.1506301346294467,0.0,0.0,0.0,0.0,,
160052,2020-03-25,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,2.1506301346294467,0.0,,
160053,2020-03-26,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160054,2020-03-27,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160055,2020-03-28,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160056,2020-03-29,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160057,2020-03-30,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160058,2020-03-31,Santa Cruz,Arizona,4023.0,2,0,23,Arizona,Santa Cruz,46498,4.3012602692588935,0.0,0.0,0.0,0.0,0.30723287637563523,0.0
160059,2020-04-01,Santa Cruz,Arizona,4023.0,3,0,23,Arizona,Santa Cruz,46498,6.451890403888339,0.0,0.0,2.150630134629446,0.0,0.3072328763756351,0.0
160060,2020-04-02,Santa Cruz,Arizona,4023.0,3,0,23,Arizona,Santa Cruz,46498,6.451890403888339,0.0,0.0,0.0,0.0,0.3072328763756351,0.0
160061,2020-04-03,Santa Cruz,Arizona,4023.0,3,0,23,Arizona,Santa Cruz,46498,6.451890403888339,0.0,0.0,0.0,0.0,0.3072328763756351,0.0
160062,2020-04-04,Santa Cruz,Arizona,4023.0,4,0,23,Arizona,Santa Cruz,46498,8.602520538517787,0.0,0.0,2.1506301346294476,0.0,0.6144657527512705,0.0
160063,2020-04-05,Santa Cruz,Arizona,4023.0,4,0,23,Arizona,Santa Cruz,46498,8.602520538517787,0.0,0.0,0.0,0.0,0.6144657527512705,0.0
