,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
510351,2020-04-01,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,,
510352,2020-04-02,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510353,2020-04-03,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510354,2020-04-04,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510355,2020-04-05,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510356,2020-04-06,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510357,2020-04-07,Carroll,Arkansas,5015.0,1,0,15,Arkansas,Carroll,28380,3.5236081747709656,0.0,
510358,2020-04-08,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,3.5236081747709656,
510359,2020-04-09,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510360,2020-04-10,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510361,2020-04-11,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510362,2020-04-12,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510363,2020-04-13,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510364,2020-04-14,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,
510365,2020-04-15,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510366,2020-04-16,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510367,2020-04-17,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510368,2020-04-18,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510369,2020-04-19,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510370,2020-04-20,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510371,2020-04-21,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.2516862981979261
510372,2020-04-22,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.0
510373,2020-04-23,Carroll,Arkansas,5015.0,2,0,15,Arkansas,Carroll,28380,7.047216349541931,0.0,0.0
510374,2020-04-24,Carroll,Arkansas,5015.0,3,0,15,Arkansas,Carroll,28380,10.570824524312895,3.523608174770964,0.25168629819792604
510375,2020-04-25,Carroll,Arkansas,5015.0,4,0,15,Arkansas,Carroll,28380,14.094432699083862,3.523608174770967,0.5033725963958522
510376,2020-04-26,Carroll,Arkansas,5015.0,4,0,15,Arkansas,Carroll,28380,14.094432699083862,0.0,0.5033725963958522
510377,2020-04-27,Carroll,Arkansas,5015.0,4,0,15,Arkansas,Carroll,28380,14.094432699083862,0.0,0.5033725963958522
