,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
291753,2020-03-24,Cross,Arkansas,5037.0,1,0,37,Arkansas,Cross,16419,6.090504902856447,,
291754,2020-03-25,Cross,Arkansas,5037.0,1,0,37,Arkansas,Cross,16419,6.090504902856447,0.0,
291755,2020-03-26,Cross,Arkansas,5037.0,1,0,37,Arkansas,Cross,16419,6.090504902856447,0.0,
291756,2020-03-27,Cross,Arkansas,5037.0,1,0,37,Arkansas,Cross,16419,6.090504902856447,0.0,
291757,2020-03-28,Cross,Arkansas,5037.0,2,0,37,Arkansas,Cross,16419,12.181009805712893,6.090504902856447,
291758,2020-03-29,Cross,Arkansas,5037.0,2,0,37,Arkansas,Cross,16419,12.181009805712893,0.0,
291759,2020-03-30,Cross,Arkansas,5037.0,2,0,37,Arkansas,Cross,16419,12.181009805712893,0.0,
291760,2020-03-31,Cross,Arkansas,5037.0,2,0,37,Arkansas,Cross,16419,12.181009805712893,0.0,
291761,2020-04-01,Cross,Arkansas,5037.0,2,0,37,Arkansas,Cross,16419,12.181009805712893,0.0,
291762,2020-04-02,Cross,Arkansas,5037.0,3,0,37,Arkansas,Cross,16419,18.27151470856934,6.090504902856448,
291763,2020-04-03,Cross,Arkansas,5037.0,5,0,37,Arkansas,Cross,16419,30.45252451428223,12.18100980571289,
291764,2020-04-04,Cross,Arkansas,5037.0,5,0,37,Arkansas,Cross,16419,30.45252451428223,0.0,
291765,2020-04-05,Cross,Arkansas,5037.0,5,0,37,Arkansas,Cross,16419,30.45252451428223,0.0,
291766,2020-04-06,Cross,Arkansas,5037.0,5,0,37,Arkansas,Cross,16419,30.45252451428223,0.0,
291767,2020-04-07,Cross,Arkansas,5037.0,5,0,37,Arkansas,Cross,16419,30.45252451428223,0.0,1.7401442579589848
291768,2020-04-08,Cross,Arkansas,5037.0,6,0,37,Arkansas,Cross,16419,36.54302941713868,6.090504902856452,2.1751803224487314
291769,2020-04-09,Cross,Arkansas,5037.0,6,0,37,Arkansas,Cross,16419,36.54302941713868,0.0,2.1751803224487314
291770,2020-04-10,Cross,Arkansas,5037.0,6,0,37,Arkansas,Cross,16419,36.54302941713868,0.0,2.1751803224487314
291771,2020-04-11,Cross,Arkansas,5037.0,6,0,37,Arkansas,Cross,16419,36.54302941713868,0.0,1.7401442579589852
291772,2020-04-12,Cross,Arkansas,5037.0,6,0,37,Arkansas,Cross,16419,36.54302941713868,0.0,1.7401442579589852
291773,2020-04-13,Cross,Arkansas,5037.0,7,0,37,Arkansas,Cross,16419,42.63353431999513,6.090504902856445,2.1751803224487314
291774,2020-04-14,Cross,Arkansas,5037.0,7,0,37,Arkansas,Cross,16419,42.63353431999513,0.0,2.1751803224487314
291775,2020-04-15,Cross,Arkansas,5037.0,7,0,37,Arkansas,Cross,16419,42.63353431999513,0.0,2.1751803224487314
291776,2020-04-16,Cross,Arkansas,5037.0,7,0,37,Arkansas,Cross,16419,42.63353431999513,0.0,1.740144257958985
291777,2020-04-17,Cross,Arkansas,5037.0,8,0,37,Arkansas,Cross,16419,48.72403922285157,6.090504902856445,1.305108193469239
291778,2020-04-18,Cross,Arkansas,5037.0,8,0,37,Arkansas,Cross,16419,48.72403922285157,0.0,1.305108193469239
291779,2020-04-19,Cross,Arkansas,5037.0,8,0,37,Arkansas,Cross,16419,48.72403922285157,0.0,1.305108193469239
