,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
359872,2020-03-24,White,Arkansas,5145.0,4,0.0,145,Arkansas,White,78753,5.079171587114141,0.0,0.0,,,,,,,
359873,2020-03-25,White,Arkansas,5145.0,4,0.0,145,Arkansas,White,78753,5.079171587114141,0.0,0.0,0.0,0.0,0.0,,,,
359874,2020-03-26,White,Arkansas,5145.0,6,0.0,145,Arkansas,White,78753,7.618757380671212,0.0,0.0,2.0,2.5395857935570714,0.0,,,,
359875,2020-03-27,White,Arkansas,5145.0,6,0.0,145,Arkansas,White,78753,7.618757380671212,0.0,0.0,0.0,0.0,0.0,,,,
359876,2020-03-28,White,Arkansas,5145.0,6,0.0,145,Arkansas,White,78753,7.618757380671212,0.0,0.0,0.0,0.0,0.0,,,,
359877,2020-03-29,White,Arkansas,5145.0,6,0.0,145,Arkansas,White,78753,7.618757380671212,0.0,0.0,0.0,0.0,0.0,,,,
359878,2020-03-30,White,Arkansas,5145.0,9,0.0,145,Arkansas,White,78753,11.428136071006818,0.0,0.0,3.0,3.809378690335606,0.0,,,,
359879,2020-03-31,White,Arkansas,5145.0,11,0.0,145,Arkansas,White,78753,13.96772186456389,0.0,0.0,2.0,2.5395857935570714,0.0,1.2697928967785355,0.0,,
359880,2020-04-01,White,Arkansas,5145.0,15,0.0,145,Arkansas,White,78753,19.04689345167803,0.0,0.0,4.0,5.079171587114141,0.0,1.9953888377948414,0.0,11.0,1789.8409090909092
359881,2020-04-02,White,Arkansas,5145.0,22,0.0,145,Arkansas,White,78753,27.93544372912778,0.0,0.0,7.0,8.888550277449749,0.0,2.9023837640652235,0.0,18.0,1093.7916666666667
359882,2020-04-03,White,Arkansas,5145.0,23,0.0,145,Arkansas,White,78753,29.205236625906316,0.0,0.0,1.0,1.2697928967785366,0.0,3.0837827493193,0.0,17.0,1158.1323529411766
359883,2020-04-04,White,Arkansas,5145.0,23,0.0,145,Arkansas,White,78753,29.205236625906316,0.0,0.0,0.0,0.0,0.0,3.0837827493193,0.0,17.0,1158.1323529411766
359884,2020-04-05,White,Arkansas,5145.0,25,0.0,145,Arkansas,White,78753,31.744822419463386,0.0,0.0,2.0,2.5395857935570696,0.0,3.4465807198274527,0.0,19.0,1036.2236842105265
359885,2020-04-06,White,Arkansas,5145.0,27,0.0,145,Arkansas,White,78753,34.284408213020455,0.0,0.0,2.0,2.5395857935570696,0.0,3.265181734573376,0.0,21.0,937.5357142857142
359886,2020-04-07,White,Arkansas,5145.0,27,0.0,145,Arkansas,White,78753,34.284408213020455,0.0,0.0,0.0,0.0,0.0,2.9023837640652235,0.0,18.0,1093.7916666666667
359887,2020-04-08,White,Arkansas,5145.0,27,0.0,145,Arkansas,White,78753,34.284408213020455,0.0,0.0,0.0,0.0,0.0,2.1767878230489175,0.0,16.0,1230.515625
359888,2020-04-09,White,Arkansas,5145.0,27,0.0,145,Arkansas,White,78753,34.284408213020455,0.0,0.0,0.0,0.0,0.0,0.906994926270382,0.0,12.0,1640.6875
359889,2020-04-10,White,Arkansas,5145.0,28,0.0,145,Arkansas,White,78753,35.55420110979899,0.0,0.0,1.0,1.269792896778533,0.0,0.9069949262703815,0.0,6.0,3281.375
359890,2020-04-11,White,Arkansas,5145.0,28,0.0,145,Arkansas,White,78753,35.55420110979899,0.0,0.0,0.0,0.0,0.0,0.9069949262703815,0.0,5.0,3937.6499999999996
359891,2020-04-12,White,Arkansas,5145.0,28,0.0,145,Arkansas,White,78753,35.55420110979899,0.0,0.0,0.0,0.0,0.0,0.5441969557622287,0.0,5.0,3937.6499999999996
