,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
716133,2020-05-10,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,,,,
716134,2020-05-11,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716135,2020-05-12,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716136,2020-05-13,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716137,2020-05-14,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716138,2020-05-15,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716139,2020-05-16,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,,
716140,2020-05-17,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,0.0,0.0
716141,2020-05-18,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,0.0,0.0
716142,2020-05-19,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,0.0,0.0
716143,2020-05-20,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,0.0,0.0
716144,2020-05-21,Bent,Colorado,8011.0,1,0.0,11,Colorado,Bent,5577,17.930787161556392,0.0,0.0,0.0,0.0,0.0,0.0
716145,2020-05-22,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,17.930787161556392,0.0,2.5615410230794846,0.0
716146,2020-05-23,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716147,2020-05-24,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716148,2020-05-25,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716149,2020-05-26,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716150,2020-05-27,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716151,2020-05-28,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,2.5615410230794846,0.0
716152,2020-05-29,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,0.0,0.0
716153,2020-05-30,Bent,Colorado,8011.0,2,0.0,11,Colorado,Bent,5577,35.861574323112784,0.0,0.0,0.0,0.0,0.0,0.0
