,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
64558,2020-03-13,Clear Creek,Colorado,8019.0,1,0,19,Colorado,Clear Creek,9700,10.309278350515465,,
64559,2020-03-14,Clear Creek,Colorado,8019.0,1,0,19,Colorado,Clear Creek,9700,10.309278350515465,0.0,
64560,2020-03-15,Clear Creek,Colorado,8019.0,1,0,19,Colorado,Clear Creek,9700,10.309278350515465,0.0,
64561,2020-03-16,Clear Creek,Colorado,8019.0,1,0,19,Colorado,Clear Creek,9700,10.309278350515465,0.0,
64562,2020-03-17,Clear Creek,Colorado,8019.0,2,0,19,Colorado,Clear Creek,9700,20.61855670103093,10.309278350515465,
64563,2020-03-18,Clear Creek,Colorado,8019.0,2,0,19,Colorado,Clear Creek,9700,20.61855670103093,0.0,
64564,2020-03-19,Clear Creek,Colorado,8019.0,2,0,19,Colorado,Clear Creek,9700,20.61855670103093,0.0,
64565,2020-03-20,Clear Creek,Colorado,8019.0,2,0,19,Colorado,Clear Creek,9700,20.61855670103093,0.0,
64566,2020-03-21,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,10.30927835051546,
64567,2020-03-22,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,
64568,2020-03-23,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,
64569,2020-03-24,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,
64570,2020-03-25,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,
64571,2020-03-26,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,
64572,2020-03-27,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,1.4727540500736376
64573,2020-03-28,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,1.4727540500736376
64574,2020-03-29,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,1.4727540500736376
64575,2020-03-30,Clear Creek,Colorado,8019.0,3,0,19,Colorado,Clear Creek,9700,30.92783505154639,0.0,1.4727540500736376
64576,2020-03-31,Clear Creek,Colorado,8019.0,4,0,19,Colorado,Clear Creek,9700,41.23711340206186,10.30927835051547,1.472754050073638
64577,2020-04-01,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,20.61855670103092,2.945508100147275
64578,2020-04-02,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,0.0,2.945508100147275
64579,2020-04-03,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,0.0,2.945508100147275
64580,2020-04-04,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,0.0,2.2091310751104567
64581,2020-04-05,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,0.0,2.2091310751104567
64582,2020-04-06,Clear Creek,Colorado,8019.0,6,0,19,Colorado,Clear Creek,9700,61.85567010309278,0.0,2.2091310751104567
64583,2020-04-07,Clear Creek,Colorado,8019.0,7,0,19,Colorado,Clear Creek,9700,72.16494845360825,10.30927835051547,2.945508100147276
64584,2020-04-08,Clear Creek,Colorado,8019.0,7,0,19,Colorado,Clear Creek,9700,72.16494845360825,0.0,2.945508100147276
64585,2020-04-09,Clear Creek,Colorado,8019.0,10,0,19,Colorado,Clear Creek,9700,103.09278350515464,30.927835051546396,5.154639175257733
64586,2020-04-10,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,10.309278350515456,5.891016200294551
64587,2020-04-11,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,5.891016200294551
64588,2020-04-12,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,5.891016200294551
64589,2020-04-13,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,5.891016200294551
64590,2020-04-14,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,5.154639175257732
64591,2020-04-15,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64592,2020-04-16,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64593,2020-04-17,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64594,2020-04-18,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64595,2020-04-19,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64596,2020-04-20,Clear Creek,Colorado,8019.0,11,0,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,3.681885125184095
64597,2020-04-21,Clear Creek,Colorado,8019.0,11,1,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,2.9455081001472756
64598,2020-04-22,Clear Creek,Colorado,8019.0,11,1,19,Colorado,Clear Creek,9700,113.4020618556701,0.0,2.9455081001472756
64599,2020-04-23,Clear Creek,Colorado,8019.0,12,1,19,Colorado,Clear Creek,9700,123.71134020618555,10.309278350515456,1.4727540500736371
64600,2020-04-24,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,10.309278350515484,1.4727540500736391
64601,2020-04-25,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64602,2020-04-26,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64603,2020-04-27,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64604,2020-04-28,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64605,2020-04-29,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64606,2020-04-30,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64607,2020-05-01,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64608,2020-05-02,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64609,2020-05-03,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64610,2020-05-04,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64611,2020-05-05,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64612,2020-05-06,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,1.4727540500736391
64613,2020-05-07,Clear Creek,Colorado,8019.0,13,1,19,Colorado,Clear Creek,9700,134.02061855670104,0.0,0.7363770250368208
64614,2020-05-08,Clear Creek,Colorado,8019.0,14,1,19,Colorado,Clear Creek,9700,144.3298969072165,10.309278350515456,0.7363770250368188
64615,2020-05-09,Clear Creek,Colorado,8019.0,14,1,19,Colorado,Clear Creek,9700,144.3298969072165,0.0,0.7363770250368188
64616,2020-05-10,Clear Creek,Colorado,8019.0,14,1,19,Colorado,Clear Creek,9700,144.3298969072165,0.0,0.7363770250368188
64617,2020-05-11,Clear Creek,Colorado,8019.0,14,1,19,Colorado,Clear Creek,9700,144.3298969072165,0.0,0.7363770250368188
64618,2020-05-12,Clear Creek,Colorado,8019.0,15,1,19,Colorado,Clear Creek,9700,154.63917525773195,10.309278350515456,1.4727540500736371
64619,2020-05-13,Clear Creek,Colorado,8019.0,15,1,19,Colorado,Clear Creek,9700,154.63917525773195,0.0,1.4727540500736371
64620,2020-05-14,Clear Creek,Colorado,8019.0,15,1,19,Colorado,Clear Creek,9700,154.63917525773195,0.0,1.4727540500736371
64621,2020-05-15,Clear Creek,Colorado,8019.0,15,1,19,Colorado,Clear Creek,9700,154.63917525773195,0.0,1.4727540500736371
64622,2020-05-16,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,10.309278350515484,2.209131075110457
64623,2020-05-17,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,2.209131075110457
64624,2020-05-18,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,2.209131075110457
64625,2020-05-19,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,2.209131075110457
64626,2020-05-20,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,2.209131075110457
64627,2020-05-21,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,2.209131075110457
64628,2020-05-22,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,1.4727540500736391
64629,2020-05-23,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,1.4727540500736391
64630,2020-05-24,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,1.4727540500736391
64631,2020-05-25,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,1.4727540500736391
64632,2020-05-26,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,0.7363770250368208
64633,2020-05-27,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,0.7363770250368208
64634,2020-05-28,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,0.7363770250368208
64635,2020-05-29,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,0.7363770250368208
64636,2020-05-30,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,5.075305255429287e-16
64637,2020-05-31,Clear Creek,Colorado,8019.0,16,1,19,Colorado,Clear Creek,9700,164.94845360824743,0.0,5.075305255429287e-16
64638,2020-06-01,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,10.309278350515456,0.7363770250368188
64639,2020-06-02,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64640,2020-06-03,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64641,2020-06-04,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64642,2020-06-05,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64643,2020-06-06,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64644,2020-06-07,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64645,2020-06-08,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64646,2020-06-09,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64647,2020-06-10,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64648,2020-06-11,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64649,2020-06-12,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64650,2020-06-13,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64651,2020-06-14,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,0.7363770250368188
64652,2020-06-15,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,5.075305255429287e-16
64653,2020-06-16,Clear Creek,Colorado,8019.0,17,1,19,Colorado,Clear Creek,9700,175.2577319587629,0.0,5.075305255429287e-16
64654,2020-06-17,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,10.309278350515456,0.7363770250368188
64655,2020-06-18,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
64656,2020-06-19,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
64657,2020-06-20,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
64658,2020-06-21,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
64659,2020-06-22,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
64660,2020-06-23,Clear Creek,Colorado,8019.0,18,1,19,Colorado,Clear Creek,9700,185.56701030927834,0.0,0.7363770250368188
