,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
491602,2020-03-27,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,,,,,,,
491603,2020-03-28,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491604,2020-03-29,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491605,2020-03-30,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491606,2020-03-31,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491607,2020-04-01,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491608,2020-04-02,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,,,,
491609,2020-04-03,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
491610,2020-04-04,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491611,2020-04-05,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491612,2020-04-06,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491613,2020-04-07,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491614,2020-04-08,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491615,2020-04-09,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491616,2020-04-10,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491617,2020-04-11,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
491618,2020-04-12,Lincoln,Colorado,8073.0,1,0.0,73,Colorado,Lincoln,5701,17.540782318891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
