,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
254127,2020-03-22,Columbia,Florida,12023.0,2,0,23,Florida,Columbia,71686,2.7899450380827497,0.0,0.0,,,,
254128,2020-03-23,Columbia,Florida,12023.0,2,0,23,Florida,Columbia,71686,2.7899450380827497,0.0,0.0,0.0,0.0,,
254129,2020-03-24,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,1.3949725190413753,0.0,,
254130,2020-03-25,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,,
254131,2020-03-26,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,,
254132,2020-03-27,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,,
254133,2020-03-28,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,,
254134,2020-03-29,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,0.1992817884344822,0.0
254135,2020-03-30,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,0.1992817884344822,0.0
254136,2020-03-31,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,0.0,0.0
254137,2020-04-01,Columbia,Florida,12023.0,3,0,23,Florida,Columbia,71686,4.184917557124125,0.0,0.0,0.0,0.0,0.0,0.0
254138,2020-04-02,Columbia,Florida,12023.0,4,0,23,Florida,Columbia,71686,5.5798900761654995,0.0,0.0,1.3949725190413744,0.0,0.19928178843448205,0.0
254139,2020-04-03,Columbia,Florida,12023.0,4,0,23,Florida,Columbia,71686,5.5798900761654995,0.0,0.0,0.0,0.0,0.19928178843448205,0.0
254140,2020-04-04,Columbia,Florida,12023.0,10,0,23,Florida,Columbia,71686,13.949725190413748,0.0,0.0,8.369835114248248,0.0,1.3949725190413746,0.0
254141,2020-04-05,Columbia,Florida,12023.0,13,0,23,Florida,Columbia,71686,18.13464274753787,0.0,0.0,4.184917557124123,0.0,1.9928178843448208,0.0
254142,2020-04-06,Columbia,Florida,12023.0,15,0,23,Florida,Columbia,71686,20.924587785620623,0.0,0.0,2.7899450380827524,0.0,2.391381461213786,0.0
254143,2020-04-07,Columbia,Florida,12023.0,16,0,23,Florida,Columbia,71686,22.319560304661998,0.0,0.0,1.3949725190413744,0.0,2.590663249648268,0.0
254144,2020-04-08,Columbia,Florida,12023.0,16,0,23,Florida,Columbia,71686,22.319560304661998,0.0,0.0,0.0,0.0,2.590663249648268,0.0
254145,2020-04-09,Columbia,Florida,12023.0,18,0,23,Florida,Columbia,71686,25.109505342744747,0.0,0.0,2.789945038082749,0.0,2.7899450380827497,0.0
254146,2020-04-10,Columbia,Florida,12023.0,23,0,23,Florida,Columbia,71686,32.08436793795162,0.0,0.0,6.974862595206872,0.0,3.7863539802551602,0.0
254147,2020-04-11,Columbia,Florida,12023.0,25,0,23,Florida,Columbia,71686,34.874312976034375,0.0,0.0,2.789945038082756,0.0,2.989226826517233,0.0
254148,2020-04-12,Columbia,Florida,12023.0,26,0,23,Florida,Columbia,71686,36.26928549507574,0.0,0.0,1.3949725190413673,0.0,2.590663249648268,0.0
254149,2020-04-13,Columbia,Florida,12023.0,27,0,23,Florida,Columbia,71686,37.664258014117124,0.0,0.0,1.3949725190413815,0.0,2.3913814612137863,0.0
254150,2020-04-14,Columbia,Florida,12023.0,28,0,23,Florida,Columbia,71686,39.0592305331585,0.0,0.0,1.3949725190413744,0.0,2.3913814612137863,0.0
254151,2020-04-15,Columbia,Florida,12023.0,34,0,23,Florida,Columbia,71686,47.429065647406745,0.0,0.0,8.369835114248247,0.0,3.5870721918206785,0.0
254152,2020-04-16,Columbia,Florida,12023.0,35,0,23,Florida,Columbia,71686,48.82403816644812,0.0,0.0,1.3949725190413744,0.0,3.3877904033861967,0.0
254153,2020-04-17,Columbia,Florida,12023.0,35,0,23,Florida,Columbia,71686,48.82403816644812,0.0,0.0,0.0,0.0,2.3913814612137863,0.0
254154,2020-04-18,Columbia,Florida,12023.0,36,0,23,Florida,Columbia,71686,50.21901068548949,0.0,0.0,1.3949725190413744,0.0,2.192099672779303,0.0
254155,2020-04-19,Columbia,Florida,12023.0,39,0,23,Florida,Columbia,71686,54.403928242613624,0.0,0.0,4.18491755712413,0.0,2.5906632496482693,0.0
