,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
464843,2020-03-30,Appling,Georgia,13001.0,2,0,1,Georgia,Appling,18386,10.877841836179702,,
464844,2020-03-31,Appling,Georgia,13001.0,1,0,1,Georgia,Appling,18386,5.438920918089851,-5.438920918089851,
464845,2020-04-01,Appling,Georgia,13001.0,1,0,1,Georgia,Appling,18386,5.438920918089851,0.0,
464846,2020-04-02,Appling,Georgia,13001.0,3,0,1,Georgia,Appling,18386,16.31676275426955,10.8778418361797,
464847,2020-04-03,Appling,Georgia,13001.0,5,0,1,Georgia,Appling,18386,27.194604590449256,10.877841836179705,
464848,2020-04-04,Appling,Georgia,13001.0,5,0,1,Georgia,Appling,18386,27.194604590449256,0.0,
464849,2020-04-05,Appling,Georgia,13001.0,5,0,1,Georgia,Appling,18386,27.194604590449256,0.0,
464850,2020-04-06,Appling,Georgia,13001.0,6,0,1,Georgia,Appling,18386,32.6335255085391,5.4389209180898455,
464851,2020-04-07,Appling,Georgia,13001.0,6,0,1,Georgia,Appling,18386,32.6335255085391,0.0,
464852,2020-04-08,Appling,Georgia,13001.0,7,0,1,Georgia,Appling,18386,38.07244642662896,5.438920918089856,
464853,2020-04-09,Appling,Georgia,13001.0,7,0,1,Georgia,Appling,18386,38.07244642662896,0.0,
464854,2020-04-10,Appling,Georgia,13001.0,9,0,1,Georgia,Appling,18386,48.950288262808655,10.877841836179698,
464855,2020-04-11,Appling,Georgia,13001.0,9,0,1,Georgia,Appling,18386,48.950288262808655,0.0,
464856,2020-04-12,Appling,Georgia,13001.0,10,0,1,Georgia,Appling,18386,54.38920918089851,5.438920918089856,
464857,2020-04-13,Appling,Georgia,13001.0,13,0,1,Georgia,Appling,18386,70.70597193516807,16.316762754269554,4.273437864213455
464858,2020-04-14,Appling,Georgia,13001.0,13,0,1,Georgia,Appling,18386,70.70597193516807,0.0,4.661932215505587
464859,2020-04-15,Appling,Georgia,13001.0,14,0,1,Georgia,Appling,18386,76.14489285325791,5.438920918089849,5.050426566797719
464860,2020-04-16,Appling,Georgia,13001.0,17,0,1,Georgia,Appling,18386,92.46165560752746,16.316762754269547,5.438920918089851
464861,2020-04-17,Appling,Georgia,13001.0,18,0,1,Georgia,Appling,18386,97.90057652561731,5.438920918089849,5.050426566797719
464862,2020-04-18,Appling,Georgia,13001.0,20,0,1,Georgia,Appling,18386,108.77841836179702,10.877841836179712,5.8274152693819845
464863,2020-04-19,Appling,Georgia,13001.0,20,0,1,Georgia,Appling,18386,108.77841836179702,0.0,5.8274152693819845
464864,2020-04-20,Appling,Georgia,13001.0,21,0,1,Georgia,Appling,18386,114.21733927988687,5.438920918089849,5.8274152693819845
464865,2020-04-21,Appling,Georgia,13001.0,21,1,1,Georgia,Appling,18386,114.21733927988687,0.0,5.8274152693819845
464866,2020-04-22,Appling,Georgia,13001.0,47,2,1,Georgia,Appling,18386,255.629283150223,141.41194387033613,15.539774051685288
464867,2020-04-23,Appling,Georgia,13001.0,49,3,1,Georgia,Appling,18386,266.5071249864027,10.877841836179698,16.316762754269554
464868,2020-04-24,Appling,Georgia,13001.0,53,4,1,Georgia,Appling,18386,288.26280865876214,21.755683672359453,17.09375145685382
464869,2020-04-25,Appling,Georgia,13001.0,54,4,1,Georgia,Appling,18386,293.70172957685196,5.438920918089821,17.48224580814595
464870,2020-04-26,Appling,Georgia,13001.0,56,4,1,Georgia,Appling,18386,304.57957141303166,10.877841836179698,17.870740159438082
464871,2020-04-27,Appling,Georgia,13001.0,60,5,1,Georgia,Appling,18386,326.33525508539105,21.755683672359396,18.259234510730217
