,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
225580,2020-03-21,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,,
225581,2020-03-22,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225582,2020-03-23,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225583,2020-03-24,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225584,2020-03-25,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225585,2020-03-26,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225586,2020-03-27,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225587,2020-03-28,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225588,2020-03-29,Baldwin,Georgia,13009.0,2,0,9,Georgia,Baldwin,44890,4.455335263978615,0.0,
225589,2020-03-30,Baldwin,Georgia,13009.0,3,1,9,Georgia,Baldwin,44890,6.683002895967921,2.2276676319893065,
225590,2020-03-31,Baldwin,Georgia,13009.0,5,1,9,Georgia,Baldwin,44890,11.138338159946537,4.455335263978616,
225591,2020-04-01,Baldwin,Georgia,13009.0,7,1,9,Georgia,Baldwin,44890,15.59367342392515,4.455335263978613,
225592,2020-04-02,Baldwin,Georgia,13009.0,7,1,9,Georgia,Baldwin,44890,15.59367342392515,0.0,
225593,2020-04-03,Baldwin,Georgia,13009.0,11,1,9,Georgia,Baldwin,44890,24.50434395188238,8.91067052795723,
225594,2020-04-04,Baldwin,Georgia,13009.0,11,1,9,Georgia,Baldwin,44890,24.50434395188238,0.0,1.4320720491359833
225595,2020-04-05,Baldwin,Georgia,13009.0,15,1,9,Georgia,Baldwin,44890,33.415014479839606,8.910670527957226,2.0685485154186423
225596,2020-04-06,Baldwin,Georgia,13009.0,20,1,9,Georgia,Baldwin,44890,44.55335263978615,11.138338159946542,2.8641440982719666
225597,2020-04-07,Baldwin,Georgia,13009.0,27,1,9,Georgia,Baldwin,44890,60.147026063711294,15.593673423925146,3.97797791426662
225598,2020-04-08,Baldwin,Georgia,13009.0,30,1,9,Georgia,Baldwin,44890,66.83002895967921,6.683002895967917,4.455335263978614
225599,2020-04-09,Baldwin,Georgia,13009.0,32,1,9,Georgia,Baldwin,44890,71.28536422365784,4.4553352639786254,4.773573497119945
225600,2020-04-10,Baldwin,Georgia,13009.0,35,1,9,Georgia,Baldwin,44890,77.96836711962575,6.683002895967917,5.250930846831939
225601,2020-04-11,Baldwin,Georgia,13009.0,47,1,9,Georgia,Baldwin,44890,104.70037870349745,26.732011583871696,7.160360245679917
225602,2020-04-12,Baldwin,Georgia,13009.0,53,2,9,Georgia,Baldwin,44890,118.06638449543328,13.366005791935834,8.115074945103904
225603,2020-04-13,Baldwin,Georgia,13009.0,54,2,9,Georgia,Baldwin,44890,120.29405212742259,2.2276676319893056,8.115074945103904
225604,2020-04-14,Baldwin,Georgia,13009.0,69,2,9,Georgia,Baldwin,44890,153.7090666072622,33.41501447983961,10.183623460522549
225605,2020-04-15,Baldwin,Georgia,13009.0,93,2,9,Georgia,Baldwin,44890,207.17308977500556,53.46402316774336,13.684244025077174
225606,2020-04-16,Baldwin,Georgia,13009.0,100,2,9,Georgia,Baldwin,44890,222.76676319893073,15.593673423925168,14.798077841071828
225607,2020-04-17,Baldwin,Georgia,13009.0,112,2,9,Georgia,Baldwin,44890,249.4987747828024,26.732011583871667,16.071030773637144
225608,2020-04-18,Baldwin,Georgia,13009.0,108,2,9,Georgia,Baldwin,44890,240.58810425484518,-8.910670527957222,15.434554307354487
225609,2020-04-19,Baldwin,Georgia,13009.0,112,3,9,Georgia,Baldwin,44890,249.4987747828024,8.910670527957222,15.434554307354487
225610,2020-04-20,Baldwin,Georgia,13009.0,130,4,9,Georgia,Baldwin,44890,289.5967921586099,40.0980173758075,17.503102822773126
225611,2020-04-21,Baldwin,Georgia,13009.0,135,4,9,Georgia,Baldwin,44890,300.7351303185565,11.138338159946613,17.184864589631804
