,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
272488,2020-03-23,Burke,Georgia,13033.0,1,0,33,Georgia,Burke,22383,4.467676361524371,,
272489,2020-03-24,Burke,Georgia,13033.0,1,0,33,Georgia,Burke,22383,4.467676361524371,0.0,
272490,2020-03-25,Burke,Georgia,13033.0,1,0,33,Georgia,Burke,22383,4.467676361524371,0.0,
272491,2020-03-26,Burke,Georgia,13033.0,3,0,33,Georgia,Burke,22383,13.403029084573115,8.935352723048744,
272492,2020-03-27,Burke,Georgia,13033.0,3,0,33,Georgia,Burke,22383,13.403029084573115,0.0,
272493,2020-03-28,Burke,Georgia,13033.0,3,0,33,Georgia,Burke,22383,13.403029084573115,0.0,
272494,2020-03-29,Burke,Georgia,13033.0,4,0,33,Georgia,Burke,22383,17.870705446097485,4.46767636152437,
272495,2020-03-30,Burke,Georgia,13033.0,4,0,33,Georgia,Burke,22383,17.870705446097485,0.0,
272496,2020-03-31,Burke,Georgia,13033.0,8,0,33,Georgia,Burke,22383,35.74141089219497,17.870705446097485,
272497,2020-04-01,Burke,Georgia,13033.0,8,0,33,Georgia,Burke,22383,35.74141089219497,0.0,
272498,2020-04-02,Burke,Georgia,13033.0,8,0,33,Georgia,Burke,22383,35.74141089219497,0.0,
272499,2020-04-03,Burke,Georgia,13033.0,8,0,33,Georgia,Burke,22383,35.74141089219497,0.0,
272500,2020-04-04,Burke,Georgia,13033.0,9,0,33,Georgia,Burke,22383,40.20908725371934,4.467676361524369,
272501,2020-04-05,Burke,Georgia,13033.0,9,0,33,Georgia,Burke,22383,40.20908725371934,0.0,
272502,2020-04-06,Burke,Georgia,13033.0,10,0,33,Georgia,Burke,22383,44.676763615243715,4.467676361524376,2.8720776609799534
272503,2020-04-07,Burke,Georgia,13033.0,15,0,33,Georgia,Burke,22383,67.01514542286557,22.338381807621857,4.467676361524371
272504,2020-04-08,Burke,Georgia,13033.0,19,0,33,Georgia,Burke,22383,84.88585086896305,17.870705446097475,5.744155321959906
272505,2020-04-09,Burke,Georgia,13033.0,21,1,33,Georgia,Burke,22383,93.82120359201178,8.935352723048737,5.744155321959904
272506,2020-04-10,Burke,Georgia,13033.0,24,0,33,Georgia,Burke,22383,107.22423267658492,13.403029084573134,6.701514542286557
272507,2020-04-11,Burke,Georgia,13033.0,28,1,33,Georgia,Burke,22383,125.0949381226824,17.870705446097475,7.977993502722091
272508,2020-04-12,Burke,Georgia,13033.0,28,1,33,Georgia,Burke,22383,125.0949381226824,0.0,7.658873762613207
272509,2020-04-13,Burke,Georgia,13033.0,28,2,33,Georgia,Burke,22383,125.0949381226824,0.0,7.658873762613207
272510,2020-04-14,Burke,Georgia,13033.0,28,2,33,Georgia,Burke,22383,125.0949381226824,0.0,6.382394802177672
272511,2020-04-15,Burke,Georgia,13033.0,28,2,33,Georgia,Burke,22383,125.0949381226824,0.0,6.382394802177672
272512,2020-04-16,Burke,Georgia,13033.0,35,2,33,Georgia,Burke,22383,156.36867265335297,31.27373453067058,8.616232982939858
272513,2020-04-17,Burke,Georgia,13033.0,38,2,33,Georgia,Burke,22383,169.7717017379261,13.40302908457312,9.573592203266509
272514,2020-04-18,Burke,Georgia,13033.0,47,2,33,Georgia,Burke,22383,209.98078899164543,40.20908725371933,12.126550124137578
272515,2020-04-19,Burke,Georgia,13033.0,47,2,33,Georgia,Burke,22383,209.98078899164543,0.0,12.126550124137578
272516,2020-04-20,Burke,Georgia,13033.0,48,3,33,Georgia,Burke,22383,214.44846535316984,4.467676361524411,12.12655012413758
272517,2020-04-21,Burke,Georgia,13033.0,51,3,33,Georgia,Burke,22383,227.85149443774293,13.403029084573092,11.488310643919812
272518,2020-04-22,Burke,Georgia,13033.0,53,3,33,Georgia,Burke,22383,236.78684716079167,8.935352723048737,10.850071163702044
272519,2020-04-23,Burke,Georgia,13033.0,60,3,33,Georgia,Burke,22383,268.0605816914623,31.273734530670623,12.445669864246465
272520,2020-04-24,Burke,Georgia,13033.0,71,3,33,Georgia,Burke,22383,317.20502166823036,49.14443997676807,14.998627785117533
272521,2020-04-25,Burke,Georgia,13033.0,71,3,33,Georgia,Burke,22383,317.20502166823036,0.0,13.722148824681998
272522,2020-04-26,Burke,Georgia,13033.0,77,3,33,Georgia,Burke,22383,344.01107983737654,26.806058169146183,15.636867265335297
272523,2020-04-27,Burke,Georgia,13033.0,74,3,33,Georgia,Burke,22383,330.6080507528035,-13.403029084573063,14.67950804500865
272524,2020-04-28,Burke,Georgia,13033.0,74,3,33,Georgia,Burke,22383,330.6080507528035,0.0,14.67950804500865
272525,2020-04-29,Burke,Georgia,13033.0,84,3,33,Georgia,Burke,22383,375.28481436804714,44.67676361524366,17.87070544609748
272526,2020-04-30,Burke,Georgia,13033.0,85,3,33,Georgia,Burke,22383,379.75249072957155,4.467676361524411,15.955987005444184
272527,2020-05-01,Burke,Georgia,13033.0,86,3,33,Georgia,Burke,22383,384.2201670910959,4.467676361524354,15.317747525226414
272528,2020-05-02,Burke,Georgia,13033.0,86,3,33,Georgia,Burke,22383,384.2201670910959,0.0,12.445669864246463
272529,2020-05-03,Burke,Georgia,13033.0,86,3,33,Georgia,Burke,22383,384.2201670910959,0.0,12.445669864246463
272530,2020-05-04,Burke,Georgia,13033.0,87,3,33,Georgia,Burke,22383,388.6878434526203,4.467676361524411,12.445669864246463
272531,2020-05-05,Burke,Georgia,13033.0,88,3,33,Georgia,Burke,22383,393.15551981414467,4.467676361524354,11.807430384028695
272532,2020-05-06,Burke,Georgia,13033.0,89,3,33,Georgia,Burke,22383,397.623196175669,4.467676361524354,11.488310643919812
272533,2020-05-07,Burke,Georgia,13033.0,90,3,33,Georgia,Burke,22383,402.0908725371934,4.467676361524354,9.573592203266506
272534,2020-05-08,Burke,Georgia,13033.0,101,4,33,Georgia,Burke,22383,451.2353125139615,49.144439976768126,9.57359220326651
272535,2020-05-09,Burke,Georgia,13033.0,103,4,33,Georgia,Burke,22383,460.1706652370102,8.935352723048709,10.211831683484276
272536,2020-05-10,Burke,Georgia,13033.0,107,4,33,Georgia,Burke,22383,478.0413706831077,17.870705446097475,9.57359220326651
272537,2020-05-11,Burke,Georgia,13033.0,109,4,33,Georgia,Burke,22383,486.9767234061565,8.935352723048823,11.16919090381093
272538,2020-05-12,Burke,Georgia,13033.0,110,3,33,Georgia,Burke,22383,491.44439976768086,4.467676361524354,11.488310643919814
272539,2020-05-13,Burke,Georgia,13033.0,113,3,33,Georgia,Burke,22383,504.8474288522539,13.403029084573063,9.254472463157628
272540,2020-05-14,Burke,Georgia,13033.0,112,3,33,Georgia,Burke,22383,500.3797524907296,-4.467676361524354,8.61623298293986
272541,2020-05-15,Burke,Georgia,13033.0,112,3,33,Georgia,Burke,22383,500.3797524907296,0.0,8.297113242830976
272542,2020-05-16,Burke,Georgia,13033.0,112,3,33,Georgia,Burke,22383,500.3797524907296,0.0,8.297113242830976
272543,2020-05-17,Burke,Georgia,13033.0,112,3,33,Georgia,Burke,22383,500.3797524907296,0.0,8.297113242830976
272544,2020-05-18,Burke,Georgia,13033.0,116,4,33,Georgia,Burke,22383,518.250457936827,17.870705446097475,9.254472463157624
