,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
106324,2020-03-16,Forsyth,Georgia,13117.0,1,0,117,Georgia,Forsyth,244252,0.4094132289602542,,,
106325,2020-03-17,Forsyth,Georgia,13117.0,1,0,117,Georgia,Forsyth,244252,0.4094132289602542,,0.0,
106326,2020-03-18,Forsyth,Georgia,13117.0,2,0,117,Georgia,Forsyth,244252,0.8188264579205085,,0.4094132289602542,
106327,2020-03-19,Forsyth,Georgia,13117.0,3,0,117,Georgia,Forsyth,244252,1.2282396868807626,,0.4094132289602541,
106328,2020-03-20,Forsyth,Georgia,13117.0,3,0,117,Georgia,Forsyth,244252,1.2282396868807626,,0.0,
106329,2020-03-21,Forsyth,Georgia,13117.0,4,0,117,Georgia,Forsyth,244252,1.637652915841017,,0.40941322896025434,
106330,2020-03-22,Forsyth,Georgia,13117.0,5,0,117,Georgia,Forsyth,244252,2.0470661448012706,1.1112644786064043,0.4094132289602537,
106331,2020-03-23,Forsyth,Georgia,13117.0,7,0,117,Georgia,Forsyth,244252,2.865892602721779,1.4621901034294793,0.8188264579205082,0.35092562482307493
106332,2020-03-24,Forsyth,Georgia,13117.0,8,1,117,Georgia,Forsyth,244252,3.275305831682034,1.8716033323897336,0.409413228960255,0.4094132289602542
106333,2020-03-25,Forsyth,Georgia,13117.0,10,1,117,Georgia,Forsyth,244252,4.094132289602541,2.339504165487167,0.8188264579205073,0.4679008330974333
106334,2020-03-26,Forsyth,Georgia,13117.0,15,1,117,Georgia,Forsyth,244252,6.141198434403813,3.041355415133317,2.0470661448012715,0.7018512496461501
106335,2020-03-27,Forsyth,Georgia,13117.0,21,1,117,Georgia,Forsyth,244252,8.597677808165338,4.094132289602542,2.4564793737615256,1.0527768744692252
106336,2020-03-28,Forsyth,Georgia,13117.0,22,1,117,Georgia,Forsyth,244252,9.007091037125592,5.146909164071767,0.4094132289602541,1.0527768744692252
106337,2020-03-29,Forsyth,Georgia,13117.0,28,1,117,Georgia,Forsyth,244252,11.463570410887115,6.492124059226888,2.456479373761523,1.3452148951551206
106338,2020-03-30,Forsyth,Georgia,13117.0,36,1,117,Georgia,Forsyth,244252,14.738876242569148,8.188264579205084,3.275305831682033,1.6961405199781956
106339,2020-03-31,Forsyth,Georgia,13117.0,47,1,117,Georgia,Forsyth,244252,19.242421761131947,10.46928114055507,4.503545518562799,2.2810165613499875
106340,2020-04-01,Forsyth,Georgia,13117.0,50,1,117,Georgia,Forsyth,244252,20.470661448012706,12.808785306042237,1.2282396868807588,2.3395041654871664
106341,2020-04-02,Forsyth,Georgia,13117.0,53,1,117,Georgia,Forsyth,244252,21.69890113489347,15.031314263255044,1.228239686880766,2.2225289572128086
106342,2020-04-03,Forsyth,Georgia,13117.0,61,1,117,Georgia,Forsyth,244252,24.974206966575505,17.37081842874221,3.275305831682033,2.339504165487167
106343,2020-04-04,Forsyth,Georgia,13117.0,71,1,117,Georgia,Forsyth,244252,29.068339256178046,20.236711031463987,4.094132289602541,2.8658926027217793
106344,2020-04-05,Forsyth,Georgia,13117.0,73,1,117,Georgia,Forsyth,244252,29.887165714098554,22.86865321763705,0.8188264579205082,2.631942186173063
106345,2020-04-06,Forsyth,Georgia,13117.0,85,1,117,Georgia,Forsyth,244252,34.8001244616216,25.73454582035883,4.912958747523046,2.8658926027217793
106346,2020-04-07,Forsyth,Georgia,13117.0,99,1,117,Georgia,Forsyth,244252,40.531909667065165,28.77590123549215,5.731785205443565,3.0413554151333173
106347,2020-04-08,Forsyth,Georgia,13117.0,98,2,117,Georgia,Forsyth,244252,40.12249643810491,31.58330623407675,-0.4094132289602541,2.8074049985846012
106348,2020-04-09,Forsyth,Georgia,13117.0,109,2,117,Georgia,Forsyth,244252,44.626041956667706,34.858612065758784,4.503545518562795,3.275305831682034
106349,2020-04-10,Forsyth,Georgia,13117.0,119,4,117,Georgia,Forsyth,244252,48.72017424627025,38.250893105715186,4.094132289602541,3.392281039956392
106350,2020-04-11,Forsyth,Georgia,13117.0,128,5,117,Georgia,Forsyth,244252,52.40489330691254,41.584686541534396,3.684719060642294,3.333793435819214
106351,2020-04-12,Forsyth,Georgia,13117.0,133,5,117,Georgia,Forsyth,244252,54.451959451713805,45.093942789765144,2.0470661448012635,3.5092562482307508
106352,2020-04-13,Forsyth,Georgia,13117.0,143,5,117,Georgia,Forsyth,244252,58.546091741316346,48.48622382972154,4.094132289602541,3.392281039956393
106353,2020-04-14,Forsyth,Georgia,13117.0,153,5,117,Georgia,Forsyth,244252,62.64022403091889,51.64455445312921,4.094132289602541,3.158330623407675
106354,2020-04-15,Forsyth,Georgia,13117.0,157,5,117,Georgia,Forsyth,244252,64.2778769467599,55.09532309722278,1.6376529158410165,3.450768644093571
106355,2020-04-16,Forsyth,Georgia,13117.0,169,5,117,Georgia,Forsyth,244252,69.19083569428295,58.60457934545353,4.912958747523049,3.50925624823075
106356,2020-04-17,Forsyth,Georgia,13117.0,185,6,117,Georgia,Forsyth,244252,75.74144735764702,62.464761218507356,6.550611663364066,3.860181873053825
106357,2020-04-18,Forsyth,Georgia,13117.0,197,7,117,Georgia,Forsyth,244252,80.65440610517007,66.50040590397272,4.912958747523049,4.035644685465361
106358,2020-04-19,Forsyth,Georgia,13117.0,202,7,117,Georgia,Forsyth,244252,82.70147224997135,70.53605058943808,2.0470661448012777,4.035644685465363
106359,2020-04-20,Forsyth,Georgia,13117.0,211,7,117,Georgia,Forsyth,244252,86.38619131061364,74.51320767076626,3.684719060642294,3.9771570813281856
106360,2020-04-21,Forsyth,Georgia,13117.0,216,8,117,Georgia,Forsyth,244252,88.4332574554149,78.19792673140854,2.0470661448012635,3.6847190606422884
106361,2020-04-22,Forsyth,Georgia,13117.0,227,8,117,Georgia,Forsyth,244252,92.93680297397769,82.2920590210111,4.503545518562788,4.094132289602542
106362,2020-04-23,Forsyth,Georgia,13117.0,235,8,117,Georgia,Forsyth,244252,96.21210880565972,86.15224089406492,3.275305831682033,3.860181873053825
106363,2020-04-24,Forsyth,Georgia,13117.0,241,8,117,Georgia,Forsyth,244252,98.66858817942125,89.42754672574695,2.4564793737615247,3.2753058316820334
106364,2020-04-25,Forsyth,Georgia,13117.0,249,8,117,Georgia,Forsyth,244252,101.9438940111033,92.46890214088026,3.275305831682047,3.0413554151333186
106365,2020-04-26,Forsyth,Georgia,13117.0,252,8,117,Georgia,Forsyth,244252,103.17213369798405,95.39328234773923,1.2282396868807552,2.9243802068589586
106366,2020-04-27,Forsyth,Georgia,13117.0,271,8,117,Georgia,Forsyth,244252,110.95098504822889,98.90253859596997,7.778851350244835,3.50925624823075
106367,2020-04-28,Forsyth,Georgia,13117.0,284,9,117,Georgia,Forsyth,244252,116.27335702471218,102.87969567729814,5.322371976483296,3.9771570813281834
106368,2020-04-29,Forsyth,Georgia,13117.0,292,9,117,Georgia,Forsyth,244252,119.54866285639422,106.6813899462148,3.275305831682033,3.801694268916647
106369,2020-04-30,Forsyth,Georgia,13117.0,299,9,117,Georgia,Forsyth,244252,122.41455545911599,110.42459661099426,2.8658926027217717,3.743206664779467
106370,2020-05-01,Forsyth,Georgia,13117.0,309,10,117,Georgia,Forsyth,244252,126.50868774871854,114.40175369232244,4.094132289602555,3.9771570813281856
106371,2020-05-02,Forsyth,Georgia,13117.0,331,10,117,Georgia,Forsyth,244252,135.51577878584413,119.19773723157111,9.00709103712559,4.795983539248691
106372,2020-05-03,Forsyth,Georgia,13117.0,332,10,117,Georgia,Forsyth,244252,135.9251920148044,123.87674556254547,0.4094132289602612,4.679008330974335
106373,2020-05-04,Forsyth,Georgia,13117.0,341,10,117,Georgia,Forsyth,244252,139.60991107544666,127.970877852148,3.6847190606422657,4.094132289602539
106374,2020-05-05,Forsyth,Georgia,13117.0,347,10,117,Georgia,Forsyth,244252,142.0663904492082,131.65559691279032,2.456479373761539,3.684719060642288
106375,2020-05-06,Forsyth,Georgia,13117.0,356,10,117,Georgia,Forsyth,244252,145.7511095098505,135.3988035775698,3.684719060642294,3.743206664779468
106376,2020-05-07,Forsyth,Georgia,13117.0,361,10,117,Georgia,Forsyth,244252,147.79817565465174,139.02503503407488,2.0470661448012493,3.6262314565051077
106377,2020-05-08,Forsyth,Georgia,13117.0,364,10,117,Georgia,Forsyth,244252,149.02641534153253,142.24185326161975,1.2282396868807837,3.216818227544855
106378,2020-05-09,Forsyth,Georgia,13117.0,366,10,117,Georgia,Forsyth,244252,149.84524179945302,144.28891940642103,0.818826457920494,2.0470661448012697
106379,2020-05-10,Forsyth,Georgia,13117.0,388,10,117,Georgia,Forsyth,244252,158.8523328365786,147.56422523810306,9.007091037125576,3.275305831682029
106380,2020-05-11,Forsyth,Georgia,13117.0,391,10,117,Georgia,Forsyth,244252,160.08057252345938,150.48860544496202,1.2282396868807837,2.92438020685896
106381,2020-05-12,Forsyth,Georgia,13117.0,386,11,117,Georgia,Forsyth,244252,158.0335063786581,152.76962200631198,-2.0470661448012777,2.281016561349986
106382,2020-05-13,Forsyth,Georgia,13117.0,393,11,117,Georgia,Forsyth,244252,160.89939898137987,154.9336633593876,2.8658926027217717,2.1640413530756257
106383,2020-05-14,Forsyth,Georgia,13117.0,395,11,117,Georgia,Forsyth,244252,161.7182254393004,156.9222419000517,0.8188264579205224,1.9885785406640935
106384,2020-05-15,Forsyth,Georgia,13117.0,397,11,117,Georgia,Forsyth,244252,162.53705189722092,158.8523328365786,0.8188264579205224,1.9300909365269132
106385,2020-05-16,Forsyth,Georgia,13117.0,398,11,117,Georgia,Forsyth,244252,162.94646512618115,160.72393616896832,0.4094132289602328,1.8716033323897332
