,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
595008,2020-04-07,Hancock,Georgia,13141.0,1,0,141,Georgia,Hancock,8457,11.824524062906468,0.0,0.0,,,,
595009,2020-04-08,Hancock,Georgia,13141.0,1,0,141,Georgia,Hancock,8457,11.824524062906468,0.0,0.0,0.0,0.0,,
595010,2020-04-09,Hancock,Georgia,13141.0,1,0,141,Georgia,Hancock,8457,11.824524062906468,0.0,0.0,0.0,0.0,,
595011,2020-04-10,Hancock,Georgia,13141.0,1,0,141,Georgia,Hancock,8457,11.824524062906468,0.0,0.0,0.0,0.0,,
595012,2020-04-11,Hancock,Georgia,13141.0,3,0,141,Georgia,Hancock,8457,35.4735721887194,0.0,0.0,23.649048125812932,0.0,,
595013,2020-04-12,Hancock,Georgia,13141.0,3,0,141,Georgia,Hancock,8457,35.4735721887194,0.0,0.0,0.0,0.0,,
595014,2020-04-13,Hancock,Georgia,13141.0,3,0,141,Georgia,Hancock,8457,35.4735721887194,0.0,0.0,0.0,0.0,,
595015,2020-04-14,Hancock,Georgia,13141.0,5,0,141,Georgia,Hancock,8457,59.12262031453234,0.0,0.0,23.64904812581294,0.0,6.756870893089411,0.0
595016,2020-04-15,Hancock,Georgia,13141.0,6,0,141,Georgia,Hancock,8457,70.9471443774388,0.0,0.0,11.824524062906463,0.0,8.446088616361761,0.0
595017,2020-04-16,Hancock,Georgia,13141.0,6,0,141,Georgia,Hancock,8457,70.9471443774388,0.0,0.0,0.0,0.0,8.446088616361761,0.0
595018,2020-04-17,Hancock,Georgia,13141.0,6,0,141,Georgia,Hancock,8457,70.9471443774388,0.0,0.0,0.0,0.0,8.446088616361761,0.0
595019,2020-04-18,Hancock,Georgia,13141.0,7,0,141,Georgia,Hancock,8457,82.77166844034528,0.0,0.0,11.824524062906477,0.0,6.756870893089411,0.0
595020,2020-04-19,Hancock,Georgia,13141.0,7,0,141,Georgia,Hancock,8457,82.77166844034528,0.0,0.0,0.0,0.0,6.756870893089411,0.0
595021,2020-04-20,Hancock,Georgia,13141.0,10,0,141,Georgia,Hancock,8457,118.24524062906468,0.0,0.0,35.4735721887194,0.0,11.824524062906468,0.0
595022,2020-04-21,Hancock,Georgia,13141.0,10,0,141,Georgia,Hancock,8457,118.24524062906468,0.0,0.0,0.0,0.0,8.446088616361763,0.0
595023,2020-04-22,Hancock,Georgia,13141.0,11,0,141,Georgia,Hancock,8457,130.06976469197116,0.0,0.0,11.824524062906477,0.0,8.446088616361765,0.0
595024,2020-04-23,Hancock,Georgia,13141.0,14,0,141,Georgia,Hancock,8457,165.54333688069056,0.0,0.0,35.4735721887194,0.0,13.513741786178823,0.0
595025,2020-04-24,Hancock,Georgia,13141.0,16,0,141,Georgia,Hancock,8457,189.19238500650349,0.0,0.0,23.649048125812925,0.0,16.892177232723526,0.0
595026,2020-04-25,Hancock,Georgia,13141.0,17,0,141,Georgia,Hancock,8457,201.01690906940993,0.0,0.0,11.824524062906448,0.0,16.892177232723522,0.0
595027,2020-04-26,Hancock,Georgia,13141.0,18,0,141,Georgia,Hancock,8457,212.8414331323164,0.0,0.0,11.824524062906477,0.0,18.581394955995876,0.0
595028,2020-04-27,Hancock,Georgia,13141.0,25,0,141,Georgia,Hancock,8457,295.6131015726617,0.0,0.0,82.77166844034531,0.0,25.338265849085293,0.0
595029,2020-04-28,Hancock,Georgia,13141.0,37,1,141,Georgia,Hancock,8457,437.5073903275393,11.824524062906468,0.02702702702702703,141.8942887548776,11.824524062906468,45.60887852835352,1.6892177232723526
595030,2020-04-29,Hancock,Georgia,13141.0,40,1,141,Georgia,Hancock,8457,472.9809625162587,11.824524062906468,0.025,35.4735721887194,0.0,48.98731397489822,1.6892177232723526
595031,2020-04-30,Hancock,Georgia,13141.0,47,2,141,Georgia,Hancock,8457,555.752630956604,23.649048125812936,0.0425531914893617,82.77166844034525,11.824524062906468,55.744184867987634,3.3784354465447053
595032,2020-05-01,Hancock,Georgia,13141.0,51,2,141,Georgia,Hancock,8457,603.0507272082299,23.649048125812936,0.0392156862745098,47.29809625162591,0.0,59.12262031453234,3.3784354465447053
595033,2020-05-02,Hancock,Georgia,13141.0,58,2,141,Georgia,Hancock,8457,685.8223956485751,23.649048125812936,0.034482758620689655,82.77166844034525,0.0,69.25792665416645,3.3784354465447053
595034,2020-05-03,Hancock,Georgia,13141.0,61,2,141,Georgia,Hancock,8457,721.2959678372945,23.649048125812936,0.03278688524590164,35.473572188719345,0.0,72.63636210071115,3.3784354465447053
595035,2020-05-04,Hancock,Georgia,13141.0,64,2,141,Georgia,Hancock,8457,756.7695400260139,23.649048125812936,0.03125,35.47357218871946,0.0,65.87949120762174,3.3784354465447053
595036,2020-05-05,Hancock,Georgia,13141.0,67,2,141,Georgia,Hancock,8457,792.2431122147333,23.649048125812936,0.029850746268656716,35.473572188719345,0.0,50.676531698170564,1.6892177232723526
595037,2020-05-06,Hancock,Georgia,13141.0,110,2,141,Georgia,Hancock,8457,1300.6976469197116,23.649048125812936,0.01818181818181818,508.4545347049783,0.0,118.24524062906471,1.6892177232723526
595038,2020-05-07,Hancock,Georgia,13141.0,117,3,141,Georgia,Hancock,8457,1383.4693153600567,35.4735721887194,0.02564102564102564,82.77166844034514,11.824524062906466,118.2452406290647,1.689217723272352
595039,2020-05-08,Hancock,Georgia,13141.0,119,3,141,Georgia,Hancock,8457,1407.1183634858696,35.4735721887194,0.025210084033613446,23.649048125812897,0.0,114.86680518251998,1.689217723272352
595040,2020-05-09,Hancock,Georgia,13141.0,127,3,141,Georgia,Hancock,8457,1501.7145559891214,35.4735721887194,0.023622047244094488,94.59619250325181,0.0,116.55602290579235,1.689217723272352
595041,2020-05-10,Hancock,Georgia,13141.0,128,3,141,Georgia,Hancock,8457,1513.5390800520279,35.4735721887194,0.0234375,11.824524062906448,0.0,113.17758745924765,1.689217723272352
595042,2020-05-11,Hancock,Georgia,13141.0,128,3,141,Georgia,Hancock,8457,1513.5390800520279,35.4735721887194,0.0234375,0.0,0.0,108.10993428943058,1.689217723272352
595043,2020-05-12,Hancock,Georgia,13141.0,138,4,141,Georgia,Hancock,8457,1631.7843206810924,47.29809625162587,0.028985507246376812,118.24524062906448,11.82452406290647,119.93445835233703,3.3784354465447044
595044,2020-05-13,Hancock,Georgia,13141.0,140,4,141,Georgia,Hancock,8457,1655.4333688069055,47.29809625162587,0.02857142857142857,23.649048125813124,0.0,50.67653169817057,3.3784354465447044
595045,2020-05-14,Hancock,Georgia,13141.0,142,4,141,Georgia,Hancock,8457,1679.0824169327184,47.29809625162587,0.028169014084507043,23.649048125812897,0.0,42.23044308180882,1.6892177232723522
595046,2020-05-15,Hancock,Georgia,13141.0,149,4,141,Georgia,Hancock,8457,1761.8540853730638,47.29809625162587,0.026845637583892617,82.77166844034537,0.0,50.676531698170606,1.6892177232723522
595047,2020-05-16,Hancock,Georgia,13141.0,149,4,141,Georgia,Hancock,8457,1761.8540853730638,47.29809625162587,0.026845637583892617,0.0,0.0,37.16278991199177,1.6892177232723522
595048,2020-05-17,Hancock,Georgia,13141.0,159,4,141,Georgia,Hancock,8457,1880.0993260021285,47.29809625162587,0.025157232704402517,118.24524062906471,0.0,52.365749421442956,1.6892177232723522
595049,2020-05-18,Hancock,Georgia,13141.0,161,5,141,Georgia,Hancock,8457,1903.7483741279414,59.12262031453234,0.031055900621118012,23.649048125812897,11.82452406290647,55.744184867987656,3.3784354465447053
595050,2020-05-19,Hancock,Georgia,13141.0,170,6,141,Georgia,Hancock,8457,2010.1690906940996,70.9471443774388,0.03529411764705882,106.42071656615826,11.824524062906463,54.05496714471534,3.3784354465447044
595051,2020-05-20,Hancock,Georgia,13141.0,169,15,141,Georgia,Hancock,8457,1998.3445666311932,177.367860943597,0.08875739644970414,-11.824524062906448,106.4207165661582,48.98731397489826,18.581394955995876
595052,2020-05-21,Hancock,Georgia,13141.0,167,15,141,Georgia,Hancock,8457,1974.6955185053803,177.367860943597,0.08982035928143713,-23.649048125812897,0.0,42.23044308180886,18.581394955995876
595053,2020-05-22,Hancock,Georgia,13141.0,175,17,141,Georgia,Hancock,8457,2069.291711008632,201.01690906940993,0.09714285714285714,94.59619250325159,23.649048125812925,43.91966080508117,21.95983040254058
595054,2020-05-23,Hancock,Georgia,13141.0,176,17,141,Georgia,Hancock,8457,2081.1162350715385,201.01690906940993,0.09659090909090909,11.824524062906676,0.0,45.60887852835356,21.95983040254058
