,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
202451,2020-03-20,Monroe,Georgia,13207.0,1,0.0,207,Georgia,Monroe,27578,3.6260787584306335,0.0,0.0,,,,
202452,2020-03-21,Monroe,Georgia,13207.0,1,0.0,207,Georgia,Monroe,27578,3.6260787584306335,0.0,0.0,0.0,0.0,,
202453,2020-03-22,Monroe,Georgia,13207.0,1,0.0,207,Georgia,Monroe,27578,3.6260787584306335,0.0,0.0,0.0,0.0,,
202454,2020-03-23,Monroe,Georgia,13207.0,1,0.0,207,Georgia,Monroe,27578,3.6260787584306335,0.0,0.0,0.0,0.0,,
202455,2020-03-24,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,7.252157516861265,0.0,,
202456,2020-03-25,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,,
202457,2020-03-26,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,,
202458,2020-03-27,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,1.0360225024087522,0.0
202459,2020-03-28,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,1.0360225024087522,0.0
202460,2020-03-29,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,1.0360225024087522,0.0
202461,2020-03-30,Monroe,Georgia,13207.0,3,0.0,207,Georgia,Monroe,27578,10.878236275291899,0.0,0.0,0.0,0.0,1.0360225024087522,0.0
202462,2020-03-31,Monroe,Georgia,13207.0,5,0.0,207,Georgia,Monroe,27578,18.130393792153164,0.0,0.0,7.252157516861265,0.0,1.0360225024087522,0.0
202463,2020-04-01,Monroe,Georgia,13207.0,6,0.0,207,Georgia,Monroe,27578,21.756472550583798,0.0,0.0,3.6260787584306335,0.0,1.5540337536131283,0.0
202464,2020-04-02,Monroe,Georgia,13207.0,6,0.0,207,Georgia,Monroe,27578,21.756472550583798,0.0,0.0,0.0,0.0,1.5540337536131283,0.0
202465,2020-04-03,Monroe,Georgia,13207.0,7,0.0,207,Georgia,Monroe,27578,25.38255130901443,0.0,0.0,3.6260787584306335,0.0,2.0720450048175048,0.0
202466,2020-04-04,Monroe,Georgia,13207.0,7,1.0,207,Georgia,Monroe,27578,25.38255130901443,3.6260787584306335,0.14285714285714285,0.0,3.6260787584306335,2.0720450048175048,0.5180112512043762
202467,2020-04-05,Monroe,Georgia,13207.0,9,1.0,207,Georgia,Monroe,27578,32.6347088258757,3.6260787584306335,0.1111111111111111,7.252157516861267,0.0,3.108067507226257,0.5180112512043762
202468,2020-04-06,Monroe,Georgia,13207.0,10,1.0,207,Georgia,Monroe,27578,36.26078758430633,3.6260787584306335,0.1,3.62607875843063,0.0,3.626078758430633,0.5180112512043762
202469,2020-04-07,Monroe,Georgia,13207.0,13,1.0,207,Georgia,Monroe,27578,47.13902385959823,3.6260787584306335,0.07692307692307693,10.878236275291904,0.0,4.1440900096350095,0.5180112512043762
202470,2020-04-08,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,-3.626078758430637,0.0,3.1080675072262567,0.5180112512043762
202471,2020-04-09,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,0.0,0.0,3.1080675072262567,0.5180112512043762
202472,2020-04-10,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,0.0,0.0,2.5900562560218807,0.5180112512043762
202473,2020-04-11,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,0.0,0.0,2.5900562560218807,0.0
202474,2020-04-12,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,0.0,0.0,1.5540337536131281,0.0
202475,2020-04-13,Monroe,Georgia,13207.0,12,1.0,207,Georgia,Monroe,27578,43.512945101167595,3.6260787584306335,0.08333333333333333,0.0,0.0,1.0360225024087524,0.0
202476,2020-04-14,Monroe,Georgia,13207.0,13,1.0,207,Georgia,Monroe,27578,47.13902385959823,3.6260787584306335,0.07692307692307693,3.626078758430637,0.0,0.0,0.0
202477,2020-04-15,Monroe,Georgia,13207.0,14,1.0,207,Georgia,Monroe,27578,50.76510261802886,3.6260787584306335,0.07142857142857142,3.62607875843063,0.0,1.0360225024087524,0.0
202478,2020-04-16,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,3.626078758430637,0.0,1.5540337536131292,0.0
202479,2020-04-17,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,1.5540337536131292,0.0
202480,2020-04-18,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,1.5540337536131292,0.0
202481,2020-04-19,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,1.5540337536131292,0.0
202482,2020-04-20,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,1.5540337536131292,0.0
202483,2020-04-21,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,1.0360225024087524,0.0
202484,2020-04-22,Monroe,Georgia,13207.0,15,1.0,207,Georgia,Monroe,27578,54.3911813764595,3.6260787584306335,0.06666666666666667,0.0,0.0,0.5180112512043767,0.0
202485,2020-04-23,Monroe,Georgia,13207.0,18,1.0,207,Georgia,Monroe,27578,65.2694176517514,3.6260787584306335,0.05555555555555555,10.878236275291897,0.0,1.5540337536131281,0.0
202486,2020-04-24,Monroe,Georgia,13207.0,19,1.0,207,Georgia,Monroe,27578,68.89549641018203,3.6260787584306335,0.05263157894736842,3.626078758430637,0.0,2.0720450048175048,0.0
202487,2020-04-25,Monroe,Georgia,13207.0,19,1.0,207,Georgia,Monroe,27578,68.89549641018203,3.6260787584306335,0.05263157894736842,0.0,0.0,2.0720450048175048,0.0
202488,2020-04-26,Monroe,Georgia,13207.0,20,1.0,207,Georgia,Monroe,27578,72.52157516861266,3.6260787584306335,0.05,3.626078758430623,0.0,2.5900562560218794,0.0
202489,2020-04-27,Monroe,Georgia,13207.0,21,1.0,207,Georgia,Monroe,27578,76.1476539270433,3.6260787584306335,0.047619047619047616,3.626078758430637,0.0,3.1080675072262562,0.0
202490,2020-04-28,Monroe,Georgia,13207.0,22,1.0,207,Georgia,Monroe,27578,79.77373268547393,3.6260787584306335,0.045454545454545456,3.626078758430637,0.0,3.626078758430633,0.0
202491,2020-04-29,Monroe,Georgia,13207.0,23,3.0,207,Georgia,Monroe,27578,83.39981144390457,10.878236275291899,0.13043478260869565,3.626078758430637,7.252157516861265,4.1440900096350095,1.0360225024087522
202492,2020-04-30,Monroe,Georgia,13207.0,23,3.0,207,Georgia,Monroe,27578,83.39981144390457,10.878236275291899,0.13043478260869565,0.0,0.0,2.5900562560218816,1.0360225024087522
202493,2020-05-01,Monroe,Georgia,13207.0,24,3.0,207,Georgia,Monroe,27578,87.02589020233519,10.878236275291899,0.125,3.626078758430623,0.0,2.5900562560218794,1.0360225024087522
202494,2020-05-02,Monroe,Georgia,13207.0,24,3.0,207,Georgia,Monroe,27578,87.02589020233519,10.878236275291899,0.125,0.0,0.0,2.5900562560218794,1.0360225024087522
202495,2020-05-03,Monroe,Georgia,13207.0,24,3.0,207,Georgia,Monroe,27578,87.02589020233519,10.878236275291899,0.125,0.0,0.0,2.0720450048175048,1.0360225024087522
202496,2020-05-04,Monroe,Georgia,13207.0,25,3.0,207,Georgia,Monroe,27578,90.65196896076583,10.878236275291899,0.12,3.626078758430637,0.0,2.0720450048175048,1.0360225024087522
202497,2020-05-05,Monroe,Georgia,13207.0,30,4.0,207,Georgia,Monroe,27578,108.782362752919,14.504315033722534,0.13333333333333333,18.13039379215317,3.6260787584306353,4.1440900096350095,1.5540337536131286
202498,2020-05-06,Monroe,Georgia,13207.0,33,4.0,207,Georgia,Monroe,27578,119.6605990282109,14.504315033722534,0.12121212121212122,10.878236275291897,0.0,5.180112512043761,0.5180112512043765
202499,2020-05-07,Monroe,Georgia,13207.0,34,4.0,207,Georgia,Monroe,27578,123.28667778664152,14.504315033722534,0.11764705882352941,3.626078758430623,0.0,5.698123763248136,0.5180112512043765
202500,2020-05-08,Monroe,Georgia,13207.0,34,4.0,207,Georgia,Monroe,27578,123.28667778664152,14.504315033722534,0.11764705882352941,0.0,0.0,5.180112512043761,0.5180112512043765
202501,2020-05-09,Monroe,Georgia,13207.0,34,4.0,207,Georgia,Monroe,27578,123.28667778664152,14.504315033722534,0.11764705882352941,0.0,0.0,5.180112512043761,0.5180112512043765
202502,2020-05-10,Monroe,Georgia,13207.0,34,4.0,207,Georgia,Monroe,27578,123.28667778664152,14.504315033722534,0.11764705882352941,0.0,0.0,5.180112512043761,0.5180112512043765
202503,2020-05-11,Monroe,Georgia,13207.0,35,4.0,207,Georgia,Monroe,27578,126.91275654507216,14.504315033722534,0.11428571428571428,3.626078758430637,0.0,5.180112512043761,0.5180112512043765
202504,2020-05-12,Monroe,Georgia,13207.0,44,4.0,207,Georgia,Monroe,27578,159.54746537094786,14.504315033722534,0.09090909090909091,32.634708825875705,0.0,7.252157516861266,0.0
202505,2020-05-13,Monroe,Georgia,13207.0,44,4.0,207,Georgia,Monroe,27578,159.54746537094786,14.504315033722534,0.09090909090909091,0.0,0.0,5.698123763248138,0.0
202506,2020-05-14,Monroe,Georgia,13207.0,45,4.0,207,Georgia,Monroe,27578,163.17354412937848,14.504315033722534,0.08888888888888889,3.626078758430623,0.0,5.698123763248138,0.0
202507,2020-05-15,Monroe,Georgia,13207.0,47,4.0,207,Georgia,Monroe,27578,170.42570164623976,14.504315033722534,0.0851063829787234,7.252157516861274,0.0,6.734146265656891,0.0
202508,2020-05-16,Monroe,Georgia,13207.0,95,5.0,207,Georgia,Monroe,27578,344.47748205091017,18.130393792153164,0.05263157894736842,174.0517804046704,3.62607875843063,31.59868632346695,0.5180112512043757
202509,2020-05-17,Monroe,Georgia,13207.0,95,6.0,207,Georgia,Monroe,27578,344.47748205091017,21.756472550583798,0.06315789473684211,0.0,3.6260787584306335,31.59868632346695,1.036022502408752
202510,2020-05-18,Monroe,Georgia,13207.0,95,7.0,207,Georgia,Monroe,27578,344.47748205091017,25.38255130901443,0.07368421052631578,0.0,3.6260787584306335,31.080675072262572,1.5540337536131281
202511,2020-05-19,Monroe,Georgia,13207.0,102,7.0,207,Georgia,Monroe,27578,369.86003335992456,25.38255130901443,0.06862745098039216,25.38255130901439,0.0,30.044652569853813,1.5540337536131281
202512,2020-05-20,Monroe,Georgia,13207.0,108,7.0,207,Georgia,Monroe,27578,391.61650591050835,25.38255130901443,0.06481481481481481,21.756472550583794,0.0,33.15272007708007,1.5540337536131281
202513,2020-05-21,Monroe,Georgia,13207.0,113,8.0,207,Georgia,Monroe,27578,409.74689970266155,29.00863006744507,0.07079646017699115,18.1303937921532,3.626078758430637,35.22476508189758,2.0720450048175048
202514,2020-05-22,Monroe,Georgia,13207.0,114,8.0,207,Georgia,Monroe,27578,413.37297846109215,29.00863006744507,0.07017543859649122,3.6260787584305945,0.0,34.706753830693195,2.0720450048175048
202515,2020-05-23,Monroe,Georgia,13207.0,117,8.0,207,Georgia,Monroe,27578,424.2512147363841,29.00863006744507,0.06837606837606838,10.878236275291954,0.0,11.396247526496277,1.5540337536131292
202516,2020-05-24,Monroe,Georgia,13207.0,117,8.0,207,Georgia,Monroe,27578,424.2512147363841,29.00863006744507,0.06837606837606838,0.0,0.0,11.396247526496277,1.036022502408753
202517,2020-05-25,Monroe,Georgia,13207.0,118,8.0,207,Georgia,Monroe,27578,427.8772934948147,29.00863006744507,0.06779661016949153,3.6260787584305945,0.0,11.914258777700647,0.5180112512043767
202518,2020-05-26,Monroe,Georgia,13207.0,119,8.0,207,Georgia,Monroe,27578,431.50337225324535,29.00863006744507,0.06722689075630252,3.6260787584306513,0.0,8.806191270474399,0.5180112512043767
202519,2020-05-27,Monroe,Georgia,13207.0,118,8.0,207,Georgia,Monroe,27578,427.8772934948147,29.00863006744507,0.06779661016949153,-3.6260787584306513,0.0,5.180112512043763,0.5180112512043767
202520,2020-05-28,Monroe,Georgia,13207.0,119,8.0,207,Georgia,Monroe,27578,431.50337225324535,29.00863006744507,0.06722689075630252,3.6260787584306513,0.0,3.1080675072262562,0.0
202521,2020-05-29,Monroe,Georgia,13207.0,120,8.0,207,Georgia,Monroe,27578,435.129451011676,29.00863006744507,0.06666666666666667,3.6260787584306513,0.0,3.1080675072262642,0.0
202522,2020-05-30,Monroe,Georgia,13207.0,120,8.0,207,Georgia,Monroe,27578,435.129451011676,29.00863006744507,0.06666666666666667,0.0,0.0,1.5540337536131281,0.0
202523,2020-05-31,Monroe,Georgia,13207.0,120,11.0,207,Georgia,Monroe,27578,435.129451011676,39.886866342736965,0.09166666666666666,0.0,10.878236275291897,1.5540337536131281,1.5540337536131281
202524,2020-06-01,Monroe,Georgia,13207.0,121,11.0,207,Georgia,Monroe,27578,438.7555297701066,39.886866342736965,0.09090909090909091,3.6260787584305945,0.0,1.5540337536131281,1.5540337536131281
202525,2020-06-02,Monroe,Georgia,13207.0,121,11.0,207,Georgia,Monroe,27578,438.7555297701066,39.886866342736965,0.09090909090909091,0.0,0.0,1.0360225024087495,1.5540337536131281
202526,2020-06-03,Monroe,Georgia,13207.0,124,11.0,207,Georgia,Monroe,27578,449.63376604539854,39.886866342736965,0.08870967741935484,10.878236275291954,0.0,3.1080675072262642,1.5540337536131281
202527,2020-06-04,Monroe,Georgia,13207.0,123,11.0,207,Georgia,Monroe,27578,446.0076872869679,39.886866342736965,0.08943089430894309,-3.6260787584306513,0.0,2.072045004817507,1.5540337536131281
202528,2020-06-05,Monroe,Georgia,13207.0,123,11.0,207,Georgia,Monroe,27578,446.0076872869679,39.886866342736965,0.08943089430894309,0.0,0.0,1.5540337536131281,1.5540337536131281
202529,2020-06-06,Monroe,Georgia,13207.0,123,11.0,207,Georgia,Monroe,27578,446.0076872869679,39.886866342736965,0.08943089430894309,0.0,0.0,1.5540337536131281,1.5540337536131281
202530,2020-06-07,Monroe,Georgia,13207.0,123,11.0,207,Georgia,Monroe,27578,446.0076872869679,39.886866342736965,0.08943089430894309,0.0,0.0,1.5540337536131281,0.0
