,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
566783,2020-04-06,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,,
566784,2020-04-07,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,0.0,
566785,2020-04-08,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,0.0,
566786,2020-04-09,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,0.0,
566787,2020-04-10,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,0.0,
566788,2020-04-11,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,,0.0,
566789,2020-04-12,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,
566790,2020-04-13,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566791,2020-04-14,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566792,2020-04-15,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566793,2020-04-16,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566794,2020-04-17,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566795,2020-04-18,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566796,2020-04-19,Treutlen,Georgia,13283.0,1,0,283,Georgia,Treutlen,6901,14.490653528474136,14.490653528474137,0.0,0.0
566797,2020-04-20,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,16.560746889684726,14.490653528474136,2.0700933612105907
566798,2020-04-21,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,18.630840250895318,0.0,2.0700933612105907
566799,2020-04-22,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,20.70093361210591,0.0,2.0700933612105907
566800,2020-04-23,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,22.771026973316506,0.0,2.0700933612105907
566801,2020-04-24,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,24.841120334527098,0.0,2.0700933612105907
566802,2020-04-25,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,26.911213695737693,0.0,2.0700933612105907
566803,2020-04-26,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,28.981307056948285,0.0,2.0700933612105907
566804,2020-04-27,Treutlen,Georgia,13283.0,2,0,283,Georgia,Treutlen,6901,28.98130705694827,28.981307056948285,0.0,0.0
566805,2020-04-28,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,31.051400418158874,14.49065352847413,2.07009336121059
566806,2020-04-29,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,33.12149377936946,0.0,2.07009336121059
566807,2020-04-30,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,35.19158714058005,0.0,2.07009336121059
566808,2020-05-01,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,37.26168050179064,0.0,2.07009336121059
566809,2020-05-02,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,39.33177386300123,0.0,2.07009336121059
566810,2020-05-03,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,41.40186722421182,0.0,2.07009336121059
566811,2020-05-04,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,43.471960585422416,0.0,2.07009336121059
566812,2020-05-05,Treutlen,Georgia,13283.0,3,0,283,Georgia,Treutlen,6901,43.4719605854224,43.471960585422416,0.0,0.0
566813,2020-05-06,Treutlen,Georgia,13283.0,4,0,283,Georgia,Treutlen,6901,57.96261411389654,45.54205394663301,14.490653528474141,2.0700933612105916
566814,2020-05-07,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,49.682240669054195,14.490653528474134,4.140186722421182
566815,2020-05-08,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,53.82242739147539,0.0,4.140186722421182
566816,2020-05-09,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,57.96261411389657,0.0,4.140186722421182
566817,2020-05-10,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,62.10280083631776,0.0,4.140186722421182
566818,2020-05-11,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,66.24298755873895,0.0,4.140186722421182
566819,2020-05-12,Treutlen,Georgia,13283.0,5,0,283,Georgia,Treutlen,6901,72.45326764237068,70.38317428116012,0.0,4.140186722421182
566820,2020-05-13,Treutlen,Georgia,13283.0,7,0,283,Georgia,Treutlen,6901,101.43457469931893,76.5934543647919,28.981307056948253,6.21028008363177
566821,2020-05-14,Treutlen,Georgia,13283.0,7,0,283,Georgia,Treutlen,6901,101.43457469931893,80.73364108721307,0.0,4.140186722421179
566822,2020-05-15,Treutlen,Georgia,13283.0,7,0,283,Georgia,Treutlen,6901,101.43457469931893,84.87382780963425,0.0,4.140186722421179
566823,2020-05-16,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,91.08410789326604,14.490653528474155,6.210280083631773
566824,2020-05-17,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,97.29438797689782,0.0,6.210280083631773
566825,2020-05-18,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,103.50466806052961,0.0,6.210280083631773
566826,2020-05-19,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,109.7149481441614,0.0,6.210280083631773
566827,2020-05-20,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,111.78504150537199,0.0,2.0700933612105934
566828,2020-05-21,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,113.8551348665826,0.0,2.0700933612105934
566829,2020-05-22,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,2.0700933612105934
566830,2020-05-23,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566831,2020-05-24,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566832,2020-05-25,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566833,2020-05-26,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566834,2020-05-27,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566835,2020-05-28,Treutlen,Georgia,13283.0,8,0,283,Georgia,Treutlen,6901,115.92522822779308,115.92522822779321,0.0,0.0
566836,2020-05-29,Treutlen,Georgia,13283.0,9,0,283,Georgia,Treutlen,6901,130.4158817562672,117.9953215890038,14.490653528474112,2.0700933612105876
566837,2020-05-30,Treutlen,Georgia,13283.0,9,0,283,Georgia,Treutlen,6901,130.4158817562672,120.06541495021438,0.0,2.0700933612105876
566838,2020-05-31,Treutlen,Georgia,13283.0,10,0,283,Georgia,Treutlen,6901,144.90653528474135,124.20560167263555,14.490653528474155,4.1401867224211815
566839,2020-06-01,Treutlen,Georgia,13283.0,10,0,283,Georgia,Treutlen,6901,144.90653528474135,128.34578839505673,0.0,4.1401867224211815
566840,2020-06-02,Treutlen,Georgia,13283.0,12,0,283,Georgia,Treutlen,6901,173.8878423416896,136.62616183989908,28.981307056948253,8.28037344484236
566841,2020-06-03,Treutlen,Georgia,13283.0,13,0,283,Georgia,Treutlen,6901,188.37849587016376,146.97662864595208,14.490653528474155,10.350466806052953
566842,2020-06-04,Treutlen,Georgia,13283.0,13,0,283,Georgia,Treutlen,6901,188.37849587016376,157.32709545200504,0.0,10.350466806052953
566843,2020-06-05,Treutlen,Georgia,13283.0,14,0,283,Georgia,Treutlen,6901,202.86914939863786,167.67756225805797,14.490653528474098,10.350466806052951
566844,2020-06-06,Treutlen,Georgia,13283.0,14,0,283,Georgia,Treutlen,6901,202.86914939863786,178.02802906411088,0.0,10.350466806052951
