,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
458740,2020-03-27,Upson,Georgia,13293.0,2,0.0,293,Georgia,Upson,26320,7.598784194528876,0.0,0.0,,,,,,,
458741,2020-03-28,Upson,Georgia,13293.0,5,0.0,293,Georgia,Upson,26320,18.996960486322187,0.0,0.0,3.0,11.398176291793312,0.0,,,,
458742,2020-03-29,Upson,Georgia,13293.0,5,0.0,293,Georgia,Upson,26320,18.996960486322187,0.0,0.0,0.0,0.0,0.0,,,,
458743,2020-03-30,Upson,Georgia,13293.0,5,0.0,293,Georgia,Upson,26320,18.996960486322187,0.0,0.0,0.0,0.0,0.0,,,,
458744,2020-03-31,Upson,Georgia,13293.0,5,0.0,293,Georgia,Upson,26320,18.996960486322187,0.0,0.0,0.0,0.0,0.0,,,,
458745,2020-04-01,Upson,Georgia,13293.0,6,0.0,293,Georgia,Upson,26320,22.796352583586625,0.0,0.0,1.0,3.7993920972644375,0.0,,,,
458746,2020-04-02,Upson,Georgia,13293.0,6,0.0,293,Georgia,Upson,26320,22.796352583586625,0.0,0.0,0.0,0.0,0.0,,,,
458747,2020-04-03,Upson,Georgia,13293.0,8,0.0,293,Georgia,Upson,26320,30.395136778115504,0.0,0.0,2.0,7.5987841945288785,0.0,3.2566217976552325,0.0,,
458748,2020-04-04,Upson,Georgia,13293.0,12,0.0,293,Georgia,Upson,26320,45.59270516717325,0.0,0.0,4.0,15.197568389057746,0.0,3.7993920972644375,0.0,10.0,658.0
458749,2020-04-05,Upson,Georgia,13293.0,13,0.0,293,Georgia,Upson,26320,49.392097264437695,0.0,0.0,1.0,3.7993920972644446,0.0,4.342162396873644,0.0,8.0,822.5
458750,2020-04-06,Upson,Georgia,13293.0,25,0.0,293,Georgia,Upson,26320,94.98480243161094,0.0,0.0,12.0,45.59270516717325,0.0,10.855405992184107,0.0,20.0,329.0
