,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
194507,2020-03-20,Canyon,Idaho,16027.0,1,0,27,Idaho,Canyon,229849,0.4350682404535151,,
194508,2020-03-21,Canyon,Idaho,16027.0,1,0,27,Idaho,Canyon,229849,0.4350682404535151,0.0,
194509,2020-03-22,Canyon,Idaho,16027.0,3,0,27,Idaho,Canyon,229849,1.3052047213605456,0.8701364809070304,
194510,2020-03-23,Canyon,Idaho,16027.0,4,0,27,Idaho,Canyon,229849,1.7402729618140604,0.4350682404535149,
194511,2020-03-24,Canyon,Idaho,16027.0,5,0,27,Idaho,Canyon,229849,2.1753412022675755,0.4350682404535151,
194512,2020-03-25,Canyon,Idaho,16027.0,8,0,27,Idaho,Canyon,229849,3.480545923628121,1.3052047213605453,
194513,2020-03-26,Canyon,Idaho,16027.0,22,1,27,Idaho,Canyon,229849,9.571501289977332,6.0909553663492115,
194514,2020-03-27,Canyon,Idaho,16027.0,23,1,27,Idaho,Canyon,229849,10.006569530430848,0.435068240453516,
194515,2020-03-28,Canyon,Idaho,16027.0,22,1,27,Idaho,Canyon,229849,9.571501289977332,-0.435068240453516,
194516,2020-03-29,Canyon,Idaho,16027.0,40,1,27,Idaho,Canyon,229849,17.402729618140604,7.831228328163272,
194517,2020-03-30,Canyon,Idaho,16027.0,48,1,27,Idaho,Canyon,229849,20.88327554176873,3.4805459236281244,
194518,2020-03-31,Canyon,Idaho,16027.0,53,1,27,Idaho,Canyon,229849,23.058616744036303,2.1753412022675747,
194519,2020-04-01,Canyon,Idaho,16027.0,68,1,27,Idaho,Canyon,229849,29.584640350839027,6.526023606802724,
194520,2020-04-02,Canyon,Idaho,16027.0,79,1,27,Idaho,Canyon,229849,34.3703909958277,4.785750644988671,
194521,2020-04-03,Canyon,Idaho,16027.0,89,1,27,Idaho,Canyon,229849,38.72107340036285,4.350682404535149,2.7347146542792378
194522,2020-04-04,Canyon,Idaho,16027.0,99,1,27,Idaho,Canyon,229849,43.071755804898,4.350682404535149,3.0454776831746058
194523,2020-04-05,Canyon,Idaho,16027.0,101,1,27,Idaho,Canyon,229849,43.94189228580503,0.8701364809070355,3.045477683174606
194524,2020-04-06,Canyon,Idaho,16027.0,104,3,27,Idaho,Canyon,229849,45.24709700716557,1.305204721360539,3.107630288953679
194525,2020-04-07,Canyon,Idaho,16027.0,114,3,27,Idaho,Canyon,229849,49.59777941170073,4.350682404535156,3.3873170149595104
194526,2020-04-08,Canyon,Idaho,16027.0,121,3,27,Idaho,Canyon,229849,52.64325709487533,3.045477683174603,3.5116222265176575
194527,2020-04-09,Canyon,Idaho,16027.0,139,4,27,Idaho,Canyon,229849,60.4744854230386,7.83122832816327,3.635927438075804
194528,2020-04-10,Canyon,Idaho,16027.0,145,5,27,Idaho,Canyon,229849,63.08489486575969,2.6104094427210924,3.791308952523488
194529,2020-04-11,Canyon,Idaho,16027.0,146,5,27,Idaho,Canyon,229849,63.519963106213204,0.43506824045351067,3.8534615583025618
194530,2020-04-12,Canyon,Idaho,16027.0,155,5,27,Idaho,Canyon,229849,67.43557727029484,3.9156141640816386,3.573774832296731
194531,2020-04-13,Canyon,Idaho,16027.0,161,5,27,Idaho,Canyon,229849,70.04598671301594,2.6104094427210924,3.5116222265176567
194532,2020-04-14,Canyon,Idaho,16027.0,169,5,27,Idaho,Canyon,229849,73.52653263664406,3.480545923628128,3.604851135186268
194533,2020-04-15,Canyon,Idaho,16027.0,181,5,27,Idaho,Canyon,229849,78.74735152208623,5.220818885442171,3.5116222265176567
194534,2020-04-16,Canyon,Idaho,16027.0,181,5,27,Idaho,Canyon,229849,78.74735152208623,0.0,3.169782894732752
194535,2020-04-17,Canyon,Idaho,16027.0,187,5,27,Idaho,Canyon,229849,81.35776096480734,2.6104094427211066,3.045477683174606
194536,2020-04-18,Canyon,Idaho,16027.0,187,5,27,Idaho,Canyon,229849,81.35776096480734,0.0,2.734714654279238
194537,2020-04-19,Canyon,Idaho,16027.0,187,5,27,Idaho,Canyon,229849,81.35776096480734,0.0,2.6725620485001644
194538,2020-04-20,Canyon,Idaho,16027.0,207,5,27,Idaho,Canyon,229849,90.05912577387764,8.701364809070299,3.20085919762229
194539,2020-04-21,Canyon,Idaho,16027.0,212,6,27,Idaho,Canyon,229849,92.23446697614521,2.1753412022675747,3.0454776831746058
194540,2020-04-22,Canyon,Idaho,16027.0,215,6,27,Idaho,Canyon,229849,93.53967169750575,1.305204721360539,2.921172471616458
194541,2020-04-23,Canyon,Idaho,16027.0,222,6,27,Idaho,Canyon,229849,96.58514938068036,3.04547768317461,2.579333139831554
194542,2020-04-24,Canyon,Idaho,16027.0,226,6,27,Idaho,Canyon,229849,98.32542234249442,1.7402729618140569,2.5171805340524798
194543,2020-04-25,Canyon,Idaho,16027.0,231,6,27,Idaho,Canyon,229849,100.500763544762,2.1753412022675747,2.6414857456106273
194544,2020-04-26,Canyon,Idaho,16027.0,233,6,27,Idaho,Canyon,229849,101.37090002566903,0.8701364809070355,2.42395162538387
194545,2020-04-27,Canyon,Idaho,16027.0,238,6,27,Idaho,Canyon,229849,103.5462412279366,2.1753412022675747,2.392875322494333
194546,2020-04-28,Canyon,Idaho,16027.0,250,6,27,Idaho,Canyon,229849,108.76706011337879,5.220818885442185,2.5171805340524798
194547,2020-04-29,Canyon,Idaho,16027.0,252,6,27,Idaho,Canyon,229849,109.63719659428581,0.8701364809070213,2.206417505157112
194548,2020-04-30,Canyon,Idaho,16027.0,255,7,27,Idaho,Canyon,229849,110.94240131564636,1.3052047213605533,2.299646413825723
194549,2020-05-01,Canyon,Idaho,16027.0,259,7,27,Idaho,Canyon,229849,112.68267427746042,1.7402729618140569,2.237493808046648
194550,2020-05-02,Canyon,Idaho,16027.0,258,7,27,Idaho,Canyon,229849,112.2476060370069,-0.4350682404535178,2.2064175051571113
194551,2020-05-03,Canyon,Idaho,16027.0,258,7,27,Idaho,Canyon,229849,112.2476060370069,0.0,2.2064175051571113
194552,2020-05-04,Canyon,Idaho,16027.0,266,7,27,Idaho,Canyon,229849,115.72815196063502,3.4805459236281138,1.8335018704826693
194553,2020-05-05,Canyon,Idaho,16027.0,266,7,27,Idaho,Canyon,229849,115.72815196063502,0.0,1.6781203560349855
194554,2020-05-06,Canyon,Idaho,16027.0,270,7,27,Idaho,Canyon,229849,117.46842492244909,1.740272961814071,1.7091966589245235
194555,2020-05-07,Canyon,Idaho,16027.0,272,6,27,Idaho,Canyon,229849,118.33856140335611,0.8701364809070213,1.5538151444768384
194556,2020-05-08,Canyon,Idaho,16027.0,272,6,27,Idaho,Canyon,229849,118.33856140335611,0.0,1.4295099329186916
194557,2020-05-09,Canyon,Idaho,16027.0,272,6,27,Idaho,Canyon,229849,118.33856140335611,0.0,1.2741284184710078
194558,2020-05-10,Canyon,Idaho,16027.0,272,6,27,Idaho,Canyon,229849,118.33856140335611,0.0,1.2119758126919338
194559,2020-05-11,Canyon,Idaho,16027.0,274,6,27,Idaho,Canyon,229849,119.20869788426315,0.8701364809070355,1.1187469040233238
194560,2020-05-12,Canyon,Idaho,16027.0,274,6,27,Idaho,Canyon,229849,119.20869788426315,0.0,0.745831269348882
194561,2020-05-13,Canyon,Idaho,16027.0,275,6,27,Idaho,Canyon,229849,119.64376612471666,0.4350682404535178,0.7147549664593461
194562,2020-05-14,Canyon,Idaho,16027.0,276,6,27,Idaho,Canyon,229849,120.07883436517018,0.4350682404535178,0.6526023606802721
194563,2020-05-15,Canyon,Idaho,16027.0,277,6,27,Idaho,Canyon,229849,120.51390260562368,0.43506824045350356,0.5593734520116611
194564,2020-05-16,Canyon,Idaho,16027.0,277,6,27,Idaho,Canyon,229849,120.51390260562368,0.0,0.5904497549011981
194565,2020-05-17,Canyon,Idaho,16027.0,277,6,27,Idaho,Canyon,229849,120.51390260562368,0.0,0.5904497549011981
194566,2020-05-18,Canyon,Idaho,16027.0,276,6,27,Idaho,Canyon,229849,120.07883436517018,-0.43506824045350356,0.31076302889536833
194567,2020-05-19,Canyon,Idaho,16027.0,280,6,27,Idaho,Canyon,229849,121.81910732698424,1.7402729618140569,0.4350682404535152
194568,2020-05-20,Canyon,Idaho,16027.0,280,6,27,Idaho,Canyon,229849,121.81910732698424,0.0,0.3107630288953673
194569,2020-05-21,Canyon,Idaho,16027.0,283,6,27,Idaho,Canyon,229849,123.12431204834478,1.305204721360539,0.3418393317849043
194570,2020-05-22,Canyon,Idaho,16027.0,284,6,27,Idaho,Canyon,229849,123.5593802887983,0.4350682404535178,0.3729156346744413
194571,2020-05-23,Canyon,Idaho,16027.0,284,6,27,Idaho,Canyon,229849,123.5593802887983,0.0,0.3729156346744413
194572,2020-05-24,Canyon,Idaho,16027.0,284,6,27,Idaho,Canyon,229849,123.5593802887983,0.0,0.3729156346744413
194573,2020-05-25,Canyon,Idaho,16027.0,284,6,27,Idaho,Canyon,229849,123.5593802887983,0.0,0.3107630288953673
194574,2020-05-26,Canyon,Idaho,16027.0,287,6,27,Idaho,Canyon,229849,124.86458501015883,1.305204721360539,0.4039919375639772
194575,2020-05-27,Canyon,Idaho,16027.0,291,6,27,Idaho,Canyon,229849,126.60485797197292,1.7402729618140853,0.4972208462325892
194576,2020-05-28,Canyon,Idaho,16027.0,294,6,27,Idaho,Canyon,229849,127.91006269333344,1.305204721360525,0.5593734520116611
194577,2020-05-29,Canyon,Idaho,16027.0,300,6,27,Idaho,Canyon,229849,130.52047213605454,2.6104094427210924,0.7147549664593461
194578,2020-05-30,Canyon,Idaho,16027.0,303,6,27,Idaho,Canyon,229849,131.8256768574151,1.3052047213605533,0.807983875127957
194579,2020-05-31,Canyon,Idaho,16027.0,303,6,27,Idaho,Canyon,229849,131.8256768574151,0.0,0.807983875127957
194580,2020-06-01,Canyon,Idaho,16027.0,310,6,27,Idaho,Canyon,229849,134.87115454058969,3.045477683174596,1.0565942982442498
194581,2020-06-02,Canyon,Idaho,16027.0,310,6,27,Idaho,Canyon,229849,134.87115454058969,0.0,0.9322890866861029
194582,2020-06-03,Canyon,Idaho,16027.0,315,6,27,Idaho,Canyon,229849,137.04649574285727,2.175341202267589,1.0876706011337878
194583,2020-06-04,Canyon,Idaho,16027.0,322,6,27,Idaho,Canyon,229849,140.09197342603187,3.045477683174596,1.2119758126919347
194584,2020-06-05,Canyon,Idaho,16027.0,336,6,27,Idaho,Canyon,229849,146.1829287923811,6.09095536634922,1.6159677502559135
194585,2020-06-06,Canyon,Idaho,16027.0,340,6,27,Idaho,Canyon,229849,147.92320175419513,1.7402729618140427,1.7402729618140593
194586,2020-06-07,Canyon,Idaho,16027.0,340,6,27,Idaho,Canyon,229849,147.92320175419513,0.0,1.7402729618140593
194587,2020-06-08,Canyon,Idaho,16027.0,345,6,27,Idaho,Canyon,229849,150.09854295646272,2.175341202267589,1.8956544762617444
194588,2020-06-09,Canyon,Idaho,16027.0,345,6,27,Idaho,Canyon,229849,150.09854295646272,0.0,1.8024255675931344
194589,2020-06-10,Canyon,Idaho,16027.0,351,6,27,Idaho,Canyon,229849,152.7089523991838,2.610409442721078,1.8645781733722053
194590,2020-06-11,Canyon,Idaho,16027.0,354,6,27,Idaho,Canyon,229849,154.01415712054435,1.3052047213605533,1.8645781733722073
194591,2020-06-12,Canyon,Idaho,16027.0,356,6,27,Idaho,Canyon,229849,154.8842936014514,0.8701364809070355,1.7402729618140604
194592,2020-06-13,Canyon,Idaho,16027.0,356,6,27,Idaho,Canyon,229849,154.8842936014514,0.0,1.6470440531454495
194593,2020-06-14,Canyon,Idaho,16027.0,356,6,27,Idaho,Canyon,229849,154.8842936014514,0.0,1.6470440531454495
194594,2020-06-15,Canyon,Idaho,16027.0,360,6,27,Idaho,Canyon,229849,156.62456656326543,1.7402729618140427,1.5538151444768384
194595,2020-06-16,Canyon,Idaho,16027.0,367,6,27,Idaho,Canyon,229849,159.67004424644006,3.0454776831746244,1.7713492647035973
194596,2020-06-17,Canyon,Idaho,16027.0,369,6,27,Idaho,Canyon,229849,160.5401807273471,0.8701364809070355,1.6781203560349864
194597,2020-06-18,Canyon,Idaho,16027.0,376,6,27,Idaho,Canyon,229849,163.5856584105217,3.045477683174596,1.6781203560349864
194598,2020-06-19,Canyon,Idaho,16027.0,403,6,27,Idaho,Canyon,229849,175.3325009027666,11.746842492244923,2.082112293598965
194599,2020-06-20,Canyon,Idaho,16027.0,433,6,27,Idaho,Canyon,229849,188.38454811637206,13.052047213605448,2.890096168726923
194600,2020-06-21,Canyon,Idaho,16027.0,433,6,27,Idaho,Canyon,229849,188.38454811637206,0.0,2.890096168726923
194601,2020-06-22,Canyon,Idaho,16027.0,470,6,27,Idaho,Canyon,229849,204.4820730131521,16.097524896780044,3.884537861192098
194602,2020-06-23,Canyon,Idaho,16027.0,494,6,27,Idaho,Canyon,229849,214.92371078403647,10.44163777088437,4.630369130540982
194603,2020-06-24,Canyon,Idaho,16027.0,546,6,27,Idaho,Canyon,229849,237.54725928761926,22.623548503582782,6.059879063459675
194604,2020-06-25,Canyon,Idaho,16027.0,601,6,27,Idaho,Canyon,229849,261.4760125125626,23.928753224943335,7.675846813715588
194605,2020-06-26,Canyon,Idaho,16027.0,652,6,27,Idaho,Canyon,229849,283.6644927756919,22.188480263129293,9.198585655302892
194606,2020-06-27,Canyon,Idaho,16027.0,692,6,27,Idaho,Canyon,229849,301.0672223938325,17.402729618140597,10.441637770884364
194607,2020-06-28,Canyon,Idaho,16027.0,692,6,27,Idaho,Canyon,229849,301.0672223938325,0.0,10.441637770884364
194608,2020-06-29,Canyon,Idaho,16027.0,763,6,27,Idaho,Canyon,229849,331.9570674660321,30.88984507219959,12.523750064483332
194609,2020-06-30,Canyon,Idaho,16027.0,856,6,27,Idaho,Canyon,229849,372.41841382820894,40.46134636217687,15.196312112983492
194610,2020-07-01,Canyon,Idaho,16027.0,900,6,27,Idaho,Canyon,229849,391.5614164081636,19.14300257995467,16.501516834344038
194611,2020-07-02,Canyon,Idaho,16027.0,980,6,27,Idaho,Canyon,229849,426.36687564444486,34.80545923628125,18.770086945280223
194612,2020-07-03,Canyon,Idaho,16027.0,1092,6,27,Idaho,Canyon,229849,475.0945185752385,48.72764293079365,21.411572690890846
194613,2020-07-04,Canyon,Idaho,16027.0,1253,6,27,Idaho,Canyon,229849,545.1405052882545,70.04598671301602,25.48256836942017
194614,2020-07-05,Canyon,Idaho,16027.0,1346,6,27,Idaho,Canyon,229849,585.6018516504314,40.46134636217687,28.37266453814709
194615,2020-07-06,Canyon,Idaho,16027.0,1399,6,27,Idaho,Canyon,229849,608.6604683944677,23.05861674403627,28.86988538437968
194616,2020-07-07,Canyon,Idaho,16027.0,1485,6,27,Idaho,Canyon,229849,646.07633707347,37.4158686790023,30.79661616353096
194617,2020-07-08,Canyon,Idaho,16027.0,1561,9,27,Idaho,Canyon,229849,679.1415233479372,33.06518627446724,31.542447432879847
194618,2020-07-09,Canyon,Idaho,16027.0,1665,10,27,Idaho,Canyon,229849,724.3886203551027,45.24709700716551,33.065186274467145
194619,2020-07-10,Canyon,Idaho,16027.0,1777,10,27,Idaho,Canyon,229849,773.1162632858964,48.72764293079365,34.960840750728885
194620,2020-07-11,Canyon,Idaho,16027.0,2010,11,27,Idaho,Canyon,229849,874.4871633115655,101.37090002566913,40.9585672084095
194621,2020-07-12,Canyon,Idaho,16027.0,2106,11,27,Idaho,Canyon,229849,916.2537143951029,41.766551083537365,43.941892285805025
194622,2020-07-13,Canyon,Idaho,16027.0,2178,11,27,Idaho,Canyon,229849,947.578627707756,31.324913312653166,43.97296858869457
194623,2020-07-14,Canyon,Idaho,16027.0,2281,12,27,Idaho,Canyon,229849,992.390656474468,44.81202876671193,44.28373161758993
194624,2020-07-15,Canyon,Idaho,16027.0,2555,15,27,Idaho,Canyon,229849,1111.5993543587313,119.2086978842633,51.431281282183406
194625,2020-07-16,Canyon,Idaho,16027.0,2730,16,27,Idaho,Canyon,229849,1187.7362964380964,76.1369420793651,54.38353005668939
194626,2020-07-17,Canyon,Idaho,16027.0,2834,18,27,Idaho,Canyon,229849,1232.983393445262,45.24709700716562,54.1349196335731
194627,2020-07-18,Canyon,Idaho,16027.0,2986,19,27,Idaho,Canyon,229849,1299.1137659941962,66.13037254893425,53.855232907567256
194628,2020-07-19,Canyon,Idaho,16027.0,3163,19,27,Idaho,Canyon,229849,1376.1208445544682,77.00707856027202,56.46564235028834
194629,2020-07-20,Canyon,Idaho,16027.0,3317,19,27,Idaho,Canyon,229849,1443.1213535843096,67.0005090298414,59.60434894213156
194630,2020-07-21,Canyon,Idaho,16027.0,3493,20,27,Idaho,Canyon,229849,1519.6933639041285,76.5720103198189,62.40121620218989
194631,2020-07-22,Canyon,Idaho,16027.0,3598,22,27,Idaho,Canyon,229849,1565.3755291517475,45.68216524761897,63.302428985986445
194632,2020-07-23,Canyon,Idaho,16027.0,3683,23,27,Idaho,Canyon,229849,1602.3563295902964,36.98080043854884,62.71197923108525
194633,2020-07-24,Canyon,Idaho,16027.0,3814,26,27,Idaho,Canyon,229849,1659.350269089707,56.993939499410544,63.30242898598646
194634,2020-07-25,Canyon,Idaho,16027.0,4014,27,27,Idaho,Canyon,229849,1746.3639171804098,87.01364809070287,62.27691099063173
194635,2020-07-26,Canyon,Idaho,16027.0,4108,27,27,Idaho,Canyon,229849,1787.26033178304,40.89641460263033,62.21475838485265
194636,2020-07-27,Canyon,Idaho,16027.0,4255,30,27,Idaho,Canyon,229849,1851.215363129707,63.95503134666683,64.54548110156792
194637,2020-07-28,Canyon,Idaho,16027.0,4333,32,27,Idaho,Canyon,229849,1885.150685885081,33.935322755374045,63.768573529329494
194638,2020-07-29,Canyon,Idaho,16027.0,4449,34,27,Idaho,Canyon,229849,1935.6186017776888,50.467915892607834,58.858517672782675
194639,2020-07-30,Canyon,Idaho,16027.0,4595,34,27,Idaho,Canyon,229849,1999.138564883902,63.519963106213254,57.957304888986116
194640,2020-07-31,Canyon,Idaho,16027.0,4706,37,27,Idaho,Canyon,229849,2047.4311395742423,48.29257469034019,58.17483900921287
194641,2020-08-01,Canyon,Idaho,16027.0,4778,37,27,Idaho,Canyon,229849,2078.7560528868953,31.324913312653052,55.68873477804993
194642,2020-08-02,Canyon,Idaho,16027.0,4869,37,27,Idaho,Canyon,229849,2118.3472627681654,39.59120988127006,53.01617272954979
194643,2020-08-03,Canyon,Idaho,16027.0,4959,37,27,Idaho,Canyon,229849,2157.5034044089816,39.15614164081626,51.02728934461942
194644,2020-08-04,Canyon,Idaho,16027.0,5111,42,27,Idaho,Canyon,229849,2223.633776957916,66.13037254893425,50.281458075270514
194645,2020-08-05,Canyon,Idaho,16027.0,5199,43,27,Idaho,Canyon,229849,2261.919782117825,38.28600515990911,49.75316092614838
194646,2020-08-06,Canyon,Idaho,16027.0,5453,46,27,Idaho,Canyon,229849,2372.4271151930184,110.5073330751934,55.00505611448013
194647,2020-08-07,Canyon,Idaho,16027.0,5620,48,27,Idaho,Canyon,229849,2445.083511348755,72.65639615573673,56.12380301850344
194648,2020-08-08,Canyon,Idaho,16027.0,5726,48,27,Idaho,Canyon,229849,2491.2007448368277,46.11723348807254,53.20263054688699
194649,2020-08-09,Canyon,Idaho,16027.0,5772,48,27,Idaho,Canyon,229849,2511.2138838976894,20.013139060861704,51.71096800818923
194650,2020-08-10,Canyon,Idaho,16027.0,5869,48,27,Idaho,Canyon,229849,2553.41550322168,42.2016193239906,50.15715286371235
194651,2020-08-11,Canyon,Idaho,16027.0,5951,51,27,Idaho,Canyon,229849,2589.0910989388685,35.67559571718857,50.28145807527053
194652,2020-08-12,Canyon,Idaho,16027.0,6064,51,27,Idaho,Canyon,229849,2638.253810110116,49.16271117124734,50.18822916660192
194653,2020-08-13,Canyon,Idaho,16027.0,6137,51,27,Idaho,Canyon,229849,2670.0137916632225,31.759981553106627,47.91965905566574
194654,2020-08-14,Canyon,Idaho,16027.0,6257,56,27,Idaho,Canyon,229849,2722.221980517644,52.20818885442168,48.19934578167156
194655,2020-08-15,Canyon,Idaho,16027.0,6308,56,27,Idaho,Canyon,229849,2744.4104607807735,22.18848026312935,47.54674342099129
194656,2020-08-16,Canyon,Idaho,16027.0,6362,56,27,Idaho,Canyon,229849,2767.9041457652634,23.493684984489846,46.39692021407842
194657,2020-08-17,Canyon,Idaho,16027.0,6422,58,27,Idaho,Canyon,229849,2794.008240192474,26.10409442721084,45.464631127392316
194658,2020-08-18,Canyon,Idaho,16027.0,6501,61,27,Idaho,Canyon,229849,2828.378631188302,34.37039099582762,43.196061016456134
194659,2020-08-19,Canyon,Idaho,16027.0,6589,61,27,Idaho,Canyon,229849,2866.6646363482114,38.286005159909564,43.19606101645616
194660,2020-08-20,Canyon,Idaho,16027.0,6650,63,27,Idaho,Canyon,229849,2893.2037990158756,26.539162667664186,37.19833455877551
194661,2020-08-21,Canyon,Idaho,16027.0,6663,62,27,Idaho,Canyon,229849,2898.8596861417714,5.655887125895788,32.41258391378687
194662,2020-08-22,Canyon,Idaho,16027.0,6735,64,27,Idaho,Canyon,229849,2930.1845994544246,31.32491331265328,31.355989615542633
194663,2020-08-23,Canyon,Idaho,16027.0,6798,65,27,Idaho,Canyon,229849,2957.593898602996,27.409299148571336,31.88428676466475
194664,2020-08-24,Canyon,Idaho,16027.0,6825,65,27,Idaho,Canyon,229849,2969.340741095241,11.746842492244923,29.7089455623972
194665,2020-08-25,Canyon,Idaho,16027.0,6910,70,27,Idaho,Canyon,229849,3006.3215415337895,36.98080043854861,29.802174471065776
194666,2020-08-26,Canyon,Idaho,16027.0,6950,71,27,Idaho,Canyon,229849,3023.72427115193,17.40272961814071,27.53360436012959
194667,2020-08-27,Canyon,Idaho,16027.0,7004,73,27,Idaho,Canyon,229849,3047.21795613642,23.493684984489846,26.94315460522839
194668,2020-08-28,Canyon,Idaho,16027.0,7051,74,27,Idaho,Canyon,229849,3067.6661634377356,20.448207301315506,24.674584494292237
194669,2020-08-29,Canyon,Idaho,16027.0,7126,75,27,Idaho,Canyon,229849,3100.296281471749,32.63011803401332,25.420415763641092
194670,2020-08-30,Canyon,Idaho,16027.0,7205,76,27,Idaho,Canyon,229849,3134.6666724675765,34.37039099582762,26.197323335879503
194671,2020-08-31,Canyon,Idaho,16027.0,7222,78,27,Idaho,Canyon,229849,3142.062832555286,7.396160087709632,24.861042311629415
194672,2020-09-01,Canyon,Idaho,16027.0,7261,80,27,Idaho,Canyon,229849,3159.030493932973,16.96766137768691,23.617990196047938
194673,2020-09-02,Canyon,Idaho,16027.0,7304,81,27,Idaho,Canyon,229849,3177.7384282724747,18.707934339501662,22.219556566018802
194674,2020-09-03,Canyon,Idaho,16027.0,7332,81,27,Idaho,Canyon,229849,3189.920339005173,12.18191073269827,21.194038570664095
194675,2020-09-04,Canyon,Idaho,16027.0,7392,85,27,Idaho,Canyon,229849,3216.024433432384,26.10409442721084,22.65462480647231
194676,2020-09-05,Canyon,Idaho,16027.0,7435,85,27,Idaho,Canyon,229849,3234.732367771885,18.707934339501207,21.753412022675736
194677,2020-09-06,Canyon,Idaho,16027.0,7471,85,27,Idaho,Canyon,229849,3250.3948244282115,15.662456656326412,20.91435184465824
194678,2020-09-07,Canyon,Idaho,16027.0,7491,85,27,Idaho,Canyon,229849,3259.0961892372816,8.701364809070128,20.69681772443147
194679,2020-09-08,Canyon,Idaho,16027.0,7528,85,27,Idaho,Canyon,229849,3275.1937141340622,16.09752489678067,19.20515518573376
194680,2020-09-09,Canyon,Idaho,16027.0,7576,88,27,Idaho,Canyon,229849,3296.0769896758306,20.8832755417684,19.453765608850023
194681,2020-09-10,Canyon,Idaho,16027.0,7618,88,27,Idaho,Canyon,229849,3314.3498557748785,18.27286609904786,19.080849974175596
194682,2020-09-11,Canyon,Idaho,16027.0,7652,89,27,Idaho,Canyon,229849,3329.1421759502978,14.792320175419263,18.676858036611577
194683,2020-09-12,Canyon,Idaho,16027.0,7671,90,27,Idaho,Canyon,229849,3337.408472518914,8.266296568616326,16.936585074797506
194684,2020-09-13,Canyon,Idaho,16027.0,7687,90,27,Idaho,Canyon,229849,3344.369564366171,6.961091847256739,14.97877799275673
194685,2020-09-14,Canyon,Idaho,16027.0,7721,93,27,Idaho,Canyon,229849,3359.16188454159,14.792320175419263,15.507075141878845
194686,2020-09-15,Canyon,Idaho,16027.0,7729,94,27,Idaho,Canyon,229849,3362.6424304652187,3.480545923628597,14.543709752303252
194687,2020-09-16,Canyon,Idaho,16027.0,7778,96,27,Idaho,Canyon,229849,3383.960774247441,21.3183437822222,14.730167569640432
194688,2020-09-17,Canyon,Idaho,16027.0,7809,97,27,Idaho,Canyon,229849,3397.4478897015,13.487115454059222,14.823396478309073
194689,2020-09-18,Canyon,Idaho,16027.0,7850,98,27,Idaho,Canyon,229849,3415.285687560094,17.837797858594058,14.232946723407874
194690,2020-09-19,Canyon,Idaho,16027.0,7873,99,27,Idaho,Canyon,229849,3425.2922570905243,10.00656953043017,13.611420665617086
194691,2020-09-20,Canyon,Idaho,16027.0,7896,99,27,Idaho,Canyon,229849,3435.2988266209554,10.00656953043108,13.207428728053133
194692,2020-09-21,Canyon,Idaho,16027.0,7929,99,27,Idaho,Canyon,229849,3449.656078555922,14.35725193496637,13.61142066561715
194693,2020-09-22,Canyon,Idaho,16027.0,7973,100,27,Idaho,Canyon,229849,3468.799081135876,19.1430025799541,13.828954785843823
194694,2020-09-23,Canyon,Idaho,16027.0,8004,100,27,Idaho,Canyon,229849,3482.286196589935,13.487115454059222,13.30065763672174
194695,2020-09-24,Canyon,Idaho,16027.0,8061,101,27,Idaho,Canyon,229849,3507.085086295785,24.798889705849888,13.766802180064742
194696,2020-09-25,Canyon,Idaho,16027.0,8105,101,27,Idaho,Canyon,229849,3526.22808887574,19.14300257995501,14.077565208960152
194697,2020-09-26,Canyon,Idaho,16027.0,8105,101,27,Idaho,Canyon,229849,3526.22808887574,0.0,13.487115454058985
194698,2020-09-27,Canyon,Idaho,16027.0,8105,101,27,Idaho,Canyon,229849,3526.22808887574,0.0,12.989894607826361
194699,2020-09-28,Canyon,Idaho,16027.0,8203,101,27,Idaho,Canyon,229849,3568.8647764401844,42.6366875644444,14.97877799275673
194700,2020-09-29,Canyon,Idaho,16027.0,8244,101,27,Idaho,Canyon,229849,3586.7025742987785,17.837797858594058,16.004295988111405
194701,2020-09-30,Canyon,Idaho,16027.0,8308,102,27,Idaho,Canyon,229849,3614.546941687804,27.844367389025592,16.470440531454503
194702,2020-10-01,Canyon,Idaho,16027.0,8338,102,27,Idaho,Canyon,229849,3627.5989889014095,13.05204721360542,16.439364228564948
194703,2020-10-02,Canyon,Idaho,16027.0,8375,102,27,Idaho,Canyon,229849,3643.6965137981892,16.09752489677976,16.31505901700678
194704,2020-10-03,Canyon,Idaho,16027.0,8375,102,27,Idaho,Canyon,229849,3643.6965137981892,0.0,15.600304050547484
194705,2020-10-04,Canyon,Idaho,16027.0,8375,103,27,Idaho,Canyon,229849,3643.6965137981892,0.0,14.885549084088122
194706,2020-10-05,Canyon,Idaho,16027.0,8446,103,27,Idaho,Canyon,229849,3674.5863588703887,30.889845072199478,16.066448593890488
194707,2020-10-06,Canyon,Idaho,16027.0,8446,103,27,Idaho,Canyon,229849,3674.5863588703887,0.0,14.699091266750909
194708,2020-10-07,Canyon,Idaho,16027.0,8581,103,27,Idaho,Canyon,229849,3733.320571331614,58.73421246122507,17.931026767262754
