,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
468491,2020-03-30,Elmore,Idaho,16039.0,1,0,39,Idaho,Elmore,27511,3.6349096724946386,,
468492,2020-03-31,Elmore,Idaho,16039.0,3,0,39,Idaho,Elmore,27511,10.904729017483916,7.269819344989278,
468493,2020-04-01,Elmore,Idaho,16039.0,3,0,39,Idaho,Elmore,27511,10.904729017483916,0.0,
468494,2020-04-02,Elmore,Idaho,16039.0,9,0,39,Idaho,Elmore,27511,32.71418705245175,21.809458034967832,
468495,2020-04-03,Elmore,Idaho,16039.0,10,0,39,Idaho,Elmore,27511,36.349096724946385,3.6349096724946364,
468496,2020-04-04,Elmore,Idaho,16039.0,11,0,39,Idaho,Elmore,27511,39.98400639744102,3.6349096724946364,
468497,2020-04-05,Elmore,Idaho,16039.0,11,0,39,Idaho,Elmore,27511,39.98400639744102,0.0,
468498,2020-04-06,Elmore,Idaho,16039.0,12,0,39,Idaho,Elmore,27511,43.618916069935665,3.6349096724946435,
468499,2020-04-07,Elmore,Idaho,16039.0,14,0,39,Idaho,Elmore,27511,50.88873541492494,7.269819344989273,
468500,2020-04-08,Elmore,Idaho,16039.0,14,0,39,Idaho,Elmore,27511,50.88873541492494,0.0,
468501,2020-04-09,Elmore,Idaho,16039.0,16,0,39,Idaho,Elmore,27511,58.15855475991422,7.26981934498928,
468502,2020-04-10,Elmore,Idaho,16039.0,16,0,39,Idaho,Elmore,27511,58.15855475991422,0.0,
468503,2020-04-11,Elmore,Idaho,16039.0,16,0,39,Idaho,Elmore,27511,58.15855475991422,0.0,
468504,2020-04-12,Elmore,Idaho,16039.0,16,0,39,Idaho,Elmore,27511,58.15855475991422,0.0,
468505,2020-04-13,Elmore,Idaho,16039.0,16,0,39,Idaho,Elmore,27511,58.15855475991422,0.0,3.8945460776728273
468506,2020-04-14,Elmore,Idaho,16039.0,18,0,39,Idaho,Elmore,27511,65.4283741049035,7.26981934498928,3.8945460776728273
468507,2020-04-15,Elmore,Idaho,16039.0,18,0,39,Idaho,Elmore,27511,65.4283741049035,0.0,3.8945460776728273
468508,2020-04-16,Elmore,Idaho,16039.0,18,0,39,Idaho,Elmore,27511,65.4283741049035,0.0,2.336727646603696
468509,2020-04-17,Elmore,Idaho,16039.0,21,0,39,Idaho,Elmore,27511,76.33310312238741,10.904729017483916,2.8560004569600737
468510,2020-04-18,Elmore,Idaho,16039.0,22,0,39,Idaho,Elmore,27511,79.96801279488204,3.6349096724946293,2.8560004569600728
468511,2020-04-19,Elmore,Idaho,16039.0,22,0,39,Idaho,Elmore,27511,79.96801279488204,0.0,2.8560004569600728
468512,2020-04-20,Elmore,Idaho,16039.0,24,1,39,Idaho,Elmore,27511,87.23783213987133,7.269819344989287,3.115636862138262
468513,2020-04-21,Elmore,Idaho,16039.0,25,1,39,Idaho,Elmore,27511,90.87274181236596,3.6349096724946293,2.8560004569600728
468514,2020-04-22,Elmore,Idaho,16039.0,28,1,39,Idaho,Elmore,27511,101.77747082984988,10.904729017483916,3.6349096724946386
468515,2020-04-23,Elmore,Idaho,16039.0,32,1,39,Idaho,Elmore,27511,116.31710951982843,14.53963868997856,4.154182482851016
468516,2020-04-24,Elmore,Idaho,16039.0,32,1,39,Idaho,Elmore,27511,116.31710951982843,0.0,4.154182482851016
468517,2020-04-25,Elmore,Idaho,16039.0,29,2,39,Idaho,Elmore,27511,105.41238050234452,-10.904729017483916,3.3752732673164503
468518,2020-04-26,Elmore,Idaho,16039.0,29,2,39,Idaho,Elmore,27511,105.41238050234452,0.0,3.3752732673164503
468519,2020-04-27,Elmore,Idaho,16039.0,29,2,39,Idaho,Elmore,27511,105.41238050234452,0.0,3.3752732673164503
468520,2020-04-28,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,3.6349096724946435,3.115636862138262
468521,2020-04-29,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,3.115636862138262
468522,2020-04-30,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,3.115636862138262
468523,2020-05-01,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,2.336727646603696
468524,2020-05-02,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,2.0770912414255087
468525,2020-05-03,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,2.0770912414255087
468526,2020-05-04,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,1.557818431069131
468527,2020-05-05,Elmore,Idaho,16039.0,30,2,39,Idaho,Elmore,27511,109.04729017483916,0.0,1.2981820258909431
468528,2020-05-06,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,3.6349096724946293,0.7789092155345655
468529,2020-05-07,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,-0.2596364051781888
468530,2020-05-08,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,-0.2596364051781888
468531,2020-05-09,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.5192728103563766
468532,2020-05-10,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.5192728103563766
468533,2020-05-11,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.5192728103563766
468534,2020-05-12,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468535,2020-05-13,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468536,2020-05-14,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468537,2020-05-15,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468538,2020-05-16,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468539,2020-05-17,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468540,2020-05-18,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468541,2020-05-19,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.2596364051781878
468542,2020-05-20,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468543,2020-05-21,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468544,2020-05-22,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468545,2020-05-23,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468546,2020-05-24,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468547,2020-05-25,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468548,2020-05-26,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468549,2020-05-27,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468550,2020-05-28,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468551,2020-05-29,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468552,2020-05-30,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468553,2020-05-31,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468554,2020-06-01,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468555,2020-06-02,Elmore,Idaho,16039.0,31,2,39,Idaho,Elmore,27511,112.68219984733379,0.0,0.0
468556,2020-06-03,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,3.6349096724946435,0.2596364051781888
468557,2020-06-04,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,0.0,0.2596364051781888
468558,2020-06-05,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,0.0,0.2596364051781888
468559,2020-06-06,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,0.0,0.2596364051781888
468560,2020-06-07,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,0.0,0.2596364051781888
468561,2020-06-08,Elmore,Idaho,16039.0,32,2,39,Idaho,Elmore,27511,116.31710951982843,0.0,0.2596364051781888
468562,2020-06-09,Elmore,Idaho,16039.0,33,2,39,Idaho,Elmore,27511,119.95201919232306,3.6349096724946293,0.5192728103563766
468563,2020-06-10,Elmore,Idaho,16039.0,33,2,39,Idaho,Elmore,27511,119.95201919232306,0.0,0.5192728103563766
468564,2020-06-11,Elmore,Idaho,16039.0,34,2,39,Idaho,Elmore,27511,123.58692886481771,3.6349096724946435,0.7789092155345655
