,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
714081,2020-06-30,Oneida,Idaho,16071.0,2,0,71,Idaho,Oneida,4531,44.14036636504083,0.0,0.0,,,,
714082,2020-07-01,Oneida,Idaho,16071.0,3,0,71,Idaho,Oneida,4531,66.21054954756124,0.0,0.0,22.07018318252041,0.0,,
714083,2020-07-02,Oneida,Idaho,16071.0,4,0,71,Idaho,Oneida,4531,88.28073273008167,0.0,0.0,22.070183182520424,0.0,,
714084,2020-07-03,Oneida,Idaho,16071.0,5,0,71,Idaho,Oneida,4531,110.35091591260206,0.0,0.0,22.070183182520395,0.0,,
714085,2020-07-04,Oneida,Idaho,16071.0,5,0,71,Idaho,Oneida,4531,110.35091591260206,0.0,0.0,0.0,0.0,,
714086,2020-07-05,Oneida,Idaho,16071.0,5,0,71,Idaho,Oneida,4531,110.35091591260206,0.0,0.0,0.0,0.0,,
714087,2020-07-06,Oneida,Idaho,16071.0,5,0,71,Idaho,Oneida,4531,110.35091591260206,0.0,0.0,0.0,0.0,,
714088,2020-07-07,Oneida,Idaho,16071.0,4,0,71,Idaho,Oneida,4531,88.28073273008167,0.0,0.0,-22.070183182520395,0.0,6.305766623577262,0.0
714089,2020-07-08,Oneida,Idaho,16071.0,4,0,71,Idaho,Oneida,4531,88.28073273008167,0.0,0.0,0.0,0.0,3.152883311788632,0.0
714090,2020-07-09,Oneida,Idaho,16071.0,6,0,71,Idaho,Oneida,4531,132.42109909512249,0.0,0.0,44.14036636504082,0.0,6.30576662357726,0.0
714091,2020-07-10,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,44.14036636504085,0.0,9.458649935365896,0.0
714092,2020-07-11,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,0.0,0.0,9.458649935365896,0.0
714093,2020-07-12,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,0.0,0.0,9.458649935365896,0.0
714094,2020-07-13,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,0.0,0.0,9.458649935365896,0.0
714095,2020-07-14,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,0.0,0.0,12.611533247154524,0.0
714096,2020-07-15,Oneida,Idaho,16071.0,8,0,71,Idaho,Oneida,4531,176.56146546016333,0.0,0.0,0.0,0.0,12.611533247154524,0.0
