,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
249840,2020-03-22,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,,
249841,2020-03-23,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249842,2020-03-24,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249843,2020-03-25,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249844,2020-03-26,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249845,2020-03-27,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249846,2020-03-28,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249847,2020-03-29,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249848,2020-03-30,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249849,2020-03-31,Jo Daviess,Illinois,17085.0,1,0,85,Illinois,Jo Daviess,21235,4.709206498704968,0.0,
249850,2020-04-01,Jo Daviess,Illinois,17085.0,3,0,85,Illinois,Jo Daviess,21235,14.127619496114905,9.418412997409938,
249851,2020-04-02,Jo Daviess,Illinois,17085.0,3,0,85,Illinois,Jo Daviess,21235,14.127619496114905,0.0,
249852,2020-04-03,Jo Daviess,Illinois,17085.0,4,0,85,Illinois,Jo Daviess,21235,18.836825994819872,4.709206498704967,
249853,2020-04-04,Jo Daviess,Illinois,17085.0,4,0,85,Illinois,Jo Daviess,21235,18.836825994819872,0.0,
249854,2020-04-05,Jo Daviess,Illinois,17085.0,5,0,85,Illinois,Jo Daviess,21235,23.54603249352484,4.709206498704969,1.3454875710585625
249855,2020-04-06,Jo Daviess,Illinois,17085.0,6,0,85,Illinois,Jo Daviess,21235,28.25523899222981,4.709206498704969,1.6818594638232032
249856,2020-04-07,Jo Daviess,Illinois,17085.0,6,0,85,Illinois,Jo Daviess,21235,28.25523899222981,0.0,1.6818594638232032
249857,2020-04-08,Jo Daviess,Illinois,17085.0,8,0,85,Illinois,Jo Daviess,21235,37.673651989639744,9.418412997409934,2.354603249352484
249858,2020-04-09,Jo Daviess,Illinois,17085.0,9,0,85,Illinois,Jo Daviess,21235,42.382858488344716,4.709206498704972,2.690975142117125
249859,2020-04-10,Jo Daviess,Illinois,17085.0,10,0,85,Illinois,Jo Daviess,21235,47.09206498704968,4.709206498704965,3.0273470348817653
249860,2020-04-11,Jo Daviess,Illinois,17085.0,10,0,85,Illinois,Jo Daviess,21235,47.09206498704968,0.0,3.0273470348817653
249861,2020-04-12,Jo Daviess,Illinois,17085.0,11,0,85,Illinois,Jo Daviess,21235,51.801271485754654,4.709206498704972,3.3637189276464063
249862,2020-04-13,Jo Daviess,Illinois,17085.0,11,0,85,Illinois,Jo Daviess,21235,51.801271485754654,0.0,3.3637189276464063
249863,2020-04-14,Jo Daviess,Illinois,17085.0,11,0,85,Illinois,Jo Daviess,21235,51.801271485754654,0.0,3.3637189276464063
