,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
558396,2020-03-29,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,,,,,,,
558397,2020-03-30,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558398,2020-03-31,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558399,2020-04-01,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558400,2020-04-02,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558401,2020-04-03,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558402,2020-04-04,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,,,,
558403,2020-04-05,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
558404,2020-04-06,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
558405,2020-04-07,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
558406,2020-04-08,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
558407,2020-04-09,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
558408,2020-04-10,Knox,Illinois,17095.0,1,0.0,95,Illinois,Knox,49699,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
558409,2020-04-11,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,1.0,2.0121129197770578,0.0,0.28744470282529394,0.0,1.0,12424.75
558410,2020-04-12,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,0.0,0.0,0.0,0.28744470282529394,0.0,1.0,12424.75
558411,2020-04-13,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,0.0,0.0,0.0,0.28744470282529394,0.0,1.0,12424.75
558412,2020-04-14,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,0.0,0.0,0.0,0.28744470282529394,0.0,1.0,12424.75
558413,2020-04-15,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,0.0,0.0,0.0,0.28744470282529394,0.0,1.0,12424.75
558414,2020-04-16,Knox,Illinois,17095.0,2,0.0,95,Illinois,Knox,49699,4.0242258395541155,0.0,0.0,0.0,0.0,0.0,0.28744470282529394,0.0,1.0,12424.75
558415,2020-04-17,Knox,Illinois,17095.0,3,0.0,95,Illinois,Knox,49699,6.036338759331174,0.0,0.0,1.0,2.012112919777058,0.0,0.5748894056505881,0.0,2.0,6212.375
558416,2020-04-18,Knox,Illinois,17095.0,5,0.0,95,Illinois,Knox,49699,10.06056459888529,0.0,0.0,2.0,4.0242258395541155,0.0,0.8623341084758821,0.0,4.0,3106.1875
558417,2020-04-19,Knox,Illinois,17095.0,9,0.0,95,Illinois,Knox,49699,18.109016277993522,0.0,0.0,4.0,8.048451679108233,0.0,2.012112919777058,0.0,7.0,1774.9642857142858
558418,2020-04-20,Knox,Illinois,17095.0,10,0.0,95,Illinois,Knox,49699,20.12112919777058,0.0,0.0,1.0,2.0121129197770564,0.0,2.2995576226023524,0.0,8.0,1553.09375
558419,2020-04-21,Knox,Illinois,17095.0,11,0.0,95,Illinois,Knox,49699,22.133242117547635,0.0,0.0,1.0,2.0121129197770564,0.0,2.587002325427646,0.0,9.0,1380.5277777777778
558420,2020-04-22,Knox,Illinois,17095.0,16,0.0,95,Illinois,Knox,49699,32.193806716432924,0.0,0.0,5.0,10.06056459888529,0.0,4.0242258395541155,0.0,14.0,887.4821428571429
558421,2020-04-23,Knox,Illinois,17095.0,19,0.0,95,Illinois,Knox,49699,38.2301454757641,0.0,0.0,3.0,6.036338759331173,0.0,4.886559948029998,0.0,17.0,730.8676470588235
558422,2020-04-24,Knox,Illinois,17095.0,24,0.0,95,Illinois,Knox,49699,48.29071007464939,0.0,0.0,5.0,10.060564598885293,0.0,6.036338759331174,0.0,22.0,564.7613636363636
558423,2020-04-25,Knox,Illinois,17095.0,31,0.0,95,Illinois,Knox,49699,62.375500513088795,0.0,0.0,7.0,14.084790438439406,0.0,7.473562273457644,0.0,28.0,443.74107142857144
558424,2020-04-26,Knox,Illinois,17095.0,36,0.0,95,Illinois,Knox,49699,72.43606511197409,0.0,0.0,5.0,10.060564598885293,0.0,7.761006976282938,0.0,31.0,400.7983870967742
558425,2020-04-27,Knox,Illinois,17095.0,36,0.0,95,Illinois,Knox,49699,72.43606511197409,0.0,0.0,0.0,0.0,0.0,7.473562273457645,0.0,27.0,460.1759259259259
558426,2020-04-28,Knox,Illinois,17095.0,36,0.0,95,Illinois,Knox,49699,72.43606511197409,0.0,0.0,0.0,0.0,0.0,7.186117570632352,0.0,26.0,477.87500000000006
558427,2020-04-29,Knox,Illinois,17095.0,41,0.0,95,Illinois,Knox,49699,82.49662971085937,0.0,0.0,5.0,10.060564598885279,0.0,7.18611757063235,0.0,30.0,414.1583333333333
558428,2020-04-30,Knox,Illinois,17095.0,46,0.0,95,Illinois,Knox,49699,92.55719430974466,0.0,0.0,5.0,10.060564598885293,0.0,7.761006976282938,0.0,30.0,414.1583333333333
558429,2020-05-01,Knox,Illinois,17095.0,47,0.0,95,Illinois,Knox,49699,94.56930722952171,0.0,0.0,1.0,2.012112919777053,0.0,6.611228164981761,0.0,28.0,443.74107142857144
558430,2020-05-02,Knox,Illinois,17095.0,51,0.0,95,Illinois,Knox,49699,102.61775890862995,0.0,0.0,4.0,8.04845167910824,0.0,5.748894056505881,0.0,27.0,460.1759259259259
558431,2020-05-03,Knox,Illinois,17095.0,51,0.0,95,Illinois,Knox,49699,102.61775890862995,0.0,0.0,0.0,0.0,0.0,4.31167054237941,0.0,20.0,621.2375
558432,2020-05-04,Knox,Illinois,17095.0,56,0.0,95,Illinois,Knox,49699,112.67832350751524,0.0,0.0,5.0,10.060564598885293,0.0,5.748894056505881,0.0,20.0,621.2375
558433,2020-05-05,Knox,Illinois,17095.0,56,0.0,95,Illinois,Knox,49699,112.67832350751524,0.0,0.0,0.0,0.0,0.0,5.748894056505881,0.0,20.0,621.2375
558434,2020-05-06,Knox,Illinois,17095.0,61,0.0,95,Illinois,Knox,49699,122.73888810640052,0.0,0.0,5.0,10.060564598885279,0.0,5.748894056505881,0.0,25.0,496.99
558435,2020-05-07,Knox,Illinois,17095.0,63,0.0,95,Illinois,Knox,49699,126.76311394595466,0.0,0.0,2.0,4.024225839554134,0.0,4.88655994803,0.0,22.0,564.7613636363636
558436,2020-05-08,Knox,Illinois,17095.0,69,0.0,95,Illinois,Knox,49699,138.835791464617,0.0,0.0,6.0,12.072677518662331,0.0,6.323783462156469,0.0,23.0,540.2065217391304
558437,2020-05-09,Knox,Illinois,17095.0,71,0.0,95,Illinois,Knox,49699,142.86001730417112,0.0,0.0,2.0,4.024225839554134,0.0,5.748894056505883,0.0,24.0,517.6979166666666
