,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
503206,2020-03-30,Marion,Illinois,17121.0,2,0.0,121,Illinois,Marion,37205,5.375621556242441,0.0,0.0,,,,
503207,2020-03-31,Marion,Illinois,17121.0,2,0.0,121,Illinois,Marion,37205,5.375621556242441,0.0,0.0,0.0,0.0,,
503208,2020-04-01,Marion,Illinois,17121.0,2,0.0,121,Illinois,Marion,37205,5.375621556242441,0.0,0.0,0.0,0.0,,
503209,2020-04-02,Marion,Illinois,17121.0,2,0.0,121,Illinois,Marion,37205,5.375621556242441,0.0,0.0,0.0,0.0,,
503210,2020-04-03,Marion,Illinois,17121.0,3,0.0,121,Illinois,Marion,37205,8.063432334363661,0.0,0.0,2.6878107781212197,0.0,,
503211,2020-04-04,Marion,Illinois,17121.0,3,0.0,121,Illinois,Marion,37205,8.063432334363661,0.0,0.0,0.0,0.0,,
503212,2020-04-05,Marion,Illinois,17121.0,3,0.0,121,Illinois,Marion,37205,8.063432334363661,0.0,0.0,0.0,0.0,,
503213,2020-04-06,Marion,Illinois,17121.0,3,0.0,121,Illinois,Marion,37205,8.063432334363661,0.0,0.0,0.0,0.0,0.3839729683030314,0.0
503214,2020-04-07,Marion,Illinois,17121.0,3,0.0,121,Illinois,Marion,37205,8.063432334363661,0.0,0.0,0.0,0.0,0.3839729683030314,0.0
503215,2020-04-08,Marion,Illinois,17121.0,4,0.0,121,Illinois,Marion,37205,10.751243112484882,0.0,0.0,2.6878107781212215,0.0,0.767945936606063,0.0
503216,2020-04-09,Marion,Illinois,17121.0,10,0.0,121,Illinois,Marion,37205,26.878107781212204,0.0,0.0,16.126864668727322,0.0,3.071783746424252,0.0
503217,2020-04-10,Marion,Illinois,17121.0,12,0.0,121,Illinois,Marion,37205,32.253729337454644,0.0,0.0,5.375621556242439,0.0,3.455756714727283,0.0
503218,2020-04-11,Marion,Illinois,17121.0,13,0.0,121,Illinois,Marion,37205,34.94154011557586,0.0,0.0,2.687810778121218,0.0,3.8397296830303143,0.0
503219,2020-04-12,Marion,Illinois,17121.0,13,0.0,121,Illinois,Marion,37205,34.94154011557586,0.0,0.0,0.0,0.0,3.8397296830303143,0.0
503220,2020-04-13,Marion,Illinois,17121.0,13,0.0,121,Illinois,Marion,37205,34.94154011557586,0.0,0.0,0.0,0.0,3.8397296830303143,0.0
503221,2020-04-14,Marion,Illinois,17121.0,14,0.0,121,Illinois,Marion,37205,37.62935089369709,0.0,0.0,2.687810778121225,0.0,4.223702651333347,0.0
503222,2020-04-15,Marion,Illinois,17121.0,17,0.0,121,Illinois,Marion,37205,45.69278322806074,0.0,0.0,8.063432334363654,0.0,4.991648587939409,0.0
503223,2020-04-16,Marion,Illinois,17121.0,17,0.0,121,Illinois,Marion,37205,45.69278322806074,0.0,0.0,0.0,0.0,2.68781077812122,0.0
503224,2020-04-17,Marion,Illinois,17121.0,17,0.0,121,Illinois,Marion,37205,45.69278322806074,0.0,0.0,0.0,0.0,1.9198648415151571,0.0
503225,2020-04-18,Marion,Illinois,17121.0,19,0.0,121,Illinois,Marion,37205,51.06840478430318,0.0,0.0,5.375621556242443,0.0,2.3038378098181895,0.0
503226,2020-04-19,Marion,Illinois,17121.0,20,0.0,121,Illinois,Marion,37205,53.75621556242441,0.0,0.0,2.687810778121225,0.0,2.6878107781212215,0.0
503227,2020-04-20,Marion,Illinois,17121.0,20,0.0,121,Illinois,Marion,37205,53.75621556242441,0.0,0.0,0.0,0.0,2.6878107781212215,0.0
503228,2020-04-21,Marion,Illinois,17121.0,25,0.0,121,Illinois,Marion,37205,67.1952694530305,0.0,0.0,13.439053890606097,0.0,4.223702651333346,0.0
503229,2020-04-22,Marion,Illinois,17121.0,24,0.0,121,Illinois,Marion,37205,64.50745867490929,0.0,0.0,-2.687810778121218,0.0,2.687810778121221,0.0
503230,2020-04-23,Marion,Illinois,17121.0,25,0.0,121,Illinois,Marion,37205,67.1952694530305,0.0,0.0,2.687810778121218,0.0,3.071783746424252,0.0
503231,2020-04-24,Marion,Illinois,17121.0,26,0.0,121,Illinois,Marion,37205,69.88308023115172,0.0,0.0,2.687810778121218,0.0,3.455756714727283,0.0
503232,2020-04-25,Marion,Illinois,17121.0,26,0.0,121,Illinois,Marion,37205,69.88308023115172,0.0,0.0,0.0,0.0,2.68781077812122,0.0
503233,2020-04-26,Marion,Illinois,17121.0,26,0.0,121,Illinois,Marion,37205,69.88308023115172,0.0,0.0,0.0,0.0,2.3038378098181878,0.0
503234,2020-04-27,Marion,Illinois,17121.0,26,0.0,121,Illinois,Marion,37205,69.88308023115172,0.0,0.0,0.0,0.0,2.3038378098181878,0.0
503235,2020-04-28,Marion,Illinois,17121.0,28,0.0,121,Illinois,Marion,37205,75.25870178739417,0.0,0.0,5.37562155624245,0.0,1.1519189049090954,0.0
503236,2020-04-29,Marion,Illinois,17121.0,29,0.0,121,Illinois,Marion,37205,77.94651256551538,0.0,0.0,2.6878107781212037,0.0,1.9198648415151556,0.0
503237,2020-04-30,Marion,Illinois,17121.0,33,0.0,121,Illinois,Marion,37205,88.69775567800026,0.0,0.0,10.751243112484886,0.0,3.0717837464242512,0.0
503238,2020-05-01,Marion,Illinois,17121.0,34,0.0,121,Illinois,Marion,37205,91.38556645612148,0.0,0.0,2.687810778121218,0.0,3.0717837464242512,0.0
503239,2020-05-02,Marion,Illinois,17121.0,34,0.0,121,Illinois,Marion,37205,91.38556645612148,0.0,0.0,0.0,0.0,3.0717837464242512,0.0
503240,2020-05-03,Marion,Illinois,17121.0,34,0.0,121,Illinois,Marion,37205,91.38556645612148,0.0,0.0,0.0,0.0,3.0717837464242512,0.0
503241,2020-05-04,Marion,Illinois,17121.0,35,0.0,121,Illinois,Marion,37205,94.07337723424271,0.0,0.0,2.687810778121232,0.0,3.455756714727284,0.0
503242,2020-05-05,Marion,Illinois,17121.0,36,0.0,121,Illinois,Marion,37205,96.76118801236393,0.0,0.0,2.687810778121218,0.0,3.0717837464242512,0.0
503243,2020-05-06,Marion,Illinois,17121.0,38,0.0,121,Illinois,Marion,37205,102.13680956860637,0.0,0.0,5.375621556242436,0.0,3.455756714727284,0.0
