,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
623994,2020-04-01,Massac,Illinois,17127.0,1,0.0,127,Illinois,Massac,13772,7.261109497531223,0.0,0.0,,,,,,,
623995,2020-04-02,Massac,Illinois,17127.0,1,0.0,127,Illinois,Massac,13772,7.261109497531223,0.0,0.0,0.0,0.0,0.0,,,,
623996,2020-04-03,Massac,Illinois,17127.0,1,0.0,127,Illinois,Massac,13772,7.261109497531223,0.0,0.0,0.0,0.0,0.0,,,,
623997,2020-04-04,Massac,Illinois,17127.0,1,0.0,127,Illinois,Massac,13772,7.261109497531223,0.0,0.0,0.0,0.0,0.0,,,,
623998,2020-04-05,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,1.0,7.261109497531223,0.0,,,,
623999,2020-04-06,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,,,,
624000,2020-04-07,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,,,,
624001,2020-04-08,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,,
624002,2020-04-09,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624003,2020-04-10,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624004,2020-04-11,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624005,2020-04-12,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3443.0
624006,2020-04-13,Massac,Illinois,17127.0,2,0.0,127,Illinois,Massac,13772,14.522218995062445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624007,2020-04-14,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,1.0,7.261109497531223,0.0,1.0373013567901748,0.0,1.0,3443.0
624008,2020-04-15,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624009,2020-04-16,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,1.0,7.261109497531223,0.0,2.0746027135803495,0.0,2.0,1721.5
624010,2020-04-17,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,-1.0,-7.261109497531223,0.0,1.0373013567901748,0.0,1.0,3443.0
624011,2020-04-18,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624012,2020-04-19,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624013,2020-04-20,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624014,2020-04-21,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3443.0
624015,2020-04-22,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624016,2020-04-23,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,-1.0373013567901748,0.0,0.0,inf
624017,2020-04-24,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3443.0
624018,2020-04-25,Massac,Illinois,17127.0,3,0.0,127,Illinois,Massac,13772,21.783328492593668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624019,2020-04-26,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,1.0,7.261109497531223,0.0,1.0373013567901748,0.0,1.0,3443.0
624020,2020-04-27,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624021,2020-04-28,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624022,2020-04-29,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624023,2020-04-30,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624024,2020-05-01,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624025,2020-05-02,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,1.0373013567901748,0.0,1.0,3443.0
624026,2020-05-03,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3443.0
624027,2020-05-04,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624028,2020-05-05,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624029,2020-05-06,Massac,Illinois,17127.0,4,0.0,127,Illinois,Massac,13772,29.04443799012489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
624030,2020-05-07,Massac,Illinois,17127.0,5,0.0,127,Illinois,Massac,13772,36.30554748765611,0.0,0.0,1.0,7.261109497531223,0.0,1.0373013567901748,0.0,1.0,3443.0
