,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
307308,2020-03-22,Stephenson,Illinois,17177.0,1,0.0,177,Illinois,Stephenson,44498,2.2472920131241856,0.0,0.0,,,,,,,
307309,2020-03-23,Stephenson,Illinois,17177.0,1,0.0,177,Illinois,Stephenson,44498,2.2472920131241856,0.0,0.0,0.0,0.0,0.0,,,,
307310,2020-03-24,Stephenson,Illinois,17177.0,1,0.0,177,Illinois,Stephenson,44498,2.2472920131241856,0.0,0.0,0.0,0.0,0.0,,,,
307311,2020-03-25,Stephenson,Illinois,17177.0,1,0.0,177,Illinois,Stephenson,44498,2.2472920131241856,0.0,0.0,0.0,0.0,0.0,,,,
307312,2020-03-26,Stephenson,Illinois,17177.0,2,0.0,177,Illinois,Stephenson,44498,4.494584026248371,0.0,0.0,1.0,2.2472920131241856,0.0,,,,
307313,2020-03-27,Stephenson,Illinois,17177.0,2,0.0,177,Illinois,Stephenson,44498,4.494584026248371,0.0,0.0,0.0,0.0,0.0,,,,
307314,2020-03-28,Stephenson,Illinois,17177.0,2,0.0,177,Illinois,Stephenson,44498,4.494584026248371,0.0,0.0,0.0,0.0,0.0,,,,
307315,2020-03-29,Stephenson,Illinois,17177.0,3,0.0,177,Illinois,Stephenson,44498,6.741876039372556,0.0,0.0,1.0,2.247292013124185,0.0,0.6420834323211958,0.0,,
307316,2020-03-30,Stephenson,Illinois,17177.0,3,0.0,177,Illinois,Stephenson,44498,6.741876039372556,0.0,0.0,0.0,0.0,0.0,0.6420834323211958,0.0,2.0,5562.25
307317,2020-03-31,Stephenson,Illinois,17177.0,3,0.0,177,Illinois,Stephenson,44498,6.741876039372556,0.0,0.0,0.0,0.0,0.0,0.6420834323211958,0.0,2.0,5562.25
307318,2020-04-01,Stephenson,Illinois,17177.0,3,0.0,177,Illinois,Stephenson,44498,6.741876039372556,0.0,0.0,0.0,0.0,0.0,0.6420834323211958,0.0,2.0,5562.25
307319,2020-04-02,Stephenson,Illinois,17177.0,3,0.0,177,Illinois,Stephenson,44498,6.741876039372556,0.0,0.0,0.0,0.0,0.0,0.3210417161605978,0.0,2.0,5562.25
