,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
226300,2020-03-21,Delaware,Indiana,18035.0,1,1,35,Indiana,Delaware,114135,0.8761554299732773,,
226301,2020-03-22,Delaware,Indiana,18035.0,2,1,35,Indiana,Delaware,114135,1.7523108599465547,0.8761554299732773,
226302,2020-03-23,Delaware,Indiana,18035.0,3,1,35,Indiana,Delaware,114135,2.6284662899198317,0.876155429973277,
226303,2020-03-24,Delaware,Indiana,18035.0,4,1,35,Indiana,Delaware,114135,3.5046217198931093,0.8761554299732777,
226304,2020-03-25,Delaware,Indiana,18035.0,7,1,35,Indiana,Delaware,114135,6.1330880098129406,2.6284662899198312,
226305,2020-03-26,Delaware,Indiana,18035.0,7,1,35,Indiana,Delaware,114135,6.1330880098129406,0.0,
226306,2020-03-27,Delaware,Indiana,18035.0,8,1,35,Indiana,Delaware,114135,7.009243439786219,0.8761554299732781,
226307,2020-03-28,Delaware,Indiana,18035.0,8,1,35,Indiana,Delaware,114135,7.009243439786219,0.0,
226308,2020-03-29,Delaware,Indiana,18035.0,14,1,35,Indiana,Delaware,114135,12.266176019625881,5.2569325798396624,
226309,2020-03-30,Delaware,Indiana,18035.0,15,1,35,Indiana,Delaware,114135,13.142331449599158,0.8761554299732772,
226310,2020-03-31,Delaware,Indiana,18035.0,18,1,35,Indiana,Delaware,114135,15.770797739518992,2.6284662899198334,
226311,2020-04-01,Delaware,Indiana,18035.0,22,1,35,Indiana,Delaware,114135,19.2754194594121,3.504621719893107,
226312,2020-04-02,Delaware,Indiana,18035.0,25,1,35,Indiana,Delaware,114135,21.90388574933193,2.6284662899198317,
226313,2020-04-03,Delaware,Indiana,18035.0,30,1,35,Indiana,Delaware,114135,26.284662899198317,4.380777149866386,
226314,2020-04-04,Delaware,Indiana,18035.0,33,1,35,Indiana,Delaware,114135,28.913129189118152,2.628466289919835,2.0026409827960623
226315,2020-04-05,Delaware,Indiana,18035.0,37,1,35,Indiana,Delaware,114135,32.41775090901126,3.504621719893109,2.1903885749331935
226316,2020-04-06,Delaware,Indiana,18035.0,40,1,35,Indiana,Delaware,114135,35.046217198931096,2.628466289919835,2.3155536363579476
226317,2020-04-07,Delaware,Indiana,18035.0,40,1,35,Indiana,Delaware,114135,35.046217198931096,0.0,2.2529711056455706
226318,2020-04-08,Delaware,Indiana,18035.0,46,1,35,Indiana,Delaware,114135,40.30314977877075,5.256932579839656,2.440718697782702
226319,2020-04-09,Delaware,Indiana,18035.0,49,1,35,Indiana,Delaware,114135,42.93161606869059,2.628466289919835,2.6284662899198326
226320,2020-04-10,Delaware,Indiana,18035.0,56,1,35,Indiana,Delaware,114135,49.064704078503524,6.133088009812937,3.0039614741940937
226321,2020-04-11,Delaware,Indiana,18035.0,63,2,35,Indiana,Delaware,114135,55.19779208831647,6.133088009812944,3.4420391891807327
226322,2020-04-12,Delaware,Indiana,18035.0,66,2,35,Indiana,Delaware,114135,57.826258378236304,2.628466289919835,3.254291597043602
226323,2020-04-13,Delaware,Indiana,18035.0,69,2,35,Indiana,Delaware,114135,60.45472466815613,2.628466289919828,3.3794566584683556
226324,2020-04-14,Delaware,Indiana,18035.0,72,3,35,Indiana,Delaware,114135,63.08319095807597,2.628466289919835,3.3794566584683556
226325,2020-04-15,Delaware,Indiana,18035.0,77,4,35,Indiana,Delaware,114135,67.46396810794235,4.380777149866383,3.4420391891807323
226326,2020-04-16,Delaware,Indiana,18035.0,85,5,35,Indiana,Delaware,114135,74.47321154772857,7.009243439786218,3.7549518427426167
226327,2020-04-17,Delaware,Indiana,18035.0,91,5,35,Indiana,Delaware,114135,79.73014412756822,5.256932579839656,3.817534373454993
226328,2020-04-18,Delaware,Indiana,18035.0,92,5,35,Indiana,Delaware,114135,80.6062995575415,0.8761554299732808,3.6923693120302388
226329,2020-04-19,Delaware,Indiana,18035.0,110,6,35,Indiana,Delaware,114135,96.3770972970605,15.770797739518997,4.568524742003517
226330,2020-04-20,Delaware,Indiana,18035.0,114,7,35,Indiana,Delaware,114135,99.88171901695361,3.504621719893109,4.631107272715894
226331,2020-04-21,Delaware,Indiana,18035.0,116,9,35,Indiana,Delaware,114135,101.63402987690016,1.7523108599465473,4.756272334140648
226332,2020-04-22,Delaware,Indiana,18035.0,121,9,35,Indiana,Delaware,114135,106.01480702676655,4.38077714986639,4.6936898034282715
226333,2020-04-23,Delaware,Indiana,18035.0,126,10,35,Indiana,Delaware,114135,110.39558417663294,4.38077714986639,4.818854864853025
226334,2020-04-24,Delaware,Indiana,18035.0,132,11,35,Indiana,Delaware,114135,115.65251675647261,5.25693257983967,4.7562723341406485
226335,2020-04-25,Delaware,Indiana,18035.0,144,11,35,Indiana,Delaware,114135,126.16638191615193,10.513865159679327,5.069184987702534
226336,2020-04-26,Delaware,Indiana,18035.0,146,11,35,Indiana,Delaware,114135,127.91869277609848,1.7523108599465473,5.006602456990156
226337,2020-04-27,Delaware,Indiana,18035.0,147,13,35,Indiana,Delaware,114135,128.79484820607178,0.876155429973295,4.881437395565404
226338,2020-04-28,Delaware,Indiana,18035.0,152,13,35,Indiana,Delaware,114135,133.17562535593814,4.380777149866361,5.006602456990156
226339,2020-04-29,Delaware,Indiana,18035.0,156,13,35,Indiana,Delaware,114135,136.68024707583126,3.504621719893123,4.94401992627778
226340,2020-04-30,Delaware,Indiana,18035.0,176,15,35,Indiana,Delaware,114135,154.2033556752968,17.52310859946553,5.695010294826302
226341,2020-05-01,Delaware,Indiana,18035.0,182,15,35,Indiana,Delaware,114135,159.46028825513645,5.256932579839656,5.695010294826302
226342,2020-05-02,Delaware,Indiana,18035.0,198,15,35,Indiana,Delaware,114135,173.47877513470888,14.018486879572436,6.633748255511955
226343,2020-05-03,Delaware,Indiana,18035.0,200,15,35,Indiana,Delaware,114135,175.23108599465544,1.7523108599465615,5.632427764113925
226344,2020-05-04,Delaware,Indiana,18035.0,200,15,35,Indiana,Delaware,114135,175.23108599465544,0.0,5.382097641264417
226345,2020-05-05,Delaware,Indiana,18035.0,209,15,35,Indiana,Delaware,114135,183.11648486441496,7.885398869759513,5.820175356251057
226346,2020-05-06,Delaware,Indiana,18035.0,212,15,35,Indiana,Delaware,114135,185.74495115433479,2.628466289919828,5.695010294826303
226347,2020-05-07,Delaware,Indiana,18035.0,213,15,35,Indiana,Delaware,114135,186.62110658430805,0.8761554299732666,5.444680171976794
226348,2020-05-08,Delaware,Indiana,18035.0,214,15,35,Indiana,Delaware,114135,187.49726201428135,0.876155429973295,5.13176751841491
226349,2020-05-09,Delaware,Indiana,18035.0,219,15,35,Indiana,Delaware,114135,191.8780391641477,4.380777149866361,4.69368980342827
226350,2020-05-10,Delaware,Indiana,18035.0,225,15,35,Indiana,Delaware,114135,197.1349717439874,5.256932579839685,4.94401992627778
226351,2020-05-11,Delaware,Indiana,18035.0,229,19,35,Indiana,Delaware,114135,200.6395934638805,3.5046217198930947,5.131767518414908
226352,2020-05-12,Delaware,Indiana,18035.0,228,19,35,Indiana,Delaware,114135,199.76343803390722,-0.8761554299732666,4.7562723341406485
226353,2020-05-13,Delaware,Indiana,18035.0,230,19,35,Indiana,Delaware,114135,201.51574889385378,1.7523108599465615,4.631107272715894
226354,2020-05-14,Delaware,Indiana,18035.0,235,19,35,Indiana,Delaware,114135,205.89652604372017,4.38077714986639,3.6923693120302414
226355,2020-05-15,Delaware,Indiana,18035.0,254,20,35,Indiana,Delaware,114135,222.54347921321244,16.646953169492264,4.505942211291142
226356,2020-05-16,Delaware,Indiana,18035.0,261,20,35,Indiana,Delaware,114135,228.6765672230254,6.133088009812951,3.94269943487975
226357,2020-05-17,Delaware,Indiana,18035.0,277,22,35,Indiana,Delaware,114135,242.69505410259782,14.018486879572436,4.818854864853027
226358,2020-05-18,Delaware,Indiana,18035.0,296,23,35,Indiana,Delaware,114135,259.3420072720901,16.646953169492264,6.007922948388189
226359,2020-05-19,Delaware,Indiana,18035.0,297,23,35,Indiana,Delaware,114135,260.21816270206335,0.8761554299732666,5.507262702689171
226360,2020-05-20,Delaware,Indiana,18035.0,297,24,35,Indiana,Delaware,114135,260.21816270206335,0.0,5.31951511055204
226361,2020-05-21,Delaware,Indiana,18035.0,319,25,35,Indiana,Delaware,114135,279.49358216147544,19.275419459412092,6.633748255511956
226362,2020-05-22,Delaware,Indiana,18035.0,328,26,35,Indiana,Delaware,114135,287.3789810312349,7.885398869759456,7.134408501210968
226363,2020-05-23,Delaware,Indiana,18035.0,340,27,35,Indiana,Delaware,114135,297.89284619091427,10.51386515967937,7.572486216197611
226364,2020-05-24,Delaware,Indiana,18035.0,349,33,35,Indiana,Delaware,114135,305.7782450606737,7.885398869759456,7.760233808334738
226365,2020-05-25,Delaware,Indiana,18035.0,354,34,35,Indiana,Delaware,114135,310.1590222105401,4.38077714986639,7.822816339047116
226366,2020-05-26,Delaware,Indiana,18035.0,357,35,35,Indiana,Delaware,114135,312.78748850046,2.6284662899198565,8.073146461896625
226367,2020-05-27,Delaware,Indiana,18035.0,360,37,35,Indiana,Delaware,114135,315.41595479037977,2.6284662899197997,8.135728992609
226368,2020-05-28,Delaware,Indiana,18035.0,377,37,35,Indiana,Delaware,114135,330.31059709992553,14.894642309545759,8.886719361157526
226369,2020-05-29,Delaware,Indiana,18035.0,378,37,35,Indiana,Delaware,114135,331.1867525298988,0.8761554299732666,7.76023380833474
226370,2020-05-30,Delaware,Indiana,18035.0,386,37,35,Indiana,Delaware,114135,338.195995969685,7.009243439786189,7.822816339047114
226371,2020-05-31,Delaware,Indiana,18035.0,386,38,35,Indiana,Delaware,114135,338.195995969685,0.0,6.821495847649083
226372,2020-06-01,Delaware,Indiana,18035.0,386,40,35,Indiana,Delaware,114135,338.195995969685,0.0,5.632427764113921
226373,2020-06-02,Delaware,Indiana,18035.0,386,41,35,Indiana,Delaware,114135,338.195995969685,0.0,5.569845233401545
226374,2020-06-03,Delaware,Indiana,18035.0,388,41,35,Indiana,Delaware,114135,339.9483068296316,1.75231085994659,5.695010294826302
226375,2020-06-04,Delaware,Indiana,18035.0,390,41,35,Indiana,Delaware,114135,341.7006176895781,1.7523108599465331,4.443359680578761
226376,2020-06-05,Delaware,Indiana,18035.0,398,42,35,Indiana,Delaware,114135,348.70986112936436,7.009243439786246,4.38077714986639
226377,2020-06-06,Delaware,Indiana,18035.0,400,42,35,Indiana,Delaware,114135,350.4621719893109,1.7523108599465331,3.754951842742616
226378,2020-06-07,Delaware,Indiana,18035.0,401,42,35,Indiana,Delaware,114135,351.33832741928416,0.8761554299732666,3.254291597043602
226379,2020-06-08,Delaware,Indiana,18035.0,401,42,35,Indiana,Delaware,114135,351.33832741928416,0.0,2.941378943481717
226380,2020-06-09,Delaware,Indiana,18035.0,402,43,35,Indiana,Delaware,114135,352.2144828492575,0.8761554299733234,2.8162138820569647
226381,2020-06-10,Delaware,Indiana,18035.0,401,44,35,Indiana,Delaware,114135,351.33832741928416,-0.8761554299733234,2.565883759207456
226382,2020-06-11,Delaware,Indiana,18035.0,401,44,35,Indiana,Delaware,114135,351.33832741928416,0.0,1.5019807370970446
226383,2020-06-12,Delaware,Indiana,18035.0,401,44,35,Indiana,Delaware,114135,351.33832741928416,0.0,1.4393982063846684
226384,2020-06-13,Delaware,Indiana,18035.0,403,45,35,Indiana,Delaware,114135,353.09063827923075,1.75231085994659,1.0639030221104113
226385,2020-06-14,Delaware,Indiana,18035.0,404,45,35,Indiana,Delaware,114135,353.966793709204,0.8761554299732666,1.1264855528227875
226386,2020-06-15,Delaware,Indiana,18035.0,404,45,35,Indiana,Delaware,114135,353.966793709204,0.0,1.1264855528227875
226387,2020-06-16,Delaware,Indiana,18035.0,404,45,35,Indiana,Delaware,114135,353.966793709204,0.0,1.1264855528227875
226388,2020-06-17,Delaware,Indiana,18035.0,405,45,35,Indiana,Delaware,114135,354.8429491391773,0.8761554299732666,1.0639030221104073
