,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
125491,2020-03-16,Floyd,Indiana,18043.0,1,0.0,43,Indiana,Floyd,78522,1.2735284378900182,0.0,0.0,,,,,,,
125492,2020-03-17,Floyd,Indiana,18043.0,1,0.0,43,Indiana,Floyd,78522,1.2735284378900182,0.0,0.0,0.0,0.0,0.0,,,,
125493,2020-03-18,Floyd,Indiana,18043.0,1,0.0,43,Indiana,Floyd,78522,1.2735284378900182,0.0,0.0,0.0,0.0,0.0,,,,
125494,2020-03-19,Floyd,Indiana,18043.0,1,0.0,43,Indiana,Floyd,78522,1.2735284378900182,0.0,0.0,0.0,0.0,0.0,,,,
125495,2020-03-20,Floyd,Indiana,18043.0,2,0.0,43,Indiana,Floyd,78522,2.5470568757800365,0.0,0.0,1.0,1.2735284378900182,0.0,,,,
125496,2020-03-21,Floyd,Indiana,18043.0,2,0.0,43,Indiana,Floyd,78522,2.5470568757800365,0.0,0.0,0.0,0.0,0.0,,,,
125497,2020-03-22,Floyd,Indiana,18043.0,3,0.0,43,Indiana,Floyd,78522,3.8205853136700543,0.0,0.0,1.0,1.2735284378900178,0.0,,,,
125498,2020-03-23,Floyd,Indiana,18043.0,4,0.0,43,Indiana,Floyd,78522,5.094113751560073,0.0,0.0,1.0,1.2735284378900187,0.0,0.5457979019528649,0.0,,
125499,2020-03-24,Floyd,Indiana,18043.0,6,0.0,43,Indiana,Floyd,78522,7.6411706273401085,0.0,0.0,2.0,2.5470568757800356,0.0,0.9096631699214415,0.0,5.0,3926.1
125500,2020-03-25,Floyd,Indiana,18043.0,6,0.0,43,Indiana,Floyd,78522,7.6411706273401085,0.0,0.0,0.0,0.0,0.0,0.9096631699214415,0.0,5.0,3926.1
125501,2020-03-26,Floyd,Indiana,18043.0,7,0.0,43,Indiana,Floyd,78522,8.914699065230128,0.0,0.0,1.0,1.2735284378900191,0.0,1.0915958039057299,0.0,6.0,3271.75
125502,2020-03-27,Floyd,Indiana,18043.0,11,0.0,43,Indiana,Floyd,78522,14.008812816790199,0.0,0.0,4.0,5.094113751560071,0.0,1.6373937058585946,0.0,10.0,1963.05
125503,2020-03-28,Floyd,Indiana,18043.0,13,0.0,43,Indiana,Floyd,78522,16.555869692570234,0.0,0.0,2.0,2.5470568757800347,0.0,2.001258973827171,0.0,11.0,1784.5909090909092
125504,2020-03-29,Floyd,Indiana,18043.0,14,0.0,43,Indiana,Floyd,78522,17.829398130460255,0.0,0.0,1.0,1.2735284378900218,0.0,2.0012589738271713,0.0,12.0,1635.875
125505,2020-03-30,Floyd,Indiana,18043.0,20,0.0,43,Indiana,Floyd,78522,25.47056875780036,0.0,0.0,6.0,7.641170627340106,0.0,2.910922143748613,0.0,17.0,1154.735294117647
125506,2020-03-31,Floyd,Indiana,18043.0,21,0.0,43,Indiana,Floyd,78522,26.744097195690383,0.0,0.0,1.0,1.2735284378900218,0.0,2.728989509764325,0.0,17.0,1154.735294117647
125507,2020-04-01,Floyd,Indiana,18043.0,21,0.0,43,Indiana,Floyd,78522,26.744097195690383,0.0,0.0,0.0,0.0,0.0,2.728989509764325,0.0,15.0,1308.7
125508,2020-04-02,Floyd,Indiana,18043.0,34,0.0,43,Indiana,Floyd,78522,43.29996688826061,0.0,0.0,13.0,16.55586969257023,0.0,4.912181117575783,0.0,28.0,701.0892857142857
125509,2020-04-03,Floyd,Indiana,18043.0,37,0.0,43,Indiana,Floyd,78522,47.120552201930664,0.0,0.0,3.0,3.820585313670051,0.0,4.730248483591494,0.0,30.0,654.35
125510,2020-04-04,Floyd,Indiana,18043.0,41,0.0,43,Indiana,Floyd,78522,52.21466595349074,0.0,0.0,4.0,5.094113751560073,0.0,5.094113751560071,0.0,30.0,654.35
125511,2020-04-05,Floyd,Indiana,18043.0,50,0.0,43,Indiana,Floyd,78522,63.6764218945009,0.0,0.0,9.0,11.46175594101016,0.0,6.5495748234343765,0.0,37.0,530.5540540540541
125512,2020-04-06,Floyd,Indiana,18043.0,58,1.0,43,Indiana,Floyd,78522,73.86464939762105,1.2735284378900182,0.017241379310344827,8.0,10.188227503120153,1.2735284378900182,6.913440091402955,0.18193263398428833,44.0,446.1477272727273
125513,2020-04-07,Floyd,Indiana,18043.0,74,1.0,43,Indiana,Floyd,78522,94.24110440386133,1.2735284378900182,0.013513513513513514,16.0,20.376455006240278,0.0,9.642429601167278,0.18193263398428833,54.0,363.52777777777777
125514,2020-04-08,Floyd,Indiana,18043.0,77,3.0,43,Indiana,Floyd,78522,98.0616897175314,3.8205853136700543,0.03896103896103896,3.0,3.8205853136700654,2.547056875780036,10.188227503120144,0.5457979019528649,56.0,350.54464285714283
125515,2020-04-09,Floyd,Indiana,18043.0,88,3.0,43,Indiana,Floyd,78522,112.07050253432159,3.8205853136700543,0.03409090909090909,11.0,14.008812816790197,0.0,9.824362235151568,0.5457979019528649,67.0,292.9925373134328
125516,2020-04-10,Floyd,Indiana,18043.0,93,3.0,43,Indiana,Floyd,78522,118.43814472377169,3.8205853136700543,0.03225806451612903,5.0,6.367642189450095,0.0,10.188227503120146,0.5457979019528649,59.0,332.72033898305085
125517,2020-04-11,Floyd,Indiana,18043.0,105,4.0,43,Indiana,Floyd,78522,133.7204859784519,5.094113751560073,0.0380952380952381,12.0,15.282341254680219,1.2735284378900187,11.643688574994453,0.7277305359371533,68.0,288.68382352941177
125518,2020-04-12,Floyd,Indiana,18043.0,107,4.0,43,Indiana,Floyd,78522,136.26754285423192,5.094113751560073,0.037383177570093455,2.0,2.547056875780015,0.0,10.370160137104433,0.7277305359371533,66.0,297.4318181818182
125519,2020-04-13,Floyd,Indiana,18043.0,108,4.0,43,Indiana,Floyd,78522,137.54107129212196,5.094113751560073,0.037037037037037035,1.0,1.273528437890036,0.0,9.096631699214416,0.5457979019528649,58.0,338.4568965517242
125520,2020-04-14,Floyd,Indiana,18043.0,111,5.0,43,Indiana,Floyd,78522,141.361656605792,6.36764218945009,0.04504504504504504,3.0,3.820585313670051,1.2735284378900174,6.731507457418671,0.7277305359371532,53.0,370.38679245283015
125521,2020-04-15,Floyd,Indiana,18043.0,116,5.0,43,Indiana,Floyd,78522,147.7292987952421,6.36764218945009,0.04310344827586207,5.0,6.367642189450095,0.0,7.095372725387246,0.3638652679685766,42.0,467.3928571428571
125522,2020-04-16,Floyd,Indiana,18043.0,125,5.0,43,Indiana,Floyd,78522,159.19105473625228,6.36764218945009,0.04,9.0,11.461755941010182,0.0,6.731507457418672,0.3638652679685766,48.0,408.96875
125523,2020-04-17,Floyd,Indiana,18043.0,130,6.0,43,Indiana,Floyd,78522,165.55869692570235,7.6411706273401085,0.046153846153846156,5.0,6.367642189450066,1.2735284378900182,6.731507457418668,0.5457979019528649,42.0,467.3928571428571
125524,2020-04-18,Floyd,Indiana,18043.0,137,7.0,43,Indiana,Floyd,78522,174.4733959909325,8.914699065230128,0.051094890510948905,7.0,8.914699065230138,1.2735284378900191,5.821844287497228,0.5457979019528649,44.0,446.1477272727273
125525,2020-04-19,Floyd,Indiana,18043.0,142,7.0,43,Indiana,Floyd,78522,180.84103818038255,8.914699065230128,0.04929577464788732,5.0,6.367642189450066,0.0,6.367642189450093,0.5457979019528649,37.0,530.5540540540541
125526,2020-04-20,Floyd,Indiana,18043.0,143,8.0,43,Indiana,Floyd,78522,182.1145666182726,10.188227503120146,0.055944055944055944,1.0,1.273528437890036,1.2735284378900182,6.367642189450093,0.7277305359371533,36.0,545.2916666666666
