,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
15075,2020-03-06,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,,,,
15076,2020-03-07,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,0.0,0.0,,
15077,2020-03-08,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,0.0,0.0,,
15078,2020-03-09,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,0.0,0.0,,
15079,2020-03-10,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,0.0,0.0,,
15080,2020-03-11,Marion,Indiana,18097.0,1,0,97,Indiana,Marion,964582,0.10367184956799941,0.0,0.0,0.0,0.0,,
15081,2020-03-12,Marion,Indiana,18097.0,2,0,97,Indiana,Marion,964582,0.20734369913599882,0.0,0.0,0.10367184956799941,0.0,,
15082,2020-03-13,Marion,Indiana,18097.0,2,0,97,Indiana,Marion,964582,0.20734369913599882,0.0,0.0,0.0,0.0,0.014810264223999916,0.0
15083,2020-03-14,Marion,Indiana,18097.0,3,0,97,Indiana,Marion,964582,0.31101554870399817,0.0,0.0,0.10367184956799935,0.0,0.02962052844799982,0.0
15084,2020-03-15,Marion,Indiana,18097.0,6,0,97,Indiana,Marion,964582,0.6220310974079963,0.0,0.0,0.31101554870399817,0.0,0.07405132111999957,0.0
15085,2020-03-16,Marion,Indiana,18097.0,7,1,97,Indiana,Marion,964582,0.7257029469759958,0.10367184956799941,0.14285714285714285,0.10367184956799946,0.10367184956799941,0.08886158534399949,0.014810264223999916
15086,2020-03-17,Marion,Indiana,18097.0,9,1,97,Indiana,Marion,964582,0.9330466461119946,0.10367184956799941,0.1111111111111111,0.20734369913599882,0.0,0.11848211379199933,0.014810264223999916
15087,2020-03-18,Marion,Indiana,18097.0,11,1,97,Indiana,Marion,964582,1.1403903452479935,0.10367184956799941,0.09090909090909091,0.20734369913599893,0.0,0.14810264223999917,0.014810264223999916
15088,2020-03-19,Marion,Indiana,18097.0,19,1,97,Indiana,Marion,964582,1.9697651417919886,0.10367184956799941,0.05263157894736842,0.829374796543995,0.0,0.25177449180799855,0.014810264223999916
15089,2020-03-20,Marion,Indiana,18097.0,26,3,97,Indiana,Marion,964582,2.6954680887679845,0.31101554870399817,0.11538461538461539,0.7257029469759959,0.20734369913599876,0.35544634137599795,0.04443079267199974
15090,2020-03-21,Marion,Indiana,18097.0,47,3,97,Indiana,Marion,964582,4.872576929695972,0.31101554870399817,0.06382978723404255,2.1771088409279877,0.0,0.6516516258559963,0.04443079267199974
15091,2020-03-22,Marion,Indiana,18097.0,83,4,97,Indiana,Marion,964582,8.60476351414395,0.41468739827199763,0.04819277108433735,3.7321865844479785,0.10367184956799946,1.1403903452479933,0.059241056895999664
15092,2020-03-23,Marion,Indiana,18097.0,111,4,97,Indiana,Marion,964582,11.507575302047934,0.41468739827199763,0.036036036036036036,2.9028117879039836,0.0,1.5402674792959912,0.044430792671999744
15093,2020-03-24,Marion,Indiana,18097.0,162,7,97,Indiana,Marion,964582,16.794839630015904,0.7257029469759958,0.043209876543209874,5.28726432796797,0.31101554870399817,2.265970426271987,0.08886158534399947
15094,2020-03-25,Marion,Indiana,18097.0,227,7,97,Indiana,Marion,964582,23.533509851935865,0.7257029469759958,0.030837004405286344,6.738670221919961,0.0,3.1990170723839815,0.08886158534399947
15095,2020-03-26,Marion,Indiana,18097.0,294,7,97,Indiana,Marion,964582,30.479523772991822,0.7257029469759958,0.023809523809523808,6.9460139210559575,0.0,4.072822661599976,0.08886158534399947
15096,2020-03-27,Marion,Indiana,18097.0,485,9,97,Indiana,Marion,964582,50.28084704047971,0.9330466461119946,0.018556701030927835,19.80132326748789,0.20734369913599882,6.7979112788159615,0.08886158534399947
15097,2020-03-28,Marion,Indiana,18097.0,585,11,97,Indiana,Marion,964582,60.648031997279645,1.1403903452479935,0.018803418803418803,10.367184956799932,0.20734369913599893,7.967922152511954,0.11848211379199933
15098,2020-03-29,Marion,Indiana,18097.0,677,11,97,Indiana,Marion,964582,70.1858421575356,1.1403903452479935,0.01624815361890694,9.537810160255958,0.0,8.797296949055951,0.1036718495679994
15099,2020-03-30,Marion,Indiana,18097.0,805,13,97,Indiana,Marion,964582,83.45583890223952,1.3477340443839922,0.016149068322981366,13.269996744703917,0.2073436991359987,10.278323371455942,0.13329237801599922
15100,2020-03-31,Marion,Indiana,18097.0,965,18,97,Indiana,Marion,964582,100.04333483311942,1.8660932922239892,0.01865284974093264,16.587495930879896,0.518359247839997,11.89264217187193,0.16291290646399906
15101,2020-04-01,Marion,Indiana,18097.0,1119,23,97,Indiana,Marion,964582,116.00879966659134,2.3844525400639864,0.020554066130473638,15.965464833471927,0.5183592478399972,13.210755687807927,0.23696422758399865
15102,2020-04-02,Marion,Indiana,18097.0,1306,26,97,Indiana,Marion,964582,135.39543553580722,2.6954680887679845,0.019908116385911178,19.38663586921588,0.31101554870399806,14.987987394687915,0.2813950202559984
15103,2020-04-03,Marion,Indiana,18097.0,1431,35,97,Indiana,Marion,964582,148.35441673180716,3.628514734879979,0.02445842068483578,12.95898119599994,0.9330466461119946,14.010509955903922,0.3850668698239978
15104,2020-04-04,Marion,Indiana,18097.0,1572,36,97,Indiana,Marion,964582,162.97214752089505,3.7321865844479785,0.022900763358778626,14.617730789087886,0.10367184956799935,14.617730789087915,0.3702566055999978
15105,2020-04-05,Marion,Indiana,18097.0,1764,41,97,Indiana,Marion,964582,182.87714263795095,4.250545832287976,0.023242630385487528,19.904995117055904,0.5183592478399976,16.098757211487907,0.44430792671999747
15106,2020-04-06,Marion,Indiana,18097.0,1960,45,97,Indiana,Marion,964582,203.19682515327884,4.6652332305599735,0.02295918367346939,20.319682515327884,0.4146873982719974,17.105855178719903,0.4739284551679973
15107,2020-04-07,Marion,Indiana,18097.0,2147,54,97,Indiana,Marion,964582,222.58346102249473,5.598279876671968,0.025151374010246856,19.386635869215894,0.9330466461119942,17.5057323127679,0.5331695120639969
15108,2020-04-08,Marion,Indiana,18097.0,2299,67,97,Indiana,Marion,964582,238.34158215683064,6.94601392105596,0.029143105698129623,15.758121134335909,1.3477340443839925,17.4761117843199,0.6516516258559962
15109,2020-04-09,Marion,Indiana,18097.0,2426,92,97,Indiana,Marion,964582,251.50790705196655,9.537810160255946,0.03792250618301731,13.166324895135915,2.5917962391999856,16.587495930879907,0.9774774387839944
15110,2020-04-10,Marion,Indiana,18097.0,2613,120,97,Indiana,Marion,964582,270.89454292118245,12.44062194815993,0.045924225028702644,19.386635869215894,2.9028117879039836,17.505732312767897,1.2588724590399927
15111,2020-04-11,Marion,Indiana,18097.0,2755,131,97,Indiana,Marion,964582,285.6159455598384,13.581012293407921,0.047549909255898366,14.721402638655945,1.140390345247992,17.520542576991907,1.4069751012799918
15112,2020-04-12,Marion,Indiana,18097.0,2901,137,97,Indiana,Marion,964582,300.75203559676623,14.203043390815917,0.04722509479489831,15.13609003692784,0.6220310974079961,16.839270422687896,1.4217853655039916
15113,2020-04-13,Marion,Indiana,18097.0,3028,139,97,Indiana,Marion,964582,313.9183604919022,14.410387089951916,0.045904887714663146,13.166324895135972,0.2073436991359987,15.81736219123191,1.3921648370559918
15114,2020-04-14,Marion,Indiana,18097.0,3081,159,97,Indiana,Marion,964582,319.4129685190062,16.483824081311905,0.05160662122687439,5.494608027103993,2.073436991359989,13.832786785215925,1.5550777435199912
15115,2020-04-15,Marion,Indiana,18097.0,3224,175,97,Indiana,Marion,964582,334.2380430072301,18.142573674399895,0.054280397022332505,14.82507448822389,1.6587495930879896,13.699494407199921,1.5995085361919907
15116,2020-04-16,Marion,Indiana,18097.0,3340,184,97,Indiana,Marion,964582,346.26397755711804,19.07562032051189,0.055089820359281436,12.02593454988795,0.9330466461119968,13.536581500735926,1.3625443086079925
15117,2020-04-17,Marion,Indiana,18097.0,3538,202,97,Indiana,Marion,964582,366.79100377158187,20.94171361273588,0.0570944036178632,20.52702621446383,1.8660932922239901,13.699494407199918,1.2144416663679933
15118,2020-04-18,Marion,Indiana,18097.0,3645,211,97,Indiana,Marion,964582,377.8838916753578,21.874760258847875,0.0578875171467764,11.092887903775932,0.9330466461119933,13.181135159359915,1.1848211379199936
15119,2020-04-19,Marion,Indiana,18097.0,3911,214,97,Indiana,Marion,964582,405.4606036604457,22.185775807551874,0.054717463564305804,27.57671198508791,0.31101554870399895,14.958366866239926,1.140390345247994
15120,2020-04-20,Marion,Indiana,18097.0,4076,216,97,Indiana,Marion,964582,422.56645883916553,22.39311950668787,0.05299313052011776,17.10585517871982,0.20734369913599693,15.521156906751903,1.1403903452479938
15121,2020-04-21,Marion,Indiana,18097.0,4201,231,97,Indiana,Marion,964582,435.5254400351655,23.948197250207862,0.05498690787907641,12.958981195999968,1.5550777435199912,16.5874959308799,1.0663390241279942
15122,2020-04-22,Marion,Indiana,18097.0,4289,240,97,Indiana,Marion,964582,444.64856279714945,24.88124389631986,0.0559570995570063,9.12312276198395,0.9330466461119968,15.772931398559908,0.9626671745599952
15123,2020-04-23,Marion,Indiana,18097.0,4437,255,97,Indiana,Marion,964582,459.99199653321335,26.43632163983985,0.05747126436781609,15.3434337360639,1.5550777435199912,16.2468598537279,1.0515287599039944
15124,2020-04-24,Marion,Indiana,18097.0,4571,266,97,Indiana,Marion,964582,473.8840243753253,27.57671198508784,0.05819295558958652,13.89202784211193,1.1403903452479902,15.299002943391915,0.9478569103359943
15125,2020-04-25,Marion,Indiana,18097.0,4763,283,97,Indiana,Marion,964582,493.78901949238116,29.33913342774383,0.059416334243124085,19.904995117055876,1.762421442655988,16.557875402431907,1.0663390241279935
