,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
30111,2020-03-09,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,,
30112,2020-03-10,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,0.0,
30113,2020-03-11,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,0.0,
30114,2020-03-12,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,0.0,
30115,2020-03-13,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,0.0,
30116,2020-03-14,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,,0.0,
30117,2020-03-15,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,
30118,2020-03-16,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30119,2020-03-17,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30120,2020-03-18,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30121,2020-03-19,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30122,2020-03-20,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30123,2020-03-21,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30124,2020-03-22,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30125,2020-03-23,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30126,2020-03-24,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30127,2020-03-25,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30128,2020-03-26,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30129,2020-03-27,Noble,Indiana,18113.0,1,0,113,Indiana,Noble,47744,2.094504021447721,2.094504021447721,0.0,0.0
30130,2020-03-28,Noble,Indiana,18113.0,2,0,113,Indiana,Noble,47744,4.189008042895442,2.3937188816545385,2.094504021447721,0.2992148602068173
30131,2020-03-29,Noble,Indiana,18113.0,2,0,113,Indiana,Noble,47744,4.189008042895442,2.6929337418613555,0.0,0.2992148602068173
30132,2020-03-30,Noble,Indiana,18113.0,2,0,113,Indiana,Noble,47744,4.189008042895442,2.9921486020681725,0.0,0.2992148602068173
30133,2020-03-31,Noble,Indiana,18113.0,2,0,113,Indiana,Noble,47744,4.189008042895442,3.2913634622749894,0.0,0.2992148602068173
30134,2020-04-01,Noble,Indiana,18113.0,3,0,113,Indiana,Noble,47744,6.283512064343164,3.889793182688624,2.0945040214477215,0.5984297204136347
30135,2020-04-02,Noble,Indiana,18113.0,3,0,113,Indiana,Noble,47744,6.283512064343164,4.488222903102258,0.0,0.5984297204136347
30136,2020-04-03,Noble,Indiana,18113.0,5,0,113,Indiana,Noble,47744,10.472520107238607,5.685082343929528,4.189008042895443,1.1968594408272695
30137,2020-04-04,Noble,Indiana,18113.0,9,0,113,Indiana,Noble,47744,18.85053619302949,7.779586365377249,8.378016085790884,2.0945040214477215
30138,2020-04-05,Noble,Indiana,18113.0,11,1,113,Indiana,Noble,47744,23.039544235924932,10.472520107238605,4.189008042895441,2.692933741861356
30139,2020-04-06,Noble,Indiana,18113.0,10,1,113,Indiana,Noble,47744,20.945040214477213,12.866238988893144,-2.094504021447719,2.393718881654539
30140,2020-04-07,Noble,Indiana,18113.0,11,1,113,Indiana,Noble,47744,23.039544235924932,15.5591727307545,2.094504021447719,2.692933741861356
30141,2020-04-08,Noble,Indiana,18113.0,11,1,113,Indiana,Noble,47744,23.039544235924932,17.95289161240904,0.0,2.3937188816545385
30142,2020-04-09,Noble,Indiana,18113.0,13,1,113,Indiana,Noble,47744,27.228552278820377,20.945040214477213,4.189008042895445,2.9921486020681733
30143,2020-04-10,Noble,Indiana,18113.0,14,1,113,Indiana,Noble,47744,29.323056300268096,23.637973956338566,2.094504021447719,2.692933741861356
30144,2020-04-11,Noble,Indiana,18113.0,14,1,113,Indiana,Noble,47744,29.323056300268096,25.134048257372655,0.0,1.4960743010340867
30145,2020-04-12,Noble,Indiana,18113.0,14,1,113,Indiana,Noble,47744,29.323056300268096,26.03169283799311,0.0,0.8976445806204522
30146,2020-04-13,Noble,Indiana,18113.0,15,1,113,Indiana,Noble,47744,31.41756032171582,27.527767139027194,2.0945040214477224,1.4960743010340867
30147,2020-04-14,Noble,Indiana,18113.0,17,1,113,Indiana,Noble,47744,35.60656836461126,29.3230563002681,4.189008042895445,1.7952891612409048
30148,2020-04-15,Noble,Indiana,18113.0,25,1,113,Indiana,Noble,47744,52.362600536193035,33.512064343163544,16.756032171581772,4.189008042895444
30149,2020-04-16,Noble,Indiana,18113.0,27,1,113,Indiana,Noble,47744,56.55160857908848,37.70107238605899,4.189008042895445,4.189008042895444
30150,2020-04-17,Noble,Indiana,18113.0,29,1,113,Indiana,Noble,47744,60.74061662198391,42.18929528916125,4.189008042895431,4.48822290310226
30151,2020-04-18,Noble,Indiana,18113.0,35,3,113,Indiana,Noble,47744,73.30764075067023,48.472807353504415,12.56702412868632,6.283512064343163
30152,2020-04-19,Noble,Indiana,18113.0,37,4,113,Indiana,Noble,47744,77.49664879356568,55.354749138261205,4.189008042895452,6.8819417847567985
30153,2020-04-20,Noble,Indiana,18113.0,39,5,113,Indiana,Noble,47744,81.68565683646112,62.53590578322483,4.189008042895438,7.1811566449636155
30154,2020-04-21,Noble,Indiana,18113.0,41,5,113,Indiana,Noble,47744,85.87466487935657,69.71706242818844,4.189008042895452,7.181156644963616
30155,2020-04-22,Noble,Indiana,18113.0,46,5,113,Indiana,Noble,47744,96.34718498659517,76.00057449253161,10.472520107238594,6.283512064343163
30156,2020-04-23,Noble,Indiana,18113.0,48,5,113,Indiana,Noble,47744,100.53619302949062,82.28408655687477,4.189008042895452,6.283512064343164
30157,2020-04-24,Noble,Indiana,18113.0,52,5,113,Indiana,Noble,47744,108.91420911528151,89.16602834163157,8.37801608579089,6.8819417847568
30158,2020-04-25,Noble,Indiana,18113.0,52,6,113,Indiana,Noble,47744,108.91420911528151,94.25268096514749,0.0,5.0866526235158975
30159,2020-04-26,Noble,Indiana,18113.0,55,8,113,Indiana,Noble,47744,115.19772117962465,99.6385484488702,6.283512064343142,5.385867483722711
30160,2020-04-27,Noble,Indiana,18113.0,57,8,113,Indiana,Noble,47744,119.3867292225201,105.0244159325929,4.189008042895452,5.385867483722713
30161,2020-04-28,Noble,Indiana,18113.0,59,10,113,Indiana,Noble,47744,123.57573726541554,110.41028341631561,4.189008042895438,5.385867483722711
30162,2020-04-29,Noble,Indiana,18113.0,69,12,113,Indiana,Noble,47744,144.52077747989276,117.29222520107241,20.945040214477217,6.881941784756799
30163,2020-04-30,Noble,Indiana,18113.0,70,13,113,Indiana,Noble,47744,146.61528150134046,123.8749521256224,2.0945040214477046,6.582726924549979
30164,2020-05-01,Noble,Indiana,18113.0,72,13,113,Indiana,Noble,47744,150.80428954423593,129.85924932975874,4.189008042895466,5.984297204136347
30165,2020-05-02,Noble,Indiana,18113.0,85,15,113,Indiana,Noble,47744,178.03284182305632,139.73333971658374,27.228552278820388,9.874090386824975
30166,2020-05-03,Noble,Indiana,18113.0,84,15,113,Indiana,Noble,47744,175.93833780160858,148.41057066258142,-2.094504021447733,8.677230945997707
30167,2020-05-04,Noble,Indiana,18113.0,87,15,113,Indiana,Noble,47744,182.22184986595173,157.38701646878593,6.283512064343142,8.97644580620452
30168,2020-05-05,Noble,Indiana,18113.0,123,15,113,Indiana,Noble,47744,257.6239946380697,176.53676752202225,75.40214477211796,19.149751053236308
30169,2020-05-06,Noble,Indiana,18113.0,124,15,113,Indiana,Noble,47744,259.7184986595174,192.99358483339716,2.094504021447733,16.45681731137495
30170,2020-05-07,Noble,Indiana,18113.0,125,15,113,Indiana,Noble,47744,261.81300268096516,209.45040214477214,2.094504021447733,16.456817311374955
30171,2020-05-08,Noble,Indiana,18113.0,128,15,113,Indiana,Noble,47744,268.0965147453083,226.2064343163539,6.283512064343142,16.75603217158177
30172,2020-05-09,Noble,Indiana,18113.0,129,15,113,Indiana,Noble,47744,270.19101876675603,239.37188816545387,2.094504021447733,13.16545384909996
30173,2020-05-10,Noble,Indiana,18113.0,133,16,113,Indiana,Noble,47744,278.5690348525469,254.0334163155879,8.378016085790875,14.661528150134046
30174,2020-05-11,Noble,Indiana,18113.0,136,16,113,Indiana,Noble,47744,284.8525469168901,268.694944465722,6.283512064343199,14.661528150134055
30175,2020-05-12,Noble,Indiana,18113.0,137,17,113,Indiana,Noble,47744,286.94705093833784,272.8839525086174,2.094504021447733,4.18900804289545
30176,2020-05-13,Noble,Indiana,18113.0,143,18,113,Indiana,Noble,47744,299.5140750670241,278.5690348525469,12.567024128686285,5.685082343929529
30177,2020-05-14,Noble,Indiana,18113.0,145,18,113,Indiana,Noble,47744,303.70308310991953,284.55333205668325,4.189008042895409,5.98429720413634
30178,2020-05-15,Noble,Indiana,18113.0,148,20,113,Indiana,Noble,47744,309.98659517426273,290.53762926081964,6.283512064343199,5.984297204136348
30179,2020-05-16,Noble,Indiana,18113.0,149,21,113,Indiana,Noble,47744,312.08109919571046,296.521926464956,2.094504021447733,5.984297204136348
30180,2020-05-17,Noble,Indiana,18113.0,153,21,113,Indiana,Noble,47744,320.45911528150134,302.5062236690924,8.378016085790875,5.984297204136348
30181,2020-05-18,Noble,Indiana,18113.0,153,21,113,Indiana,Noble,47744,320.45911528150134,307.5928762926083,0.0,5.08665262351589
30182,2020-05-19,Noble,Indiana,18113.0,153,21,113,Indiana,Noble,47744,320.45911528150134,312.38031405591744,0.0,4.787437763309072
30183,2020-05-20,Noble,Indiana,18113.0,156,21,113,Indiana,Noble,47744,326.7426273458445,316.2701072386061,6.283512064343142,3.889793182688623
30184,2020-05-21,Noble,Indiana,18113.0,163,21,113,Indiana,Noble,47744,341.40415549597856,321.6559747223288,14.661528150134075,5.385867483722718
30185,2020-05-22,Noble,Indiana,18113.0,169,21,113,Indiana,Noble,47744,353.9711796246649,327.9394867866719,12.567024128686342,6.283512064343166
30186,2020-05-23,Noble,Indiana,18113.0,176,21,113,Indiana,Noble,47744,368.6327077747989,336.018288012256,14.661528150134018,8.078801225584064
30187,2020-05-24,Noble,Indiana,18113.0,183,21,113,Indiana,Noble,47744,383.294235924933,344.99473381846053,14.661528150134075,8.976445806204522
30188,2020-05-25,Noble,Indiana,18113.0,187,21,113,Indiana,Noble,47744,391.67225201072387,355.1680390654923,8.378016085790875,10.17330524703179
30189,2020-05-26,Noble,Indiana,18113.0,191,22,113,Indiana,Noble,47744,400.05026809651474,366.5382037533513,8.378016085790875,11.370164687859058
30190,2020-05-27,Noble,Indiana,18113.0,194,22,113,Indiana,Noble,47744,406.33378016085794,377.9083684412103,6.283512064343199,11.370164687859065
30191,2020-05-28,Noble,Indiana,18113.0,206,22,113,Indiana,Noble,47744,431.46782841823057,390.77460743010346,25.134048257372626,12.866238988893144
30192,2020-05-29,Noble,Indiana,18113.0,213,22,113,Indiana,Noble,47744,446.12935656836464,403.9400612792034,14.661528150134075,13.165453849099963
30193,2020-05-30,Noble,Indiana,18113.0,230,22,113,Indiana,Noble,47744,481.7359249329758,420.09766373037155,35.60656836461118,16.157602451168128
30194,2020-05-31,Noble,Indiana,18113.0,234,22,113,Indiana,Noble,47744,490.11394101876675,435.35762160091923,8.378016085790932,15.25995787054768
30195,2020-06-01,Noble,Indiana,18113.0,239,22,113,Indiana,Noble,47744,500.58646112600536,450.91679433167377,10.472520107238608,15.559172730754499
30196,2020-06-02,Noble,Indiana,18113.0,240,22,113,Indiana,Noble,47744,502.6809651474531,465.57832248180785,2.094504021447733,14.66152815013405
30197,2020-06-03,Noble,Indiana,18113.0,253,22,113,Indiana,Noble,47744,529.9095174262735,483.23199923401,27.228552278820416,17.653676752202223
30198,2020-06-04,Noble,Indiana,18113.0,270,22,113,Indiana,Noble,47744,565.5160857908847,502.38175028724635,35.606568364611235,19.14975105323631
30199,2020-06-05,Noble,Indiana,18113.0,280,22,113,Indiana,Noble,47744,586.4611260053618,522.4291459211032,20.945040214477103,20.047395633856745
30200,2020-06-06,Noble,Indiana,18113.0,288,22,113,Indiana,Noble,47744,603.2171581769437,539.7836078130986,16.756032171581865,17.354461891995413
30201,2020-06-07,Noble,Indiana,18113.0,298,23,113,Indiana,Noble,47744,624.1621983914209,558.933358866335,20.945040214477217,19.14975105323631
30202,2020-06-08,Noble,Indiana,18113.0,301,23,113,Indiana,Noble,47744,630.445710455764,577.4846801991575,6.2835120643430855,18.551321332822663
30203,2020-06-09,Noble,Indiana,18113.0,307,24,113,Indiana,Noble,47744,643.0127345844504,597.5320758330143,12.567024128686398,20.04739563385676
30204,2020-06-10,Noble,Indiana,18113.0,312,26,113,Indiana,Noble,47744,653.485254691689,615.1857525852165,10.472520107238552,17.65367675220221
30205,2020-06-11,Noble,Indiana,18113.0,313,25,113,Indiana,Noble,47744,655.5797587131367,628.0519915741096,2.094504021447733,12.866238988893135
30206,2020-06-12,Noble,Indiana,18113.0,320,26,113,Indiana,Noble,47744,670.2412868632708,640.0205859823824,14.661528150134131,11.968594408272711
30207,2020-06-13,Noble,Indiana,18113.0,324,28,113,Indiana,Noble,47744,678.6193029490616,650.7923209498277,8.378016085790819,10.77173496744542
30208,2020-06-14,Noble,Indiana,18113.0,333,28,113,Indiana,Noble,47744,697.4698391420911,661.2648410570663,18.850536193029484,10.4725201072386
30209,2020-06-15,Noble,Indiana,18113.0,339,28,113,Indiana,Noble,47744,710.0368632707775,672.6350057449254,12.567024128686398,11.370164687859074
30210,2020-06-16,Noble,Indiana,18113.0,343,28,113,Indiana,Noble,47744,718.4148793565683,683.4067407123708,8.378016085790819,10.77173496744542
30211,2020-06-17,Noble,Indiana,18113.0,348,28,113,Indiana,Noble,47744,728.8873994638069,694.1784756798162,10.472520107238552,10.77173496744542
