,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
576674,2020-04-07,Buena Vista,Iowa,19021.0,1,0,21,Iowa,Buena Vista,19620,5.096839959225281,,,
576675,2020-04-08,Buena Vista,Iowa,19021.0,1,0,21,Iowa,Buena Vista,19620,5.096839959225281,,0.0,
576676,2020-04-09,Buena Vista,Iowa,19021.0,1,0,21,Iowa,Buena Vista,19620,5.096839959225281,,0.0,
576677,2020-04-10,Buena Vista,Iowa,19021.0,1,0,21,Iowa,Buena Vista,19620,5.096839959225281,,0.0,
576678,2020-04-11,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,,5.096839959225281,
576679,2020-04-12,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,,0.0,
576680,2020-04-13,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,7.281199941750401,0.0,
576681,2020-04-14,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,8.009319935925442,0.0,0.7281199941750401
576682,2020-04-15,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,8.737439930100482,0.0,0.7281199941750401
576683,2020-04-16,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,9.465559924275523,0.0,0.7281199941750401
576684,2020-04-17,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,10.193679918450561,0.0,0.7281199941750401
576685,2020-04-18,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,10.193679918450561,0.0,0.0
576686,2020-04-19,Buena Vista,Iowa,19021.0,2,0,21,Iowa,Buena Vista,19620,10.193679918450561,10.193679918450561,0.0,0.0
