,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
409336,2020-03-27,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,,,,
409337,2020-03-28,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409338,2020-03-29,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409339,2020-03-30,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409340,2020-03-31,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409341,2020-04-01,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409342,2020-04-02,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,,
409343,2020-04-03,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409344,2020-04-04,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409345,2020-04-05,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409346,2020-04-06,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409347,2020-04-07,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409348,2020-04-08,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409349,2020-04-09,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409350,2020-04-10,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409351,2020-04-11,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409352,2020-04-12,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409353,2020-04-13,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409354,2020-04-14,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409355,2020-04-15,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409356,2020-04-16,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409357,2020-04-17,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409358,2020-04-18,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409359,2020-04-19,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409360,2020-04-20,Butler,Iowa,19023.0,1,0,23,Iowa,Butler,14439,6.925687374471916,0.0,0.0,0.0,0.0,0.0,0.0
409361,2020-04-21,Butler,Iowa,19023.0,2,0,23,Iowa,Butler,14439,13.851374748943831,0.0,0.0,6.925687374471916,0.0,0.9893839106388451,0.0
409362,2020-04-22,Butler,Iowa,19023.0,2,0,23,Iowa,Butler,14439,13.851374748943831,0.0,0.0,0.0,0.0,0.9893839106388451,0.0
409363,2020-04-23,Butler,Iowa,19023.0,2,0,23,Iowa,Butler,14439,13.851374748943831,0.0,0.0,0.0,0.0,0.9893839106388451,0.0
409364,2020-04-24,Butler,Iowa,19023.0,2,0,23,Iowa,Butler,14439,13.851374748943831,0.0,0.0,0.0,0.0,0.9893839106388451,0.0
409365,2020-04-25,Butler,Iowa,19023.0,4,0,23,Iowa,Butler,14439,27.702749497887662,0.0,0.0,13.851374748943831,0.0,2.968151731916535,0.0
409366,2020-04-26,Butler,Iowa,19023.0,4,0,23,Iowa,Butler,14439,27.702749497887662,0.0,0.0,0.0,0.0,2.968151731916535,0.0
