,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
66985,2020-03-13,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,,
66986,2020-03-14,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,0.0,
66987,2020-03-15,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,0.0,
66988,2020-03-16,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,0.0,
66989,2020-03-17,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,0.0,
66990,2020-03-18,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,,0.0,
66991,2020-03-19,Butler,Kansas,20015.0,1,0,15,Kansas,Butler,66911,1.4945225747634918,1.4945225747634918,0.0,
66992,2020-03-20,Butler,Kansas,20015.0,2,0,15,Kansas,Butler,66911,2.9890451495269836,1.708025799729705,1.4945225747634918,0.21350322496621313
66993,2020-03-21,Butler,Kansas,20015.0,2,0,15,Kansas,Butler,66911,2.9890451495269836,1.921529024695918,0.0,0.21350322496621313
66994,2020-03-22,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,2.348535474628344,1.4945225747634918,0.42700644993242626
66995,2020-03-23,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,2.7755419245607698,0.0,0.42700644993242626
66996,2020-03-24,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,3.2025483744931953,0.0,0.42700644993242626
66997,2020-03-25,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,3.6295548244256213,0.0,0.42700644993242626
66998,2020-03-26,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.056561274358047,0.0,0.42700644993242626
66999,2020-03-27,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.27006449932426,0.0,0.21350322496621313
67000,2020-03-28,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.483567724290473,0.0,0.21350322496621313
67001,2020-03-29,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.483567724290474,0.0,0.0
67002,2020-03-30,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.483567724290474,0.0,0.0
67003,2020-03-31,Butler,Kansas,20015.0,3,0,15,Kansas,Butler,66911,4.4835677242904755,4.483567724290474,0.0,0.0
67004,2020-04-01,Butler,Kansas,20015.0,5,0,15,Kansas,Butler,66911,7.47261287381746,4.9105741742229005,2.9890451495269845,0.42700644993242637
67005,2020-04-02,Butler,Kansas,20015.0,7,0,15,Kansas,Butler,66911,10.461658023344443,5.7645870740877525,2.9890451495269827,0.8540128998648525
67006,2020-04-03,Butler,Kansas,20015.0,7,0,15,Kansas,Butler,66911,10.461658023344443,6.618599973952605,0.0,0.8540128998648525
67007,2020-04-04,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,7.686116098783671,1.4945225747634918,1.0675161248310656
67008,2020-04-05,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,8.753632223614737,0.0,1.0675161248310656
67009,2020-04-06,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,9.821148348445803,0.0,1.0675161248310656
67010,2020-04-07,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,10.888664473276867,0.0,1.0675161248310656
67011,2020-04-08,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,11.529174148175509,0.0,0.6405096748986392
67012,2020-04-09,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,11.74267737314172,0.0,0.21350322496621313
67013,2020-04-10,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,11.956180598107935,0.0,0.21350322496621313
67014,2020-04-11,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,11.956180598107935,0.0,0.0
67015,2020-04-12,Butler,Kansas,20015.0,8,0,15,Kansas,Butler,66911,11.956180598107935,11.956180598107935,0.0,0.0
67016,2020-04-13,Butler,Kansas,20015.0,9,0,15,Kansas,Butler,66911,13.450703172871426,12.169683823074148,1.4945225747634918,0.21350322496621313
67017,2020-04-14,Butler,Kansas,20015.0,9,0,15,Kansas,Butler,66911,13.450703172871426,12.38318704804036,0.0,0.21350322496621313
67018,2020-04-15,Butler,Kansas,20015.0,10,0,15,Kansas,Butler,66911,14.94522574763492,12.810193497972788,1.4945225747634936,0.4270064499324265
67019,2020-04-16,Butler,Kansas,20015.0,10,0,15,Kansas,Butler,66911,14.94522574763492,13.237199947905214,0.0,0.4270064499324265
67020,2020-04-17,Butler,Kansas,20015.0,12,0,15,Kansas,Butler,66911,17.934270897161902,14.091212847770068,2.989045149526982,0.8540128998648525
67021,2020-04-18,Butler,Kansas,20015.0,12,0,15,Kansas,Butler,66911,17.934270897161902,14.945225747634922,0.0,0.8540128998648525
67022,2020-04-19,Butler,Kansas,20015.0,12,0,15,Kansas,Butler,66911,17.934270897161902,15.799238647499775,0.0,0.8540128998648525
67023,2020-04-20,Butler,Kansas,20015.0,12,0,15,Kansas,Butler,66911,17.934270897161902,16.439748322398415,0.0,0.6405096748986393
67024,2020-04-21,Butler,Kansas,20015.0,12,0,15,Kansas,Butler,66911,17.934270897161902,17.080257997297057,0.0,0.6405096748986393
67025,2020-04-22,Butler,Kansas,20015.0,13,0,15,Kansas,Butler,66911,19.428793471925395,17.720767672195695,1.4945225747634936,0.6405096748986393
67026,2020-04-23,Butler,Kansas,20015.0,13,0,15,Kansas,Butler,66911,19.428793471925395,18.361277347094337,0.0,0.6405096748986393
67027,2020-04-24,Butler,Kansas,20015.0,13,0,15,Kansas,Butler,66911,19.428793471925395,18.57478057206055,0.0,0.21350322496621338
67028,2020-04-25,Butler,Kansas,20015.0,13,0,15,Kansas,Butler,66911,19.428793471925395,18.788283797026764,0.0,0.21350322496621338
67029,2020-04-26,Butler,Kansas,20015.0,13,0,15,Kansas,Butler,66911,19.428793471925395,19.00178702199298,0.0,0.21350322496621338
67030,2020-04-27,Butler,Kansas,20015.0,14,0,15,Kansas,Butler,66911,20.923316046688885,19.428793471925406,1.49452257476349,0.42700644993242626
67031,2020-04-28,Butler,Kansas,20015.0,15,0,15,Kansas,Butler,66911,22.41783862145238,20.069303146824044,1.4945225747634936,0.6405096748986396
67032,2020-04-29,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,20.709812821722686,1.49452257476349,0.6405096748986391
67033,2020-04-30,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,21.350322496621324,0.0,0.6405096748986391
67034,2020-05-01,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,21.990832171519965,0.0,0.6405096748986391
67035,2020-05-02,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,22.631341846418604,0.0,0.6405096748986391
67036,2020-05-03,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,23.271851521317245,0.0,0.6405096748986391
67037,2020-05-04,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,23.698857971249673,0.0,0.42700644993242626
67038,2020-05-05,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,23.912361196215887,0.0,0.21350322496621285
67039,2020-05-06,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,23.912361196215887,0.0,0.0
67040,2020-05-07,Butler,Kansas,20015.0,16,0,15,Kansas,Butler,66911,23.91236119621587,23.912361196215887,0.0,0.0
67041,2020-05-08,Butler,Kansas,20015.0,15,0,15,Kansas,Butler,66911,22.41783862145238,23.698857971249673,-1.49452257476349,-0.21350322496621285
67042,2020-05-09,Butler,Kansas,20015.0,15,0,15,Kansas,Butler,66911,22.41783862145238,23.48535474628346,0.0,-0.21350322496621285
67043,2020-05-10,Butler,Kansas,20015.0,17,0,15,Kansas,Butler,66911,25.40688377097936,23.698857971249673,2.98904514952698,0.21350322496621285
67044,2020-05-11,Butler,Kansas,20015.0,18,0,15,Kansas,Butler,66911,26.901406345742853,24.125864421182097,1.4945225747634936,0.42700644993242626
67045,2020-05-12,Butler,Kansas,20015.0,18,0,15,Kansas,Butler,66911,26.901406345742853,24.552870871114525,0.0,0.42700644993242626
67046,2020-05-13,Butler,Kansas,20015.0,19,0,15,Kansas,Butler,66911,28.395928920506346,25.193380546013167,1.4945225747634936,0.6405096748986396
