,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
521807,2020-04-02,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,,
521808,2020-04-03,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,0.0,
521809,2020-04-04,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,0.0,
521810,2020-04-05,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,0.0,
521811,2020-04-06,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,0.0,
521812,2020-04-07,Cloud,Kansas,20029.0,1,0,29,Kansas,Cloud,8786,11.381743683132257,0.0,
521813,2020-04-08,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,22.763487366264513,
521814,2020-04-09,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521815,2020-04-10,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521816,2020-04-11,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521817,2020-04-12,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521818,2020-04-13,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521819,2020-04-14,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521820,2020-04-15,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,
521821,2020-04-16,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521822,2020-04-17,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521823,2020-04-18,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521824,2020-04-19,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521825,2020-04-20,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521826,2020-04-21,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,1.625963383304608
521827,2020-04-22,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521828,2020-04-23,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521829,2020-04-24,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521830,2020-04-25,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521831,2020-04-26,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521832,2020-04-27,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521833,2020-04-28,Cloud,Kansas,20029.0,3,0,29,Kansas,Cloud,8786,34.14523104939677,0.0,0.0
521834,2020-04-29,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,11.381743683132257,0.812981691652304
521835,2020-04-30,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521836,2020-05-01,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521837,2020-05-02,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521838,2020-05-03,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521839,2020-05-04,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521840,2020-05-05,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521841,2020-05-06,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521842,2020-05-07,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521843,2020-05-08,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521844,2020-05-09,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521845,2020-05-10,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521846,2020-05-11,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521847,2020-05-12,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.812981691652304
521848,2020-05-13,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521849,2020-05-14,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521850,2020-05-15,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521851,2020-05-16,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521852,2020-05-17,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521853,2020-05-18,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521854,2020-05-19,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521855,2020-05-20,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521856,2020-05-21,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521857,2020-05-22,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521858,2020-05-23,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521859,2020-05-24,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521860,2020-05-25,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521861,2020-05-26,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521862,2020-05-27,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521863,2020-05-28,Cloud,Kansas,20029.0,4,0,29,Kansas,Cloud,8786,45.52697473252903,0.0,0.0
521864,2020-05-29,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,11.381743683132257,0.812981691652304
521865,2020-05-30,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521866,2020-05-31,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521867,2020-06-01,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521868,2020-06-02,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521869,2020-06-03,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521870,2020-06-04,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521871,2020-06-05,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521872,2020-06-06,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521873,2020-06-07,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521874,2020-06-08,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521875,2020-06-09,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521876,2020-06-10,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521877,2020-06-11,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.812981691652304
521878,2020-06-12,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.0
521879,2020-06-13,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.0
521880,2020-06-14,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.0
521881,2020-06-15,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.0
521882,2020-06-16,Cloud,Kansas,20029.0,5,0,29,Kansas,Cloud,8786,56.90871841566128,0.0,0.0
521883,2020-06-17,Cloud,Kansas,20029.0,6,0,29,Kansas,Cloud,8786,68.29046209879354,11.381743683132257,0.812981691652304
521884,2020-06-18,Cloud,Kansas,20029.0,6,0,29,Kansas,Cloud,8786,68.29046209879354,0.0,0.812981691652304
521885,2020-06-19,Cloud,Kansas,20029.0,7,0,29,Kansas,Cloud,8786,79.67220578192578,11.381743683132242,1.625963383304607
521886,2020-06-20,Cloud,Kansas,20029.0,7,0,29,Kansas,Cloud,8786,79.67220578192578,0.0,1.625963383304607
521887,2020-06-21,Cloud,Kansas,20029.0,7,0,29,Kansas,Cloud,8786,79.67220578192578,0.0,1.625963383304607
521888,2020-06-22,Cloud,Kansas,20029.0,7,0,29,Kansas,Cloud,8786,79.67220578192578,0.0,1.625963383304607
521889,2020-06-23,Cloud,Kansas,20029.0,7,0,29,Kansas,Cloud,8786,79.67220578192578,0.0,1.625963383304607
521890,2020-06-24,Cloud,Kansas,20029.0,8,0,29,Kansas,Cloud,8786,91.05394946505805,11.381743683132271,2.438945074956912
521891,2020-06-25,Cloud,Kansas,20029.0,8,0,29,Kansas,Cloud,8786,91.05394946505805,0.0,2.438945074956912
521892,2020-06-26,Cloud,Kansas,20029.0,10,0,29,Kansas,Cloud,8786,113.81743683132257,22.763487366264513,4.06490845826152
521893,2020-06-27,Cloud,Kansas,20029.0,10,0,29,Kansas,Cloud,8786,113.81743683132257,0.0,4.06490845826152
521894,2020-06-28,Cloud,Kansas,20029.0,10,0,29,Kansas,Cloud,8786,113.81743683132257,0.0,4.06490845826152
521895,2020-06-29,Cloud,Kansas,20029.0,18,0,29,Kansas,Cloud,8786,204.87138629638062,91.05394946505805,10.56876199147995
521896,2020-06-30,Cloud,Kansas,20029.0,18,0,29,Kansas,Cloud,8786,204.87138629638062,0.0,10.56876199147995
521897,2020-07-01,Cloud,Kansas,20029.0,18,0,29,Kansas,Cloud,8786,204.87138629638062,0.0,9.755780299827649
521898,2020-07-02,Cloud,Kansas,20029.0,18,0,29,Kansas,Cloud,8786,204.87138629638062,0.0,9.755780299827649
521899,2020-07-03,Cloud,Kansas,20029.0,21,0,29,Kansas,Cloud,8786,239.01661734577738,34.145231049396756,11.381743683132257
521900,2020-07-04,Cloud,Kansas,20029.0,21,0,29,Kansas,Cloud,8786,239.01661734577738,0.0,11.381743683132257
521901,2020-07-05,Cloud,Kansas,20029.0,21,0,29,Kansas,Cloud,8786,239.01661734577738,0.0,11.381743683132257
521902,2020-07-06,Cloud,Kansas,20029.0,24,0,29,Kansas,Cloud,8786,273.16184839517416,34.145231049396784,13.82068875808917
521903,2020-07-07,Cloud,Kansas,20029.0,24,0,29,Kansas,Cloud,8786,273.16184839517416,0.0,13.82068875808917
