,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
411954,2020-03-27,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,,,,
411955,2020-03-28,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411956,2020-03-29,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411957,2020-03-30,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411958,2020-03-31,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411959,2020-04-01,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411960,2020-04-02,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,,
411961,2020-04-03,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411962,2020-04-04,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411963,2020-04-05,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411964,2020-04-06,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411965,2020-04-07,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411966,2020-04-08,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411967,2020-04-09,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411968,2020-04-10,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411969,2020-04-11,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411970,2020-04-12,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411971,2020-04-13,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411972,2020-04-14,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411973,2020-04-15,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411974,2020-04-16,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411975,2020-04-17,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411976,2020-04-18,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411977,2020-04-19,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411978,2020-04-20,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411979,2020-04-21,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411980,2020-04-22,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411981,2020-04-23,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411982,2020-04-24,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411983,2020-04-25,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411984,2020-04-26,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411985,2020-04-27,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411986,2020-04-28,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411987,2020-04-29,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411988,2020-04-30,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
411989,2020-05-01,Gove,Kansas,20063.0,1,0,63,Kansas,Gove,2636,37.93626707132018,0.0,0.0,0.0,0.0,0.0,0.0
