,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
687121,2020-06-24,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,,
687122,2020-06-25,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,0.0,
687123,2020-06-26,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,0.0,
687124,2020-06-27,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,0.0,
687125,2020-06-28,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,0.0,
687126,2020-06-29,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,,0.0,
687127,2020-06-30,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,
687128,2020-07-01,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687129,2020-07-02,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687130,2020-07-03,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687131,2020-07-04,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687132,2020-07-05,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687133,2020-07-06,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687134,2020-07-07,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687135,2020-07-08,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687136,2020-07-09,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687137,2020-07-10,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687138,2020-07-11,Logan,Kansas,20109.0,1,0,109,Kansas,Logan,2794,35.79098067287043,35.79098067287043,0.0,0.0
687139,2020-07-12,Logan,Kansas,20109.0,2,0,109,Kansas,Logan,2794,71.58196134574086,40.903977911851925,35.79098067287043,5.112997238981491
687140,2020-07-13,Logan,Kansas,20109.0,2,0,109,Kansas,Logan,2794,71.58196134574086,46.01697515083341,0.0,5.112997238981491
687141,2020-07-14,Logan,Kansas,20109.0,2,0,109,Kansas,Logan,2794,71.58196134574086,51.1299723898149,0.0,5.112997238981491
687142,2020-07-15,Logan,Kansas,20109.0,2,0,109,Kansas,Logan,2794,71.58196134574086,56.242969628796395,0.0,5.112997238981491
