,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
522583,2020-04-01,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,,,,
522584,2020-04-02,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522585,2020-04-03,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522586,2020-04-04,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522587,2020-04-05,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522588,2020-04-06,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522589,2020-04-07,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,,
522590,2020-04-08,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522591,2020-04-09,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522592,2020-04-10,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522593,2020-04-11,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522594,2020-04-12,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522595,2020-04-13,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522596,2020-04-14,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522597,2020-04-15,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522598,2020-04-16,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522599,2020-04-17,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522600,2020-04-18,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522601,2020-04-19,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522602,2020-04-20,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522603,2020-04-21,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522604,2020-04-22,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522605,2020-04-23,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522606,2020-04-24,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522607,2020-04-25,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522608,2020-04-26,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522609,2020-04-27,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522610,2020-04-28,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522611,2020-04-29,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522612,2020-04-30,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522613,2020-05-01,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522614,2020-05-02,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522615,2020-05-03,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522616,2020-05-04,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522617,2020-05-05,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522618,2020-05-06,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522619,2020-05-07,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522620,2020-05-08,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522621,2020-05-09,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522622,2020-05-10,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522623,2020-05-11,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522624,2020-05-12,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522625,2020-05-13,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522626,2020-05-14,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522627,2020-05-15,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522628,2020-05-16,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522629,2020-05-17,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522630,2020-05-18,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522631,2020-05-19,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522632,2020-05-20,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522633,2020-05-21,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522634,2020-05-22,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522635,2020-05-23,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522636,2020-05-24,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522637,2020-05-25,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522638,2020-05-26,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522639,2020-05-27,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522640,2020-05-28,Pratt,Kansas,20151.0,1,0,151,Kansas,Pratt,9164,10.912265386294195,0.0,0.0,0.0,0.0,0.0,0.0
522641,2020-05-29,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,10.912265386294195,0.0,1.558895055184885,0.0
522642,2020-05-30,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522643,2020-05-31,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522644,2020-06-01,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522645,2020-06-02,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522646,2020-06-03,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522647,2020-06-04,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,1.558895055184885,0.0
522648,2020-06-05,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,0.0,0.0
522649,2020-06-06,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,0.0,0.0
522650,2020-06-07,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,0.0,0.0
522651,2020-06-08,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,0.0,0.0
522652,2020-06-09,Pratt,Kansas,20151.0,2,0,151,Kansas,Pratt,9164,21.82453077258839,0.0,0.0,0.0,0.0,0.0,0.0
