,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
889071,2020-08-24,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,,,,,,,
889072,2020-08-25,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889073,2020-08-26,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889074,2020-08-27,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889075,2020-08-28,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889076,2020-08-29,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889077,2020-08-30,Wallace,Kansas,20199.0,1,0.0,199,Kansas,Wallace,1518,65.87615283267458,0.0,0.0,0.0,0.0,0.0,,,,
889078,2020-08-31,Wallace,Kansas,20199.0,4,0.0,199,Kansas,Wallace,1518,263.5046113306983,0.0,0.0,3.0,197.62845849802375,0.0,28.232636928289107,0.0,,
889079,2020-09-01,Wallace,Kansas,20199.0,4,0.0,199,Kansas,Wallace,1518,263.5046113306983,0.0,0.0,0.0,0.0,0.0,28.232636928289107,0.0,3.0,126.50000000000001
889080,2020-09-02,Wallace,Kansas,20199.0,5,0.0,199,Kansas,Wallace,1518,329.3807641633729,0.0,0.0,1.0,65.87615283267456,0.0,37.643515904385474,0.0,4.0,94.875
889081,2020-09-03,Wallace,Kansas,20199.0,5,0.0,199,Kansas,Wallace,1518,329.3807641633729,0.0,0.0,0.0,0.0,0.0,37.643515904385474,0.0,4.0,94.875
889082,2020-09-04,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,5.0,329.3807641633729,0.0,84.69791078486732,0.0,9.0,42.16666666666667
889083,2020-09-05,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,84.69791078486732,0.0,9.0,42.16666666666667
889084,2020-09-06,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,84.69791078486732,0.0,9.0,42.16666666666667
889085,2020-09-07,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,56.465273856578214,0.0,9.0,42.16666666666667
889086,2020-09-08,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,56.465273856578214,0.0,6.0,63.25000000000001
889087,2020-09-09,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,47.054394880481844,0.0,6.0,63.25000000000001
889088,2020-09-10,Wallace,Kansas,20199.0,10,0.0,199,Kansas,Wallace,1518,658.7615283267457,0.0,0.0,0.0,0.0,0.0,47.054394880481844,0.0,5.0,75.9
889089,2020-09-11,Wallace,Kansas,20199.0,12,0.0,199,Kansas,Wallace,1518,790.5138339920948,0.0,0.0,2.0,131.752305665349,0.0,18.821757952192723,0.0,7.0,54.214285714285715
889090,2020-09-12,Wallace,Kansas,20199.0,12,0.0,199,Kansas,Wallace,1518,790.5138339920948,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889091,2020-09-13,Wallace,Kansas,20199.0,12,0.0,199,Kansas,Wallace,1518,790.5138339920948,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889092,2020-09-14,Wallace,Kansas,20199.0,14,0.0,199,Kansas,Wallace,1518,922.266139657444,0.0,0.0,2.0,131.75230566534924,0.0,37.643515904385474,0.0,4.0,94.875
889093,2020-09-15,Wallace,Kansas,20199.0,14,0.0,199,Kansas,Wallace,1518,922.266139657444,0.0,0.0,0.0,0.0,0.0,37.643515904385474,0.0,4.0,94.875
889094,2020-09-16,Wallace,Kansas,20199.0,16,0.0,199,Kansas,Wallace,1518,1054.0184453227932,0.0,0.0,2.0,131.75230566534924,0.0,56.46527385657822,0.0,6.0,63.25000000000001
889095,2020-09-17,Wallace,Kansas,20199.0,16,0.0,199,Kansas,Wallace,1518,1054.0184453227932,0.0,0.0,0.0,0.0,0.0,56.46527385657822,0.0,6.0,63.25000000000001
889096,2020-09-18,Wallace,Kansas,20199.0,16,0.0,199,Kansas,Wallace,1518,1054.0184453227932,0.0,0.0,0.0,0.0,0.0,37.6435159043855,0.0,6.0,63.25000000000001
889097,2020-09-19,Wallace,Kansas,20199.0,16,0.0,199,Kansas,Wallace,1518,1054.0184453227932,0.0,0.0,0.0,0.0,0.0,37.6435159043855,0.0,4.0,94.875
889098,2020-09-20,Wallace,Kansas,20199.0,16,0.0,199,Kansas,Wallace,1518,1054.0184453227932,0.0,0.0,0.0,0.0,0.0,37.6435159043855,0.0,4.0,94.875
889099,2020-09-21,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,1.0,65.8761528326745,0.0,28.232636928289114,0.0,5.0,75.9
889100,2020-09-22,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,28.232636928289114,0.0,3.0,126.50000000000001
889101,2020-09-23,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,3.0,126.50000000000001
889102,2020-09-24,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
889103,2020-09-25,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
889104,2020-09-26,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
889105,2020-09-27,Wallace,Kansas,20199.0,17,0.0,199,Kansas,Wallace,1518,1119.8945981554677,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
889106,2020-09-28,Wallace,Kansas,20199.0,18,0.0,199,Kansas,Wallace,1518,1185.7707509881423,0.0,0.0,1.0,65.8761528326745,0.0,9.410878976096367,0.0,2.0,189.75
889107,2020-09-29,Wallace,Kansas,20199.0,18,0.0,199,Kansas,Wallace,1518,1185.7707509881423,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
889108,2020-09-30,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,1.0,65.8761528326745,0.0,18.821757952192723,0.0,2.0,189.75
889109,2020-10-01,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889110,2020-10-02,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889111,2020-10-03,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889112,2020-10-04,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,18.821757952192723,0.0,2.0,189.75
889113,2020-10-05,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,2.0,189.75
889114,2020-10-06,Wallace,Kansas,20199.0,19,0.0,199,Kansas,Wallace,1518,1251.6469038208168,0.0,0.0,0.0,0.0,0.0,9.410878976096367,0.0,1.0,379.5
