,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
572526,2020-03-31,Graves,Kentucky,21083.0,1,0.0,83,Kentucky,Graves,37266,2.683411152256749,0.0,0.0,,,,,,,
572527,2020-04-01,Graves,Kentucky,21083.0,1,0.0,83,Kentucky,Graves,37266,2.683411152256749,0.0,0.0,0.0,0.0,0.0,,,,
572528,2020-04-02,Graves,Kentucky,21083.0,1,0.0,83,Kentucky,Graves,37266,2.683411152256749,0.0,0.0,0.0,0.0,0.0,,,,
572529,2020-04-03,Graves,Kentucky,21083.0,1,0.0,83,Kentucky,Graves,37266,2.683411152256749,0.0,0.0,0.0,0.0,0.0,,,,
572530,2020-04-04,Graves,Kentucky,21083.0,1,0.0,83,Kentucky,Graves,37266,2.683411152256749,0.0,0.0,0.0,0.0,0.0,,,,
572531,2020-04-05,Graves,Kentucky,21083.0,2,0.0,83,Kentucky,Graves,37266,5.366822304513498,0.0,0.0,1.0,2.683411152256749,0.0,,,,
572532,2020-04-06,Graves,Kentucky,21083.0,2,0.0,83,Kentucky,Graves,37266,5.366822304513498,0.0,0.0,0.0,0.0,0.0,,,,
572533,2020-04-07,Graves,Kentucky,21083.0,3,0.0,83,Kentucky,Graves,37266,8.050233456770247,0.0,0.0,1.0,2.683411152256749,0.0,0.7666889006447855,0.0,,
572534,2020-04-08,Graves,Kentucky,21083.0,5,0.0,83,Kentucky,Graves,37266,13.417055761283743,0.0,0.0,2.0,5.366822304513496,0.0,1.5333778012895707,0.0,4.0,2329.125
572535,2020-04-09,Graves,Kentucky,21083.0,5,0.0,83,Kentucky,Graves,37266,13.417055761283743,0.0,0.0,0.0,0.0,0.0,1.5333778012895707,0.0,4.0,2329.125
572536,2020-04-10,Graves,Kentucky,21083.0,5,0.0,83,Kentucky,Graves,37266,13.417055761283743,0.0,0.0,0.0,0.0,0.0,1.5333778012895707,0.0,4.0,2329.125
572537,2020-04-11,Graves,Kentucky,21083.0,9,0.0,83,Kentucky,Graves,37266,24.15070037031074,0.0,0.0,4.0,10.733644609026998,0.0,3.066755602579142,0.0,8.0,1164.5625
572538,2020-04-12,Graves,Kentucky,21083.0,10,0.0,83,Kentucky,Graves,37266,26.834111522567486,0.0,0.0,1.0,2.6834111522567454,0.0,3.0667556025791414,0.0,9.0,1035.1666666666667
572539,2020-04-13,Graves,Kentucky,21083.0,13,0.0,83,Kentucky,Graves,37266,34.88434497933773,0.0,0.0,3.0,8.050233456770247,0.0,4.216788953546319,0.0,11.0,846.9545454545455
