,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
701808,2020-04-11,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,,,,,,,
701809,2020-04-12,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,0.0,0.0,0.0,,,,
701810,2020-04-13,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,0.0,0.0,0.0,,,,
701811,2020-04-14,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,0.0,0.0,0.0,,,,
701812,2020-04-15,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,0.0,0.0,0.0,,,,
701813,2020-04-16,Knott,Kentucky,21119.0,1,0.0,119,Kentucky,Knott,14806,6.754018641091449,0.0,0.0,0.0,0.0,0.0,,,,
701814,2020-04-17,Knott,Kentucky,21119.0,2,0.0,119,Kentucky,Knott,14806,13.508037282182897,0.0,0.0,1.0,6.754018641091449,0.0,,,,
701815,2020-04-18,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,1.0,6.754018641091452,0.0,1.9297196117404145,0.0,,
701816,2020-04-19,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,0.0,0.0,0.0,1.9297196117404145,0.0,2.0,1850.7500000000002
701817,2020-04-20,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,0.0,0.0,0.0,1.9297196117404145,0.0,2.0,1850.7500000000002
701818,2020-04-21,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,0.0,0.0,0.0,1.9297196117404145,0.0,2.0,1850.7500000000002
701819,2020-04-22,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,1.0,6.754018641091445,0.0,2.894579417610621,0.0,3.0,1233.8333333333333
701820,2020-04-23,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,2.894579417610621,0.0,3.0,1233.8333333333333
701821,2020-04-24,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,1.9297196117404138,0.0,3.0,1233.8333333333333
701822,2020-04-25,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.9648598058702065,0.0,2.0,1850.7500000000002
701823,2020-04-26,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.9648598058702065,0.0,1.0,3701.5000000000005
701824,2020-04-27,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.9648598058702065,0.0,1.0,3701.5000000000005
701825,2020-04-28,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,-1.0,-6.754018641091445,0.0,0.0,0.0,0.0,inf
701826,2020-04-29,Knott,Kentucky,21119.0,3,0.0,119,Kentucky,Knott,14806,20.26205592327435,0.0,0.0,0.0,0.0,0.0,-0.9648598058702065,0.0,0.0,inf
701827,2020-04-30,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,1.0,6.754018641091445,0.0,0.0,0.0,0.0,inf
701828,2020-05-01,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701829,2020-05-02,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701830,2020-05-03,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701831,2020-05-04,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701832,2020-05-05,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.9648598058702065,0.0,0.0,inf
701833,2020-05-06,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.9648598058702065,0.0,1.0,3701.5000000000005
701834,2020-05-07,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3701.5000000000005
701835,2020-05-08,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701836,2020-05-09,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701837,2020-05-10,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701838,2020-05-11,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701839,2020-05-12,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701840,2020-05-13,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701841,2020-05-14,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
701842,2020-05-15,Knott,Kentucky,21119.0,4,0.0,119,Kentucky,Knott,14806,27.016074564365795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
