,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
108690,2020-03-16,Ascension,Louisiana,22005.0,1,0,5,Louisiana,Ascension,126604,0.7898644592587912,,
108691,2020-03-17,Ascension,Louisiana,22005.0,1,0,5,Louisiana,Ascension,126604,0.7898644592587912,0.0,
108692,2020-03-18,Ascension,Louisiana,22005.0,1,0,5,Louisiana,Ascension,126604,0.7898644592587912,0.0,
108693,2020-03-19,Ascension,Louisiana,22005.0,2,0,5,Louisiana,Ascension,126604,1.5797289185175825,0.7898644592587912,
108694,2020-03-20,Ascension,Louisiana,22005.0,3,0,5,Louisiana,Ascension,126604,2.369593377776374,0.7898644592587913,
108695,2020-03-21,Ascension,Louisiana,22005.0,12,0,5,Louisiana,Ascension,126604,9.478373511105495,7.108780133329121,
108696,2020-03-22,Ascension,Louisiana,22005.0,17,0,5,Louisiana,Ascension,126604,13.42769580739945,3.949322296293955,
108697,2020-03-23,Ascension,Louisiana,22005.0,26,1,5,Louisiana,Ascension,126604,20.53647594072857,7.108780133329121,
108698,2020-03-24,Ascension,Louisiana,22005.0,36,1,5,Louisiana,Ascension,126604,28.435120533316482,7.89864459258791,
108699,2020-03-25,Ascension,Louisiana,22005.0,65,1,5,Louisiana,Ascension,126604,51.341189851821426,22.906069318504944,
108700,2020-03-26,Ascension,Louisiana,22005.0,91,1,5,Louisiana,Ascension,126604,71.87766579254999,20.536475940728565,
108701,2020-03-27,Ascension,Louisiana,22005.0,90,1,5,Louisiana,Ascension,126604,71.08780133329121,-0.78986445925878,
108702,2020-03-28,Ascension,Louisiana,22005.0,107,1,5,Louisiana,Ascension,126604,84.51549714069066,13.427695807399445,
108703,2020-03-29,Ascension,Louisiana,22005.0,139,2,5,Louisiana,Ascension,126604,109.79115983697197,25.275662696281316,
108704,2020-03-30,Ascension,Louisiana,22005.0,153,5,5,Louisiana,Ascension,126604,120.84926226659505,11.058102429623077,8.57567127195259
108705,2020-03-31,Ascension,Louisiana,22005.0,161,6,5,Louisiana,Ascension,126604,127.16817794066537,6.318915674070325,9.02702239152904
108706,2020-04-01,Ascension,Louisiana,22005.0,189,6,5,Louisiana,Ascension,126604,149.28438279991155,22.11620485924618,10.606751310046624
108707,2020-04-02,Ascension,Louisiana,22005.0,201,7,5,Louisiana,Ascension,126604,158.76275631101703,9.478373511105474,11.227359099464246
108708,2020-04-03,Ascension,Louisiana,22005.0,222,7,5,Louisiana,Ascension,126604,175.34990995545164,16.587153644434608,12.355736898405377
108709,2020-04-04,Ascension,Louisiana,22005.0,284,7,5,Louisiana,Ascension,126604,224.3215064294967,48.97159647404507,15.345938065599372
108710,2020-04-05,Ascension,Louisiana,22005.0,286,11,5,Louisiana,Ascension,126604,225.90123534801427,1.57972891851756,15.1766813957582
108711,2020-04-06,Ascension,Louisiana,22005.0,347,11,5,Louisiana,Ascension,126604,274.08296736280056,48.18173201478629,18.11046367300514
108712,2020-04-07,Ascension,Louisiana,22005.0,358,11,5,Louisiana,Ascension,126604,282.7714764146472,8.688509051846665,18.166882562952193
108713,2020-04-08,Ascension,Louisiana,22005.0,366,15,5,Louisiana,Ascension,126604,289.0903920887176,6.318915674070354,16.98208587406401
108714,2020-04-09,Ascension,Louisiana,22005.0,370,17,5,Louisiana,Ascension,126604,292.24984992575276,3.159457837035177,15.740870295228765
108715,2020-04-10,Ascension,Louisiana,22005.0,397,19,5,Louisiana,Ascension,126604,313.57619032574013,21.326340399987373,17.32059921374635
108716,2020-04-11,Ascension,Louisiana,22005.0,415,20,5,Louisiana,Ascension,126604,327.79375059239834,14.21756026665821,17.377018103693405
108717,2020-04-12,Ascension,Louisiana,22005.0,428,23,5,Louisiana,Ascension,126604,338.0619885627626,10.268237970364282,16.305059194699332
108718,2020-04-13,Ascension,Louisiana,22005.0,432,24,5,Louisiana,Ascension,126604,341.2214463997978,3.159457837035177,15.740870295228765
108719,2020-04-14,Ascension,Louisiana,22005.0,438,27,5,Louisiana,Ascension,126604,345.96063315535054,4.739186755552737,15.628032515334652
108720,2020-04-15,Ascension,Louisiana,22005.0,440,27,5,Louisiana,Ascension,126604,347.5403620738681,1.57972891851756,14.16114137671118
108721,2020-04-16,Ascension,Louisiana,22005.0,451,29,5,Louisiana,Ascension,126604,356.2288711257149,8.68850905184678,14.10472248676413
108722,2020-04-17,Ascension,Louisiana,22005.0,468,30,5,Louisiana,Ascension,126604,369.6565669331143,13.427695807399402,13.879046926975901
108723,2020-04-18,Ascension,Louisiana,22005.0,496,30,5,Louisiana,Ascension,126604,391.77277179236046,22.11620485924618,11.96080466877598
108724,2020-04-19,Ascension,Louisiana,22005.0,508,30,5,Louisiana,Ascension,126604,401.25114530346593,9.478373511105474,12.524993568246545
108725,2020-04-20,Ascension,Louisiana,22005.0,512,31,5,Louisiana,Ascension,126604,404.4106031405011,3.159457837035177,9.309116841264323
108726,2020-04-21,Ascension,Louisiana,22005.0,515,31,5,Louisiana,Ascension,126604,406.7801965182774,2.3695933777763116,8.85776572168787
108727,2020-04-22,Ascension,Louisiana,22005.0,533,33,5,Louisiana,Ascension,126604,420.9977567849357,14.217560266658268,9.421954621158434
108728,2020-04-23,Ascension,Louisiana,22005.0,536,33,5,Louisiana,Ascension,126604,423.3673501627121,2.3695933777764253,9.36553573121138
