,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
97042,2020-03-15,St. Bernard,Louisiana,22087.0,1,0,87,Louisiana,St. Bernard,47244,2.1166709000084665,,
97043,2020-03-16,St. Bernard,Louisiana,22087.0,2,0,87,Louisiana,St. Bernard,47244,4.233341800016933,2.1166709000084665,
97044,2020-03-17,St. Bernard,Louisiana,22087.0,2,0,87,Louisiana,St. Bernard,47244,4.233341800016933,0.0,
97045,2020-03-18,St. Bernard,Louisiana,22087.0,3,0,87,Louisiana,St. Bernard,47244,6.350012700025399,2.116670900008466,
97046,2020-03-19,St. Bernard,Louisiana,22087.0,4,0,87,Louisiana,St. Bernard,47244,8.466683600033866,2.116670900008467,
97047,2020-03-20,St. Bernard,Louisiana,22087.0,5,0,87,Louisiana,St. Bernard,47244,10.583354500042333,2.116670900008467,
97048,2020-03-21,St. Bernard,Louisiana,22087.0,12,0,87,Louisiana,St. Bernard,47244,25.400050800101596,14.816696300059263,
97049,2020-03-22,St. Bernard,Louisiana,22087.0,13,0,87,Louisiana,St. Bernard,47244,27.516721700110068,2.1166709000084722,
97050,2020-03-23,St. Bernard,Louisiana,22087.0,15,0,87,Louisiana,St. Bernard,47244,31.750063500127002,4.233341800016934,
97051,2020-03-24,St. Bernard,Louisiana,22087.0,19,0,87,Louisiana,St. Bernard,47244,40.216747100160866,8.466683600033864,
97052,2020-03-25,St. Bernard,Louisiana,22087.0,23,1,87,Louisiana,St. Bernard,47244,48.683430700194734,8.466683600033868,
97053,2020-03-26,St. Bernard,Louisiana,22087.0,28,1,87,Louisiana,St. Bernard,47244,59.26678520023706,10.583354500042326,
97054,2020-03-27,St. Bernard,Louisiana,22087.0,31,1,87,Louisiana,St. Bernard,47244,65.61679790026247,6.35001270002541,
97055,2020-03-28,St. Bernard,Louisiana,22087.0,43,2,87,Louisiana,St. Bernard,47244,91.01684870036406,25.400050800101596,
97056,2020-03-29,St. Bernard,Louisiana,22087.0,45,2,87,Louisiana,St. Bernard,47244,95.250190500381,4.23334180001693,6.652394257169467
97057,2020-03-30,St. Bernard,Louisiana,22087.0,53,2,87,Louisiana,St. Bernard,47244,112.18355770044874,16.93336720006775,7.710729707173701
97058,2020-03-31,St. Bernard,Louisiana,22087.0,71,2,87,Louisiana,St. Bernard,47244,150.28363390060113,38.10007620015239,10.432163721470301
97059,2020-04-01,St. Bernard,Louisiana,22087.0,94,3,87,Louisiana,St. Bernard,47244,198.96706460079588,48.68343070019475,13.758360850055036
97060,2020-04-02,St. Bernard,Louisiana,22087.0,181,5,87,Louisiana,St. Bernard,47244,383.1174329015325,184.1503683007366,26.760767807249902
97061,2020-04-03,St. Bernard,Louisiana,22087.0,196,7,87,Louisiana,St. Bernard,47244,414.8674964016595,31.750063500127,28.87743870725837
