,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
85737,2020-03-14,St. John the Baptist,Louisiana,22095.0,1,0,95,Louisiana,St. John the Baptist,42837,2.334430515675701,0.0,0.0,,,,
85738,2020-03-15,St. John the Baptist,Louisiana,22095.0,1,0,95,Louisiana,St. John the Baptist,42837,2.334430515675701,0.0,0.0,0.0,0.0,,
85739,2020-03-16,St. John the Baptist,Louisiana,22095.0,1,0,95,Louisiana,St. John the Baptist,42837,2.334430515675701,0.0,0.0,0.0,0.0,,
85740,2020-03-17,St. John the Baptist,Louisiana,22095.0,1,0,95,Louisiana,St. John the Baptist,42837,2.334430515675701,0.0,0.0,0.0,0.0,,
85741,2020-03-18,St. John the Baptist,Louisiana,22095.0,2,0,95,Louisiana,St. John the Baptist,42837,4.668861031351402,0.0,0.0,2.334430515675701,0.0,,
85742,2020-03-19,St. John the Baptist,Louisiana,22095.0,3,0,95,Louisiana,St. John the Baptist,42837,7.003291547027103,0.0,0.0,2.3344305156757006,0.0,,
85743,2020-03-20,St. John the Baptist,Louisiana,22095.0,6,0,95,Louisiana,St. John the Baptist,42837,14.006583094054205,0.0,0.0,7.003291547027103,0.0,,
85744,2020-03-21,St. John the Baptist,Louisiana,22095.0,9,0,95,Louisiana,St. John the Baptist,42837,21.009874641081307,0.0,0.0,7.003291547027102,0.0,2.667920589343658,0.0
85745,2020-03-22,St. John the Baptist,Louisiana,22095.0,10,0,95,Louisiana,St. John the Baptist,42837,23.34430515675701,0.0,0.0,2.3344305156757024,0.0,3.0014106630116153,0.0
85746,2020-03-23,St. John the Baptist,Louisiana,22095.0,16,0,95,Louisiana,St. John the Baptist,42837,37.35088825081122,0.0,0.0,14.006583094054207,0.0,5.002351105019359,0.0
85747,2020-03-24,St. John the Baptist,Louisiana,22095.0,21,0,95,Louisiana,St. John the Baptist,42837,49.02304082918972,0.0,0.0,11.672152578378501,0.0,6.669801473359145,0.0
85748,2020-03-25,St. John the Baptist,Louisiana,22095.0,27,2,95,Louisiana,St. John the Baptist,42837,63.029623923243925,4.668861031351402,0.07407407407407407,14.006583094054207,4.668861031351402,8.337251841698933,0.6669801473359146
85749,2020-03-26,St. John the Baptist,Louisiana,22095.0,38,2,95,Louisiana,St. John the Baptist,42837,88.70835959567664,4.668861031351402,0.05263157894736842,25.678735672432715,0.0,11.672152578378505,0.6669801473359146
