,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
122233,2020-03-17,Washington,Louisiana,22117.0,1,0,117,Louisiana,Washington,46194,2.1647833051911505,,
122234,2020-03-18,Washington,Louisiana,22117.0,1,0,117,Louisiana,Washington,46194,2.1647833051911505,0.0,
122235,2020-03-19,Washington,Louisiana,22117.0,2,0,117,Louisiana,Washington,46194,4.329566610382301,2.1647833051911505,
122236,2020-03-20,Washington,Louisiana,22117.0,2,0,117,Louisiana,Washington,46194,4.329566610382301,0.0,
122237,2020-03-21,Washington,Louisiana,22117.0,2,0,117,Louisiana,Washington,46194,4.329566610382301,0.0,
122238,2020-03-22,Washington,Louisiana,22117.0,2,0,117,Louisiana,Washington,46194,4.329566610382301,0.0,
122239,2020-03-23,Washington,Louisiana,22117.0,2,1,117,Louisiana,Washington,46194,4.329566610382301,0.0,
122240,2020-03-24,Washington,Louisiana,22117.0,3,1,117,Louisiana,Washington,46194,6.4943499155734505,2.1647833051911496,
122241,2020-03-25,Washington,Louisiana,22117.0,4,1,117,Louisiana,Washington,46194,8.659133220764602,2.1647833051911514,
122242,2020-03-26,Washington,Louisiana,22117.0,6,1,117,Louisiana,Washington,46194,12.988699831146901,4.329566610382299,
122243,2020-03-27,Washington,Louisiana,22117.0,8,1,117,Louisiana,Washington,46194,17.318266441529204,4.329566610382303,
122244,2020-03-28,Washington,Louisiana,22117.0,10,1,117,Louisiana,Washington,46194,21.647833051911505,4.329566610382301,
122245,2020-03-29,Washington,Louisiana,22117.0,12,1,117,Louisiana,Washington,46194,25.977399662293802,4.329566610382297,
122246,2020-03-30,Washington,Louisiana,22117.0,22,1,117,Louisiana,Washington,46194,47.6252327142053,21.6478330519115,
122247,2020-03-31,Washington,Louisiana,22117.0,28,1,117,Louisiana,Washington,46194,60.61393254535221,12.98869983114691,4.174939231440076
122248,2020-04-01,Washington,Louisiana,22117.0,39,2,117,Louisiana,Washington,46194,84.42654890245487,23.812616357102655,5.875840399804551
122249,2020-04-02,Washington,Louisiana,22117.0,50,2,117,Louisiana,Washington,46194,108.23916525955752,23.812616357102655,7.422114189226802
122250,2020-04-03,Washington,Louisiana,22117.0,57,2,117,Louisiana,Washington,46194,123.39264839589558,15.153483136338053,8.504505841822377
122251,2020-04-04,Washington,Louisiana,22117.0,75,2,117,Louisiana,Washington,46194,162.35874788933629,38.96609949344071,11.287798662782427
122252,2020-04-05,Washington,Louisiana,22117.0,81,2,117,Louisiana,Washington,46194,175.34744772048316,12.988699831146874,12.215562936435775
122253,2020-04-06,Washington,Louisiana,22117.0,92,2,117,Louisiana,Washington,46194,199.16006407758582,23.812616357102655,13.916464104800252
122254,2020-04-07,Washington,Louisiana,22117.0,100,2,117,Louisiana,Washington,46194,216.47833051911505,17.318266441529232,14.998855757395829
122255,2020-04-08,Washington,Louisiana,22117.0,106,5,117,Louisiana,Washington,46194,229.46703035026192,12.988699831146874,15.77199265210695
122256,2020-04-09,Washington,Louisiana,22117.0,119,8,117,Louisiana,Washington,46194,257.6092133177469,28.142182967484956,17.472893820471427
122257,2020-04-10,Washington,Louisiana,22117.0,136,7,117,Louisiana,Washington,46194,294.41052950599646,36.80131618824959,19.792304504604804
122258,2020-04-11,Washington,Louisiana,22117.0,142,7,117,Louisiana,Washington,46194,307.39922933714337,12.988699831146903,20.410814020373703
122259,2020-04-12,Washington,Louisiana,22117.0,147,7,117,Louisiana,Washington,46194,318.2231458630991,10.823916525955724,20.87469615720038
122260,2020-04-13,Washington,Louisiana,22117.0,156,8,117,Louisiana,Washington,46194,337.7061956098195,19.483049746720383,20.720068778258156
122261,2020-04-14,Washington,Louisiana,22117.0,162,9,117,Louisiana,Washington,46194,350.6948954409663,12.988699831146846,20.72006877825815
122262,2020-04-15,Washington,Louisiana,22117.0,173,10,117,Louisiana,Washington,46194,374.507511798069,23.812616357102684,20.72006877825815
122263,2020-04-16,Washington,Louisiana,22117.0,179,10,117,Louisiana,Washington,46194,387.4962116292159,12.988699831146903,19.946931883547027
122264,2020-04-17,Washington,Louisiana,22117.0,184,11,117,Louisiana,Washington,46194,398.32012815517163,10.823916525955724,19.637677125662574
122265,2020-04-18,Washington,Louisiana,22117.0,188,11,117,Louisiana,Washington,46194,406.9792613759363,8.659133220764659,17.472893820471427
122266,2020-04-19,Washington,Louisiana,22117.0,191,11,117,Louisiana,Washington,46194,413.4736112915097,6.494349915573423,17.00901168364475
122267,2020-04-20,Washington,Louisiana,22117.0,195,11,117,Louisiana,Washington,46194,422.1327445122743,8.659133220764602,15.926620031049177
122268,2020-04-21,Washington,Louisiana,22117.0,206,13,117,Louisiana,Washington,46194,445.94536086937694,23.812616357102627,16.390502167875848
122269,2020-04-22,Washington,Louisiana,22117.0,214,13,117,Louisiana,Washington,46194,463.2636273109062,17.31826644152926,16.699756925760305
122270,2020-04-23,Washington,Louisiana,22117.0,225,13,117,Louisiana,Washington,46194,487.0762436680089,23.812616357102684,16.390502167875855
122271,2020-04-24,Washington,Louisiana,22117.0,232,14,117,Louisiana,Washington,46194,502.22972680434685,15.153483136337968,14.844228378453597
122272,2020-04-25,Washington,Louisiana,22117.0,241,14,117,Louisiana,Washington,46194,521.7127765510672,19.483049746720383,15.308110515280275
122273,2020-04-26,Washington,Louisiana,22117.0,245,14,117,Louisiana,Washington,46194,530.3719097718318,8.659133220764602,15.153483136338052
122274,2020-04-27,Washington,Louisiana,22117.0,253,18,117,Louisiana,Washington,46194,547.690176213361,17.318266441529204,14.998855757395825
122275,2020-04-28,Washington,Louisiana,22117.0,256,18,117,Louisiana,Washington,46194,554.1845261289345,6.49434991557348,14.534973620569156
122276,2020-04-29,Washington,Louisiana,22117.0,261,18,117,Louisiana,Washington,46194,565.0084426548902,10.823916525955724,13.6072093469158
122277,2020-04-30,Washington,Louisiana,22117.0,262,18,117,Louisiana,Washington,46194,567.1732259600814,2.164783305191122,12.834072452204675
122278,2020-05-01,Washington,Louisiana,22117.0,273,21,117,Louisiana,Washington,46194,590.985842317184,23.812616357102684,13.761836725858029
122279,2020-05-02,Washington,Louisiana,22117.0,282,21,117,Louisiana,Washington,46194,610.4688920639044,19.483049746720326,14.534973620569147
122280,2020-05-03,Washington,Louisiana,22117.0,285,21,117,Louisiana,Washington,46194,616.9632419794779,6.49434991557348,14.53497362056915
122281,2020-05-04,Washington,Louisiana,22117.0,291,21,117,Louisiana,Washington,46194,629.9519418106247,12.988699831146846,14.844228378453597
122282,2020-05-05,Washington,Louisiana,22117.0,292,23,117,Louisiana,Washington,46194,632.1167251158159,2.1647833051912357,13.297954589031354
122283,2020-05-06,Washington,Louisiana,22117.0,298,24,117,Louisiana,Washington,46194,645.1054249469629,12.98869983114696,12.988699831146905
122284,2020-05-07,Washington,Louisiana,22117.0,308,24,117,Louisiana,Washington,46194,666.7532579988743,21.647833051911448,12.834072452204675
122285,2020-05-08,Washington,Louisiana,22117.0,312,24,117,Louisiana,Washington,46194,675.412391219639,8.659133220764602,12.370190315378006
122286,2020-05-09,Washington,Louisiana,22117.0,335,26,117,Louisiana,Washington,46194,725.2024072390353,49.790016019396376,14.534973620569147
122287,2020-05-10,Washington,Louisiana,22117.0,337,26,117,Louisiana,Washington,46194,729.5319738494177,4.329566610382358,14.225718862684701
122288,2020-05-11,Washington,Louisiana,22117.0,342,26,117,Louisiana,Washington,46194,740.3558903753734,10.823916525955724,13.761836725858023
122289,2020-05-12,Washington,Louisiana,22117.0,347,26,117,Louisiana,Washington,46194,751.1798069013291,10.823916525955724,14.07109148374247
122290,2020-05-13,Washington,Louisiana,22117.0,350,29,117,Louisiana,Washington,46194,757.6741568169026,6.49434991557348,13.761836725858023
122291,2020-05-14,Washington,Louisiana,22117.0,356,29,117,Louisiana,Washington,46194,770.6628566480496,12.98869983114696,14.534973620569156
122292,2020-05-15,Washington,Louisiana,22117.0,357,31,117,Louisiana,Washington,46194,772.8276399532407,2.164783305191122,12.988699831146901
122293,2020-05-16,Washington,Louisiana,22117.0,363,32,117,Louisiana,Washington,46194,785.8163397843875,12.988699831146846,12.524817694320223
122294,2020-05-17,Washington,Louisiana,22117.0,365,32,117,Louisiana,Washington,46194,790.1459063947699,4.329566610382358,12.370190315378
122295,2020-05-18,Washington,Louisiana,22117.0,370,32,117,Louisiana,Washington,46194,800.9698229207256,10.823916525955724,12.215562936435777
122296,2020-05-19,Washington,Louisiana,22117.0,375,34,117,Louisiana,Washington,46194,811.7937394466813,10.823916525955724,12.83407245220467
122297,2020-05-20,Washington,Louisiana,22117.0,376,36,117,Louisiana,Washington,46194,813.9585227518726,2.1647833051912357,12.060935557493547
122298,2020-05-21,Washington,Louisiana,22117.0,383,36,117,Louisiana,Washington,46194,829.1120058882107,15.153483136338082,11.597053420666878
122299,2020-05-22,Washington,Louisiana,22117.0,389,37,117,Louisiana,Washington,46194,842.1007057193576,12.98869983114696,11.906308178551331
122300,2020-05-23,Washington,Louisiana,22117.0,389,37,117,Louisiana,Washington,46194,842.1007057193576,0.0,8.349878462880161
122301,2020-05-24,Washington,Louisiana,22117.0,389,37,117,Louisiana,Washington,46194,842.1007057193576,0.0,8.040623704995708
122302,2020-05-25,Washington,Louisiana,22117.0,398,37,117,Louisiana,Washington,46194,861.5837554660778,19.483049746720212,8.6591332207646
122303,2020-05-26,Washington,Louisiana,22117.0,400,37,117,Louisiana,Washington,46194,865.9133220764602,4.329566610382358,8.195251083937931
122304,2020-05-27,Washington,Louisiana,22117.0,407,37,117,Louisiana,Washington,46194,881.0668052127982,15.153483136337968,8.813760599706823
122305,2020-05-28,Washington,Louisiana,22117.0,410,38,117,Louisiana,Washington,46194,887.5611551283716,6.49434991557348,8.349878462880145
122306,2020-05-29,Washington,Louisiana,22117.0,410,38,117,Louisiana,Washington,46194,887.5611551283716,0.0,8.195251083937922
122307,2020-05-30,Washington,Louisiana,22117.0,419,38,117,Louisiana,Washington,46194,907.044204875092,19.483049746720326,8.6591332207646
122308,2020-05-31,Washington,Louisiana,22117.0,425,38,117,Louisiana,Washington,46194,920.0329047062389,12.98869983114696,9.2776427365335
122309,2020-06-01,Washington,Louisiana,22117.0,433,38,117,Louisiana,Washington,46194,937.3511711477681,17.318266441529204,9.741524873360177
122310,2020-06-02,Washington,Louisiana,22117.0,437,38,117,Louisiana,Washington,46194,946.0103043685327,8.659133220764602,9.586897494417954
122311,2020-06-03,Washington,Louisiana,22117.0,444,39,117,Louisiana,Washington,46194,961.1637875048708,15.153483136338082,10.514661768071301
122312,2020-06-04,Washington,Louisiana,22117.0,451,41,117,Louisiana,Washington,46194,976.3172706412088,15.153483136337968,10.514661768071292
122313,2020-06-05,Washington,Louisiana,22117.0,457,42,117,Louisiana,Washington,46194,989.3059704723556,12.988699831146846,10.514661768071283
122314,2020-06-06,Washington,Louisiana,22117.0,462,42,117,Louisiana,Washington,46194,1000.1298869983116,10.823916525955951,11.287798662782423
122315,2020-06-07,Washington,Louisiana,22117.0,465,42,117,Louisiana,Washington,46194,1006.6242369138849,6.494349915573366,11.751680799609092
122316,2020-06-08,Washington,Louisiana,22117.0,478,42,117,Louisiana,Washington,46194,1034.76641988137,28.14218296748504,12.370190315378009
122317,2020-06-09,Washington,Louisiana,22117.0,489,42,117,Louisiana,Washington,46194,1058.5790362384726,23.81261635710257,13.761836725858023
122318,2020-06-10,Washington,Louisiana,22117.0,500,42,117,Louisiana,Washington,46194,1082.3916525955751,23.81261635710257,14.380346241626924
122319,2020-06-11,Washington,Louisiana,22117.0,509,43,117,Louisiana,Washington,46194,1101.8747023422954,19.483049746720326,15.308110515280271
122320,2020-06-12,Washington,Louisiana,22117.0,520,43,117,Louisiana,Washington,46194,1125.6873186993982,23.812616357102797,17.009011683644754
122321,2020-06-13,Washington,Louisiana,22117.0,528,43,117,Louisiana,Washington,46194,1143.0055851409275,17.318266441529204,16.85438430470253
122322,2020-06-14,Washington,Louisiana,22117.0,532,43,117,Louisiana,Washington,46194,1151.664718361692,8.659133220764488,16.54512954681807
122323,2020-06-15,Washington,Louisiana,22117.0,546,43,117,Louisiana,Washington,46194,1181.971684634368,30.306966272676163,17.472893820471427
122324,2020-06-16,Washington,Louisiana,22117.0,556,43,117,Louisiana,Washington,46194,1203.6195176862796,21.647833051911448,18.400658094124772
122325,2020-06-17,Washington,Louisiana,22117.0,560,43,117,Louisiana,Washington,46194,1212.2786509070443,8.659133220764716,17.936775957298103
122326,2020-06-18,Washington,Louisiana,22117.0,560,43,117,Louisiana,Washington,46194,1212.2786509070443,0.0,16.854384304702535
122327,2020-06-19,Washington,Louisiana,22117.0,570,43,117,Louisiana,Washington,46194,1233.9264839589557,21.647833051911448,17.472893820471434
122328,2020-06-20,Washington,Louisiana,22117.0,579,44,117,Louisiana,Washington,46194,1253.409533705676,19.483049746720326,18.09140333624032
122329,2020-06-21,Washington,Louisiana,22117.0,581,44,117,Louisiana,Washington,46194,1257.7391003160583,4.329566610382244,17.936775957298096
122330,2020-06-22,Washington,Louisiana,22117.0,585,44,117,Louisiana,Washington,46194,1266.398233536823,8.659133220764716,16.54512954681807
122331,2020-06-23,Washington,Louisiana,22117.0,596,45,117,Louisiana,Washington,46194,1290.2108498939258,23.812616357102797,16.54512954681809
122332,2020-06-24,Washington,Louisiana,22117.0,607,45,117,Louisiana,Washington,46194,1314.0234662510284,23.81261635710257,16.54512954681809
122333,2020-06-25,Washington,Louisiana,22117.0,615,45,117,Louisiana,Washington,46194,1331.3417326925573,17.318266441528976,16.390502167875848
122334,2020-06-26,Washington,Louisiana,22117.0,625,46,117,Louisiana,Washington,46194,1352.989565744469,21.647833051911675,16.235874788933625
122335,2020-06-27,Washington,Louisiana,22117.0,625,46,117,Louisiana,Washington,46194,1352.989565744469,0.0,14.998855757395827
122336,2020-06-28,Washington,Louisiana,22117.0,647,46,117,Louisiana,Washington,46194,1400.6147984586742,47.62523271420514,17.782148578355873
122337,2020-06-29,Washington,Louisiana,22117.0,663,46,117,Louisiana,Washington,46194,1435.2513313417328,34.636532883058635,18.091403336240337
122338,2020-06-30,Washington,Louisiana,22117.0,678,46,117,Louisiana,Washington,46194,1467.7230809195999,32.47174957786706,18.86454023095145
122339,2020-07-01,Washington,Louisiana,22117.0,691,46,117,Louisiana,Washington,46194,1495.865263887085,28.14218296748504,20.256186641431473
122340,2020-07-02,Washington,Louisiana,22117.0,700,46,117,Louisiana,Washington,46194,1515.3483136338052,19.483049746720326,21.647833051911498
122341,2020-07-03,Washington,Louisiana,22117.0,705,46,117,Louisiana,Washington,46194,1526.172230159761,10.823916525955838,20.874696157200383
122342,2020-07-04,Washington,Louisiana,22117.0,705,46,117,Louisiana,Washington,46194,1526.172230159761,0.0,19.483049746720358
122343,2020-07-05,Washington,Louisiana,22117.0,720,47,117,Louisiana,Washington,46194,1558.6439797376281,32.47174957786706,21.493205672969275
122344,2020-07-06,Washington,Louisiana,22117.0,726,47,117,Louisiana,Washington,46194,1571.632679568775,12.98869983114696,21.80246043085372
122345,2020-07-07,Washington,Louisiana,22117.0,754,47,117,Louisiana,Washington,46194,1632.2466121141274,60.61393254535233,24.431125872871544
122346,2020-07-08,Washington,Louisiana,22117.0,765,48,117,Louisiana,Washington,46194,1656.0592284712302,23.812616357102797,24.431125872871558
122347,2020-07-09,Washington,Louisiana,22117.0,778,48,117,Louisiana,Washington,46194,1684.2014114387152,28.14218296748504,25.20426276758271
122348,2020-07-10,Washington,Louisiana,22117.0,812,49,117,Louisiana,Washington,46194,1757.8040438152143,73.60263237649906,28.915319862196093
122349,2020-07-11,Washington,Louisiana,22117.0,824,49,117,Louisiana,Washington,46194,1783.7814434775078,25.977399662293465,30.77084840950277
122350,2020-07-12,Washington,Louisiana,22117.0,839,51,117,Louisiana,Washington,46194,1816.253193055375,32.471749577867286,29.688456756907208
122351,2020-07-13,Washington,Louisiana,22117.0,852,51,117,Louisiana,Washington,46194,1844.39537602286,28.14218296748504,29.22457462008052
122352,2020-07-14,Washington,Louisiana,22117.0,871,51,117,Louisiana,Washington,46194,1885.5262588214919,41.130882798631774,29.84308413584943
122353,2020-07-15,Washington,Louisiana,22117.0,883,51,117,Louisiana,Washington,46194,1911.5036584837858,25.97739966229392,29.688456756907208
122354,2020-07-16,Washington,Louisiana,22117.0,904,51,117,Louisiana,Washington,46194,1956.9641078927998,45.46044940901402,31.543985304213898
122355,2020-07-17,Washington,Louisiana,22117.0,919,51,117,Louisiana,Washington,46194,1989.435857470667,32.471749577867286,33.09025909363614
122356,2020-07-18,Washington,Louisiana,22117.0,919,51,117,Louisiana,Washington,46194,1989.435857470667,0.0,33.09025909363614
122357,2020-07-19,Washington,Louisiana,22117.0,942,51,117,Louisiana,Washington,46194,2039.2258734900636,49.79001601939649,34.32727812517396
122358,2020-07-20,Washington,Louisiana,22117.0,1000,54,117,Louisiana,Washington,46194,2164.7833051911502,125.55743170108667,42.36790183016966
122359,2020-07-21,Washington,Louisiana,22117.0,1008,54,117,Louisiana,Washington,46194,2182.1015716326797,17.31826644152943,39.27535425132516
122360,2020-07-22,Washington,Louisiana,22117.0,1033,54,117,Louisiana,Washington,46194,2236.221154262458,54.119582629778506,41.440137556516284
122361,2020-07-23,Washington,Louisiana,22117.0,1046,55,117,Louisiana,Washington,46194,2264.363337229943,28.14218296748504,41.440137556516284
122362,2020-07-24,Washington,Louisiana,22117.0,1059,55,117,Louisiana,Washington,46194,2292.5055201974283,28.14218296748504,38.19296259872957
122363,2020-07-25,Washington,Louisiana,22117.0,1059,55,117,Louisiana,Washington,46194,2292.5055201974283,0.0,36.337434051422896
122364,2020-07-26,Washington,Louisiana,22117.0,1093,55,117,Louisiana,Washington,46194,2366.1081525739273,73.60263237649906,39.27535425132516
122365,2020-07-27,Washington,Louisiana,22117.0,1123,56,117,Louisiana,Washington,46194,2431.051651729662,64.94349915573457,41.90401969334299
122366,2020-07-28,Washington,Louisiana,22117.0,1128,56,117,Louisiana,Washington,46194,2441.8755682556175,10.82391652595561,39.73923638815183
122367,2020-07-29,Washington,Louisiana,22117.0,1133,56,117,Louisiana,Washington,46194,2452.6994847815736,10.823916525956065,38.65684473555627
122368,2020-07-30,Washington,Louisiana,22117.0,1151,58,117,Louisiana,Washington,46194,2491.6655842750138,38.9660994934402,38.19296259872957
122369,2020-07-31,Washington,Louisiana,22117.0,1166,58,117,Louisiana,Washington,46194,2524.1373338528815,32.47174957786774,38.1929625987296
122370,2020-08-01,Washington,Louisiana,22117.0,1166,58,117,Louisiana,Washington,46194,2524.1373338528815,0.0,38.1929625987296
122371,2020-08-02,Washington,Louisiana,22117.0,1193,58,117,Louisiana,Washington,46194,2582.5864830930423,58.44914924016075,38.81147211449848
122372,2020-08-03,Washington,Louisiana,22117.0,1199,58,117,Louisiana,Washington,46194,2595.5751829241894,12.988699831147187,30.7708484095028
122373,2020-08-04,Washington,Louisiana,22117.0,1211,58,117,Louisiana,Washington,46194,2621.552582586483,25.977399662293465,31.38935792527166
122374,2020-08-05,Washington,Louisiana,22117.0,1220,58,117,Louisiana,Washington,46194,2641.0356323332035,19.483049746720553,28.915319862196093
122375,2020-08-06,Washington,Louisiana,22117.0,1235,58,117,Louisiana,Washington,46194,2673.5073819110708,32.471749577867286,29.22457462008054
122376,2020-08-07,Washington,Louisiana,22117.0,1247,58,117,Louisiana,Washington,46194,2699.4847815733647,25.97739966229392,29.069947241138316
122377,2020-08-08,Washington,Louisiana,22117.0,1247,58,117,Louisiana,Washington,46194,2699.4847815733647,0.0,29.069947241138316
122378,2020-08-09,Washington,Louisiana,22117.0,1265,58,117,Louisiana,Washington,46194,2738.4508810668053,38.96609949344065,26.595909178062715
