,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
169238,2020-03-19,West Baton Rouge,Louisiana,22121.0,2,0,121,Louisiana,West Baton Rouge,26465,7.557150954090308,,
169239,2020-03-20,West Baton Rouge,Louisiana,22121.0,3,0,121,Louisiana,West Baton Rouge,26465,11.33572643113546,3.7785754770451527,
169240,2020-03-21,West Baton Rouge,Louisiana,22121.0,3,0,121,Louisiana,West Baton Rouge,26465,11.33572643113546,0.0,
169241,2020-03-22,West Baton Rouge,Louisiana,22121.0,3,0,121,Louisiana,West Baton Rouge,26465,11.33572643113546,0.0,
169242,2020-03-23,West Baton Rouge,Louisiana,22121.0,4,1,121,Louisiana,West Baton Rouge,26465,15.114301908180616,3.7785754770451554,
169243,2020-03-24,West Baton Rouge,Louisiana,22121.0,5,1,121,Louisiana,West Baton Rouge,26465,18.89287738522577,3.7785754770451536,
169244,2020-03-25,West Baton Rouge,Louisiana,22121.0,7,1,121,Louisiana,West Baton Rouge,26465,26.45002833931608,7.557150954090311,
169245,2020-03-26,West Baton Rouge,Louisiana,22121.0,8,1,121,Louisiana,West Baton Rouge,26465,30.228603816361233,3.778575477045152,
169246,2020-03-27,West Baton Rouge,Louisiana,22121.0,11,1,121,Louisiana,West Baton Rouge,26465,41.56433024749669,11.335726431135459,
169247,2020-03-28,West Baton Rouge,Louisiana,22121.0,12,1,121,Louisiana,West Baton Rouge,26465,45.34290572454184,3.778575477045152,
169248,2020-03-29,West Baton Rouge,Louisiana,22121.0,12,1,121,Louisiana,West Baton Rouge,26465,45.34290572454184,0.0,
169249,2020-03-30,West Baton Rouge,Louisiana,22121.0,12,1,121,Louisiana,West Baton Rouge,26465,45.34290572454184,0.0,
169250,2020-03-31,West Baton Rouge,Louisiana,22121.0,13,1,121,Louisiana,West Baton Rouge,26465,49.121481201587,3.778575477045159,
169251,2020-04-01,West Baton Rouge,Louisiana,22121.0,14,1,121,Louisiana,West Baton Rouge,26465,52.90005667863216,3.778575477045159,
169252,2020-04-02,West Baton Rouge,Louisiana,22121.0,19,1,121,Louisiana,West Baton Rouge,26465,71.79293406385793,18.892877385225766,4.588270222126259
169253,2020-04-03,West Baton Rouge,Louisiana,22121.0,23,3,121,Louisiana,West Baton Rouge,26465,86.90723597203855,15.114301908180622,5.397964967207364
169254,2020-04-04,West Baton Rouge,Louisiana,22121.0,40,4,121,Louisiana,West Baton Rouge,26465,151.14301908180616,64.23578310976761,9.986235189333623
169255,2020-04-05,West Baton Rouge,Louisiana,22121.0,40,7,121,Louisiana,West Baton Rouge,26465,151.14301908180616,0.0,9.986235189333623
169256,2020-04-06,West Baton Rouge,Louisiana,22121.0,45,7,121,Louisiana,West Baton Rouge,26465,170.03589646703193,18.892877385225773,11.065828182775094
169257,2020-04-07,West Baton Rouge,Louisiana,22121.0,52,7,121,Louisiana,West Baton Rouge,26465,196.485924806348,26.450028339316077,12.685217672937302
169258,2020-04-08,West Baton Rouge,Louisiana,22121.0,54,9,121,Louisiana,West Baton Rouge,26465,204.0430757604383,7.557150954090304,12.685217672937302
169259,2020-04-09,West Baton Rouge,Louisiana,22121.0,57,9,121,Louisiana,West Baton Rouge,26465,215.37880219157375,11.335726431135441,13.225014169658039
169260,2020-04-10,West Baton Rouge,Louisiana,22121.0,61,9,121,Louisiana,West Baton Rouge,26465,230.4931040997544,15.114301908180636,13.494912418018407
169261,2020-04-11,West Baton Rouge,Louisiana,22121.0,66,9,121,Louisiana,West Baton Rouge,26465,249.38598148498016,18.892877385225773,14.574505411459882
169262,2020-04-12,West Baton Rouge,Louisiana,22121.0,68,9,121,Louisiana,West Baton Rouge,26465,256.9431324390705,7.557150954090332,15.11430190818062
169263,2020-04-13,West Baton Rouge,Louisiana,22121.0,72,9,121,Louisiana,West Baton Rouge,26465,272.0574343472511,15.114301908180607,16.19389490162209
169264,2020-04-14,West Baton Rouge,Louisiana,22121.0,76,9,121,Louisiana,West Baton Rouge,26465,287.1717362554317,15.114301908180607,17.003589646703194
169265,2020-04-15,West Baton Rouge,Louisiana,22121.0,78,9,121,Louisiana,West Baton Rouge,26465,294.728887209522,7.557150954090275,17.27348789506356
169266,2020-04-16,West Baton Rouge,Louisiana,22121.0,81,9,121,Louisiana,West Baton Rouge,26465,306.06461364065746,11.33572643113547,16.733691398342824
169267,2020-04-17,West Baton Rouge,Louisiana,22121.0,83,9,121,Louisiana,West Baton Rouge,26465,313.6217645947478,7.557150954090332,16.193894901622087
169268,2020-04-18,West Baton Rouge,Louisiana,22121.0,86,10,121,Louisiana,West Baton Rouge,26465,324.95749102588326,11.33572643113547,12.415319424576934
169269,2020-04-19,West Baton Rouge,Louisiana,22121.0,88,10,121,Louisiana,West Baton Rouge,26465,332.51464197997353,7.557150954090275,12.955115921297667
169270,2020-04-20,West Baton Rouge,Louisiana,22121.0,90,10,121,Louisiana,West Baton Rouge,26465,340.07179293406386,7.557150954090332,12.145421176216564
169271,2020-04-21,West Baton Rouge,Louisiana,22121.0,90,12,121,Louisiana,West Baton Rouge,26465,340.07179293406386,0.0,10.256133437693988
169272,2020-04-22,West Baton Rouge,Louisiana,22121.0,90,12,121,Louisiana,West Baton Rouge,26465,340.07179293406386,0.0,9.716336940973251
169273,2020-04-23,West Baton Rouge,Louisiana,22121.0,90,12,121,Louisiana,West Baton Rouge,26465,340.07179293406386,0.0,8.906642195892148
169274,2020-04-24,West Baton Rouge,Louisiana,22121.0,93,13,121,Louisiana,West Baton Rouge,26465,351.40751936519933,11.33572643113547,8.63674394753178
169275,2020-04-25,West Baton Rouge,Louisiana,22121.0,92,15,121,Louisiana,West Baton Rouge,26465,347.6289438881542,-3.7785754770451376,7.017354457369572
169276,2020-04-26,West Baton Rouge,Louisiana,22121.0,91,15,121,Louisiana,West Baton Rouge,26465,343.850368411109,-3.7785754770451945,6.2076597122884625
169277,2020-04-27,West Baton Rouge,Louisiana,22121.0,94,16,121,Louisiana,West Baton Rouge,26465,355.1860948422445,11.33572643113547,5.937761463928096
169278,2020-04-28,West Baton Rouge,Louisiana,22121.0,94,16,121,Louisiana,West Baton Rouge,26465,355.1860948422445,0.0,4.858168470486624
169279,2020-04-29,West Baton Rouge,Louisiana,22121.0,96,16,121,Louisiana,West Baton Rouge,26465,362.74324579633475,7.557150954090275,4.858168470486624
169280,2020-04-30,West Baton Rouge,Louisiana,22121.0,98,18,121,Louisiana,West Baton Rouge,26465,370.3003967504251,7.557150954090332,4.588270222126257
169281,2020-05-01,West Baton Rouge,Louisiana,22121.0,108,19,121,Louisiana,West Baton Rouge,26465,408.0861515208766,37.78575477045155,6.747456209009201
169282,2020-05-02,West Baton Rouge,Louisiana,22121.0,110,19,121,Louisiana,West Baton Rouge,26465,415.64330247496696,7.557150954090332,6.477557960648833
169283,2020-05-03,West Baton Rouge,Louisiana,22121.0,110,22,121,Louisiana,West Baton Rouge,26465,415.64330247496696,0.0,5.9377614639281
169284,2020-05-04,West Baton Rouge,Louisiana,22121.0,111,22,121,Louisiana,West Baton Rouge,26465,419.4218779520121,3.7785754770451376,5.667863215567729
169285,2020-05-05,West Baton Rouge,Louisiana,22121.0,115,23,121,Louisiana,West Baton Rouge,26465,434.53617986019276,15.114301908180664,6.747456209009205
169286,2020-05-06,West Baton Rouge,Louisiana,22121.0,118,24,121,Louisiana,West Baton Rouge,26465,445.87190629132823,11.33572643113547,7.55715095409031
169287,2020-05-07,West Baton Rouge,Louisiana,22121.0,118,24,121,Louisiana,West Baton Rouge,26465,445.87190629132823,0.0,7.55715095409031
169288,2020-05-08,West Baton Rouge,Louisiana,22121.0,119,24,121,Louisiana,West Baton Rouge,26465,449.6504817683733,3.778575477045081,7.017354457369568
169289,2020-05-09,West Baton Rouge,Louisiana,22121.0,122,25,121,Louisiana,West Baton Rouge,26465,460.9862081995088,11.33572643113547,8.09694745081104
169290,2020-05-10,West Baton Rouge,Louisiana,22121.0,123,26,121,Louisiana,West Baton Rouge,26465,464.7647836765539,3.7785754770451376,8.636743947531778
169291,2020-05-11,West Baton Rouge,Louisiana,22121.0,123,29,121,Louisiana,West Baton Rouge,26465,464.7647836765539,0.0,7.827049202450673
169292,2020-05-12,West Baton Rouge,Louisiana,22121.0,124,28,121,Louisiana,West Baton Rouge,26465,468.5433591535991,3.7785754770451945,8.096947450811044
169293,2020-05-13,West Baton Rouge,Louisiana,22121.0,124,30,121,Louisiana,West Baton Rouge,26465,468.5433591535991,0.0,7.55715095409031
169294,2020-05-14,West Baton Rouge,Louisiana,22121.0,150,30,121,Louisiana,West Baton Rouge,26465,566.786321556773,98.24296240317392,14.034708914739138
169295,2020-05-15,West Baton Rouge,Louisiana,22121.0,150,30,121,Louisiana,West Baton Rouge,26465,566.786321556773,0.0,11.335726431135456
169296,2020-05-16,West Baton Rouge,Louisiana,22121.0,148,30,121,Louisiana,West Baton Rouge,26465,559.2291706026829,-7.557150954090162,10.256133437693991
169297,2020-05-17,West Baton Rouge,Louisiana,22121.0,148,30,121,Louisiana,West Baton Rouge,26465,559.2291706026829,0.0,10.256133437693991
169298,2020-05-18,West Baton Rouge,Louisiana,22121.0,148,30,121,Louisiana,West Baton Rouge,26465,559.2291706026829,0.0,9.986235189333625
169299,2020-05-19,West Baton Rouge,Louisiana,22121.0,148,30,121,Louisiana,West Baton Rouge,26465,559.2291706026829,0.0,8.906642195892148
169300,2020-05-20,West Baton Rouge,Louisiana,22121.0,149,30,121,Louisiana,West Baton Rouge,26465,563.0077460797279,3.778575477045024,8.366845699171403
169301,2020-05-21,West Baton Rouge,Louisiana,22121.0,152,30,121,Louisiana,West Baton Rouge,26465,574.3434725108634,11.335726431135527,9.176540444252511
169302,2020-05-22,West Baton Rouge,Louisiana,22121.0,154,30,121,Louisiana,West Baton Rouge,26465,581.9006234649537,7.557150954090275,9.446438692612883
169303,2020-05-23,West Baton Rouge,Louisiana,22121.0,154,30,121,Louisiana,West Baton Rouge,26465,581.9006234649537,0.0,8.636743947531778
169304,2020-05-24,West Baton Rouge,Louisiana,22121.0,154,30,121,Louisiana,West Baton Rouge,26465,581.9006234649537,0.0,8.36684569917141
169305,2020-05-25,West Baton Rouge,Louisiana,22121.0,156,30,121,Louisiana,West Baton Rouge,26465,589.457774419044,7.557150954090275,8.906642195892145
169306,2020-05-26,West Baton Rouge,Louisiana,22121.0,157,30,121,Louisiana,West Baton Rouge,26465,593.2363498960892,3.7785754770452513,8.906642195892148
169307,2020-05-27,West Baton Rouge,Louisiana,22121.0,158,30,121,Louisiana,West Baton Rouge,26465,597.0149253731344,3.7785754770451376,9.176540444252515
169308,2020-05-28,West Baton Rouge,Louisiana,22121.0,159,31,121,Louisiana,West Baton Rouge,26465,600.7935008501795,3.7785754770451376,2.429084235243317
169309,2020-05-29,West Baton Rouge,Louisiana,22121.0,159,31,121,Louisiana,West Baton Rouge,26465,600.7935008501795,0.0,2.429084235243317
169310,2020-05-30,West Baton Rouge,Louisiana,22121.0,161,30,121,Louisiana,West Baton Rouge,26465,608.3506518042698,7.557150954090275,3.508677228684777
169311,2020-05-31,West Baton Rouge,Louisiana,22121.0,166,30,121,Louisiana,West Baton Rouge,26465,627.2435291894956,18.892877385225802,4.8581684704866195
169312,2020-06-01,West Baton Rouge,Louisiana,22121.0,175,30,121,Louisiana,West Baton Rouge,26465,661.2507084829019,34.00717929340635,7.287252705729931
