,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
326830,2020-03-24,Waldo,Maine,23027.0,1,0.0,27,Maine,Waldo,39715,2.517940324814302,0.0,0.0,,,,
326831,2020-03-25,Waldo,Maine,23027.0,1,0.0,27,Maine,Waldo,39715,2.517940324814302,0.0,0.0,0.0,0.0,,
326832,2020-03-26,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,2.517940324814302,0.0,,
326833,2020-03-27,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,,
326834,2020-03-28,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,,
326835,2020-03-29,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,,
326836,2020-03-30,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,,
326837,2020-03-31,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,0.35970576068775745,0.0
326838,2020-04-01,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,0.35970576068775745,0.0
326839,2020-04-02,Waldo,Maine,23027.0,2,0.0,27,Maine,Waldo,39715,5.035880649628604,0.0,0.0,0.0,0.0,0.0,0.0
326840,2020-04-03,Waldo,Maine,23027.0,3,0.0,27,Maine,Waldo,39715,7.553820974442905,0.0,0.0,2.517940324814301,0.0,0.3597057606877573,0.0
326841,2020-04-04,Waldo,Maine,23027.0,3,0.0,27,Maine,Waldo,39715,7.553820974442905,0.0,0.0,0.0,0.0,0.3597057606877573,0.0
326842,2020-04-05,Waldo,Maine,23027.0,3,0.0,27,Maine,Waldo,39715,7.553820974442905,0.0,0.0,0.0,0.0,0.3597057606877573,0.0
326843,2020-04-06,Waldo,Maine,23027.0,5,0.0,27,Maine,Waldo,39715,12.58970162407151,0.0,0.0,5.035880649628606,0.0,1.0791172820632724,0.0
326844,2020-04-07,Waldo,Maine,23027.0,5,0.0,27,Maine,Waldo,39715,12.58970162407151,0.0,0.0,0.0,0.0,1.0791172820632724,0.0
326845,2020-04-08,Waldo,Maine,23027.0,7,1.0,27,Maine,Waldo,39715,17.625582273700115,2.517940324814302,0.14285714285714285,5.035880649628604,2.517940324814302,1.7985288034387872,0.35970576068775745
326846,2020-04-09,Waldo,Maine,23027.0,11,2.0,27,Maine,Waldo,39715,27.697343572957323,5.035880649628604,0.18181818181818182,10.071761299257208,2.517940324814302,3.237351846189817,0.7194115213755149
326847,2020-04-10,Waldo,Maine,23027.0,19,2.0,27,Maine,Waldo,39715,47.84086617147174,5.035880649628604,0.10526315789473684,20.143522598514416,0.0,5.755292171004119,0.7194115213755149
326848,2020-04-11,Waldo,Maine,23027.0,27,2.0,27,Maine,Waldo,39715,67.98438876998615,5.035880649628604,0.07407407407407407,20.143522598514416,0.0,8.632938256506177,0.7194115213755149
326849,2020-04-12,Waldo,Maine,23027.0,29,2.0,27,Maine,Waldo,39715,73.02026941961475,5.035880649628604,0.06896551724137931,5.035880649628595,0.0,9.35234977788169,0.7194115213755149
326850,2020-04-13,Waldo,Maine,23027.0,29,2.0,27,Maine,Waldo,39715,73.02026941961475,5.035880649628604,0.06896551724137931,0.0,0.0,8.632938256506176,0.7194115213755149
326851,2020-04-14,Waldo,Maine,23027.0,29,2.0,27,Maine,Waldo,39715,73.02026941961475,5.035880649628604,0.06896551724137931,0.0,0.0,8.632938256506176,0.7194115213755149
326852,2020-04-15,Waldo,Maine,23027.0,30,2.0,27,Maine,Waldo,39715,75.53820974442905,5.035880649628604,0.06666666666666667,2.5179403248143046,0.0,8.273232495818418,0.35970576068775745
326853,2020-04-16,Waldo,Maine,23027.0,39,3.0,27,Maine,Waldo,39715,98.19967266775777,7.553820974442905,0.07692307692307693,22.661462923328713,2.517940324814301,10.071761299257204,0.3597057606877573
326854,2020-04-17,Waldo,Maine,23027.0,42,5.0,27,Maine,Waldo,39715,105.75349364220067,12.58970162407151,0.11904761904761904,7.5538209744429,5.035880649628606,8.273232495818416,1.0791172820632724
326855,2020-04-18,Waldo,Maine,23027.0,42,7.0,27,Maine,Waldo,39715,105.75349364220067,17.625582273700115,0.16666666666666666,0.0,5.035880649628604,5.395586410316357,1.7985288034387872
326856,2020-04-19,Waldo,Maine,23027.0,42,7.0,27,Maine,Waldo,39715,105.75349364220067,17.625582273700115,0.16666666666666666,0.0,0.0,4.676174888940843,1.7985288034387872
326857,2020-04-20,Waldo,Maine,23027.0,43,8.0,27,Maine,Waldo,39715,108.27143396701499,20.143522598514416,0.18604651162790697,2.517940324814319,2.517940324814301,5.035880649628603,2.1582345641265444
326858,2020-04-21,Waldo,Maine,23027.0,43,8.0,27,Maine,Waldo,39715,108.27143396701499,20.143522598514416,0.18604651162790697,0.0,0.0,5.035880649628603,2.1582345641265444
326859,2020-04-22,Waldo,Maine,23027.0,45,10.0,27,Maine,Waldo,39715,113.30731461664358,25.17940324814302,0.2222222222222222,5.035880649628595,5.035880649628606,5.395586410316359,2.8776460855020596
326860,2020-04-23,Waldo,Maine,23027.0,47,10.0,27,Maine,Waldo,39715,118.34319526627219,25.17940324814302,0.2127659574468085,5.035880649628609,0.0,2.8776460855020582,2.517940324814302
326861,2020-04-24,Waldo,Maine,23027.0,47,10.0,27,Maine,Waldo,39715,118.34319526627219,25.17940324814302,0.2127659574468085,0.0,0.0,1.798528803438787,1.798528803438787
326862,2020-04-25,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,2.5179403248142904,2.517940324814301,2.1582345641265426,1.4388230427510293
326863,2020-04-26,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,0.0,0.0,2.1582345641265426,1.4388230427510293
326864,2020-04-27,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,0.0,0.0,1.798528803438783,1.0791172820632722
326865,2020-04-28,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,0.0,0.0,1.798528803438783,1.0791172820632722
326866,2020-04-29,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,0.0,0.0,1.0791172820632693,0.35970576068775706
326867,2020-04-30,Waldo,Maine,23027.0,48,11.0,27,Maine,Waldo,39715,120.86113559108648,27.697343572957323,0.22916666666666666,0.0,0.0,0.35970576068775373,0.35970576068775706
326868,2020-05-01,Waldo,Maine,23027.0,49,12.0,27,Maine,Waldo,39715,123.3790759159008,30.21528389777162,0.24489795918367346,2.517940324814319,2.5179403248142975,0.7194115213755136,0.7194115213755138
326869,2020-05-02,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,2.5179403248143046,0.3597057606877578,0.7194115213755143
326870,2020-05-03,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,0.0,0.3597057606877578,0.7194115213755143
326871,2020-05-04,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,0.0,0.3597057606877578,0.7194115213755143
326872,2020-05-05,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,0.0,0.3597057606877578,0.7194115213755143
326873,2020-05-06,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,0.0,0.3597057606877578,0.7194115213755143
326874,2020-05-07,Waldo,Maine,23027.0,49,13.0,27,Maine,Waldo,39715,123.3790759159008,32.733224222585925,0.2653061224489796,0.0,0.0,0.3597057606877578,0.7194115213755143
