,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
54017,2020-03-12,Ingham,Michigan,26065.0,1,0,65,Michigan,Ingham,292406,0.3419902464381716,,,
54018,2020-03-13,Ingham,Michigan,26065.0,1,0,65,Michigan,Ingham,292406,0.3419902464381716,,0.0,
54019,2020-03-14,Ingham,Michigan,26065.0,1,0,65,Michigan,Ingham,292406,0.3419902464381716,,0.0,
54020,2020-03-15,Ingham,Michigan,26065.0,1,0,65,Michigan,Ingham,292406,0.3419902464381716,,0.0,
54021,2020-03-16,Ingham,Michigan,26065.0,1,0,65,Michigan,Ingham,292406,0.3419902464381716,,0.0,
54022,2020-03-17,Ingham,Michigan,26065.0,2,0,65,Michigan,Ingham,292406,0.6839804928763432,,0.3419902464381716,
54023,2020-03-18,Ingham,Michigan,26065.0,2,0,65,Michigan,Ingham,292406,0.6839804928763432,0.4397017454205064,0.0,
54024,2020-03-19,Ingham,Michigan,26065.0,7,0,65,Michigan,Ingham,292406,2.393931725067201,0.7328362423675107,1.7099512321908579,0.2931344969470042
54025,2020-03-20,Ingham,Michigan,26065.0,7,0,65,Michigan,Ingham,292406,2.393931725067201,1.025970739314515,0.0,0.2931344969470042
54026,2020-03-21,Ingham,Michigan,26065.0,11,0,65,Michigan,Ingham,292406,3.761892710819887,1.5145282342261885,1.3679609857526858,0.4885574949116736
54027,2020-03-22,Ingham,Michigan,26065.0,11,0,65,Michigan,Ingham,292406,3.761892710819887,2.003085729137862,0.0,0.4885574949116736
54028,2020-03-23,Ingham,Michigan,26065.0,12,0,65,Michigan,Ingham,292406,4.103882957258059,2.540498973540703,0.3419902464381721,0.5374132444028411
54029,2020-03-24,Ingham,Michigan,26065.0,15,0,65,Michigan,Ingham,292406,5.129853696572574,3.175623716925879,1.0259707393145145,0.6351247433851759
54030,2020-03-25,Ingham,Michigan,26065.0,18,0,65,Michigan,Ingham,292406,6.155824435887089,3.9573157087845567,1.0259707393145154,0.7816919918586781
54031,2020-03-26,Ingham,Michigan,26065.0,22,0,65,Michigan,Ingham,292406,7.523785421639774,4.690151951152067,1.3679609857526849,0.7328362423675105
54032,2020-03-27,Ingham,Michigan,26065.0,26,1,65,Michigan,Ingham,292406,8.89174640739246,5.618411191484246,1.3679609857526867,0.92825924033218
54033,2020-03-28,Ingham,Michigan,26065.0,32,1,65,Michigan,Ingham,292406,10.943687886021491,6.644381930798761,2.051941478629031,1.0259707393145152
54034,2020-03-29,Ingham,Michigan,26065.0,43,0,65,Michigan,Ingham,292406,14.705580596841378,8.207765914516118,3.761892710819886,1.5633839837173562
54035,2020-03-30,Ingham,Michigan,26065.0,73,0,65,Michigan,Ingham,292406,24.965287989986525,11.187966633477327,10.259707393145147,2.98020071896121
54036,2020-03-31,Ingham,Michigan,26065.0,91,0,65,Michigan,Ingham,292406,31.121112425873616,14.901003594806047,6.155824435887091,3.713036961328721
54037,2020-04-01,Ingham,Michigan,26065.0,121,1,65,Michigan,Ingham,292406,41.38081981901876,19.933145792396285,10.259707393145145,5.032142197590239
54038,2020-04-02,Ingham,Michigan,26065.0,128,1,65,Michigan,Ingham,292406,43.774751544085966,25.111855238460027,2.3939317250672048,5.178709446063741
54039,2020-04-03,Ingham,Michigan,26065.0,152,1,65,Michigan,Ingham,292406,51.98251745860208,31.267679674347114,8.207765914516116,6.155824435887088
54040,2020-04-04,Ingham,Michigan,26065.0,168,1,65,Michigan,Ingham,292406,57.45436140161283,37.91206160514587,5.471843943010747,6.644381930798761
54041,2020-04-05,Ingham,Michigan,26065.0,172,2,65,Michigan,Ingham,292406,58.82232238736551,44.21445328950646,1.3679609857526813,6.302391684360589
54042,2020-04-06,Ingham,Michigan,26065.0,178,1,65,Michigan,Ingham,292406,60.87426386599455,49.344306986079026,2.0519414786290398,5.129853696572574
54043,2020-04-07,Ingham,Michigan,26065.0,189,1,65,Michigan,Ingham,292406,64.63615657681443,54.13217043621343,3.761892710819879,4.787863450134401
54044,2020-04-08,Ingham,Michigan,26065.0,205,2,65,Michigan,Ingham,292406,70.10800051982517,58.23605339347149,5.4718439430107395,4.103882957258056
54045,2020-04-09,Ingham,Michigan,26065.0,222,3,65,Michigan,Ingham,292406,75.9218347092741,62.82849384564122,5.813834189448926,4.592440452169732
54046,2020-04-10,Ingham,Michigan,26065.0,239,3,65,Michigan,Ingham,292406,81.735668898723,67.07894405137277,5.813834189448912,4.25045020573156
54047,2020-04-11,Ingham,Michigan,26065.0,241,3,65,Michigan,Ingham,292406,82.41964939159935,70.645413764228,0.6839804928763442,3.5664697128552163
54048,2020-04-12,Ingham,Michigan,26065.0,250,3,65,Michigan,Ingham,292406,85.49756160954288,74.45616222453906,3.0779122179435348,3.8107484603110526
54049,2020-04-13,Ingham,Michigan,26065.0,254,4,65,Michigan,Ingham,292406,86.86552259529559,78.16919918586778,1.3679609857527026,3.7130369613287186
54050,2020-04-14,Ingham,Michigan,26065.0,263,4,65,Michigan,Ingham,292406,89.94343481323912,81.78452464821417,3.0779122179435348,3.6153254623463837
54051,2020-04-15,Ingham,Michigan,26065.0,270,5,65,Michigan,Ingham,292406,92.33736653830633,84.96014836514006,2.3939317250672048,3.175623716925879
54052,2020-04-16,Ingham,Michigan,26065.0,278,6,65,Michigan,Ingham,292406,95.0732885098117,87.69607033664543,2.735921971505377,2.735921971505372
54053,2020-04-17,Ingham,Michigan,26065.0,298,6,65,Michigan,Ingham,292406,101.91309343857513,90.57855955662431,6.839804928763428,2.8824892199788743
54054,2020-04-18,Ingham,Michigan,26065.0,304,6,65,Michigan,Ingham,292406,103.96503491720416,93.65647177456786,2.0519414786290326,3.077912217943544
54055,2020-04-19,Ingham,Michigan,26065.0,308,6,65,Michigan,Ingham,292406,105.33299590295684,96.49010524505556,1.3679609857526742,2.833633470487707
54056,2020-04-20,Ingham,Michigan,26065.0,314,6,65,Michigan,Ingham,292406,107.38493738158587,99.4214502145256,2.0519414786290326,2.9313449694700395
54057,2020-04-21,Ingham,Michigan,26065.0,335,6,65,Michigan,Ingham,292406,114.56673255678749,102.93906417788966,7.181795175201614,3.517613963364051
54058,2020-04-22,Ingham,Michigan,26065.0,350,7,65,Michigan,Ingham,292406,119.69658625336004,106.84752413718304,5.129853696572553,3.908459959293386
54059,2020-04-23,Ingham,Michigan,26065.0,370,9,65,Michigan,Ingham,292406,126.53639118212348,111.34225309037042,6.839804928763442,4.494728953187396
54060,2020-04-24,Ingham,Michigan,26065.0,391,9,65,Michigan,Ingham,292406,133.7181863573251,115.88583779304898,7.181795175201614,4.543584702678565
54061,2020-04-25,Ingham,Michigan,26065.0,395,9,65,Michigan,Ingham,292406,135.08614734307778,120.3317109967452,1.3679609857526884,4.44587320369623
54062,2020-04-26,Ingham,Michigan,26065.0,406,9,65,Michigan,Ingham,292406,138.84804005389768,125.1195744468796,3.761892710819893,4.787863450134404
