,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
56243,2020-03-12,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,,,,
56244,2020-03-13,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56245,2020-03-14,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56246,2020-03-15,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56247,2020-03-16,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56248,2020-03-17,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56249,2020-03-18,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,,
56250,2020-03-19,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56251,2020-03-20,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56252,2020-03-21,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56253,2020-03-22,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56254,2020-03-23,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56255,2020-03-24,Montcalm,Michigan,26117.0,1,0,117,Michigan,Montcalm,63888,1.5652391685449536,0.0,0.0,0.0,0.0,0.0,0.0
56256,2020-03-25,Montcalm,Michigan,26117.0,2,0,117,Michigan,Montcalm,63888,3.130478337089907,0.0,0.0,1.5652391685449536,0.0,0.22360559550642195,0.0
56257,2020-03-26,Montcalm,Michigan,26117.0,3,0,117,Michigan,Montcalm,63888,4.695717505634861,0.0,0.0,1.565239168544954,0.0,0.44721119101284396,0.0
56258,2020-03-27,Montcalm,Michigan,26117.0,3,0,117,Michigan,Montcalm,63888,4.695717505634861,0.0,0.0,0.0,0.0,0.44721119101284396,0.0
56259,2020-03-28,Montcalm,Michigan,26117.0,3,0,117,Michigan,Montcalm,63888,4.695717505634861,0.0,0.0,0.0,0.0,0.44721119101284396,0.0
56260,2020-03-29,Montcalm,Michigan,26117.0,3,0,117,Michigan,Montcalm,63888,4.695717505634861,0.0,0.0,0.0,0.0,0.44721119101284396,0.0
56261,2020-03-30,Montcalm,Michigan,26117.0,4,0,117,Michigan,Montcalm,63888,6.260956674179814,0.0,0.0,1.5652391685449532,0.0,0.6708167865192658,0.0
56262,2020-03-31,Montcalm,Michigan,26117.0,5,0,117,Michigan,Montcalm,63888,7.826195842724768,0.0,0.0,1.565239168544954,0.0,0.8944223820256878,0.0
56263,2020-04-01,Montcalm,Michigan,26117.0,10,0,117,Michigan,Montcalm,63888,15.652391685449537,0.0,0.0,7.826195842724768,0.0,1.7888447640513756,0.0
56264,2020-04-02,Montcalm,Michigan,26117.0,10,0,117,Michigan,Montcalm,63888,15.652391685449537,0.0,0.0,0.0,0.0,1.5652391685449536,0.0
56265,2020-04-03,Montcalm,Michigan,26117.0,12,0,117,Michigan,Montcalm,63888,18.782870022539445,0.0,0.0,3.130478337089908,0.0,2.0124503595577976,0.0
56266,2020-04-04,Montcalm,Michigan,26117.0,13,0,117,Michigan,Montcalm,63888,20.348109191084397,0.0,0.0,1.5652391685449523,0.0,2.236055955064219,0.0
