,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
609067,2020-04-11,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,,,
609068,2020-04-12,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,,2.9050344246579325,
609069,2020-04-13,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,,0.0,
609070,2020-04-14,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,,0.0,
609071,2020-04-15,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,,0.0,
609072,2020-04-16,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,,0.0,
609073,2020-04-17,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,4.980059013699313,-2.9050344246579325,
609074,2020-04-18,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,4.980059013699313,0.0,0.0
609075,2020-04-19,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,4.565054095891037,0.0,-0.4150049178082761
609076,2020-04-20,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,4.150049178082761,0.0,-0.4150049178082761
609077,2020-04-21,Becker,Minnesota,27005.0,1,0,5,Minnesota,Becker,34423,2.9050344246579325,3.7350442602744844,0.0,-0.4150049178082761
609078,2020-04-22,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,3.7350442602744844,2.9050344246579325,0.0
609079,2020-04-23,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,3.7350442602744844,0.0,0.0
609080,2020-04-24,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,4.15004917808276,0.0,0.4150049178082761
609081,2020-04-25,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,4.5650540958910355,0.0,0.4150049178082761
609082,2020-04-26,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,4.980059013699311,0.0,0.4150049178082761
609083,2020-04-27,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,5.395063931507586,0.0,0.4150049178082761
609084,2020-04-28,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,5.810068849315861,0.0,0.4150049178082761
609085,2020-04-29,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,5.8100688493158605,0.0,0.0
609086,2020-04-30,Becker,Minnesota,27005.0,2,0,5,Minnesota,Becker,34423,5.810068849315865,5.8100688493158605,0.0,0.0
