,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
415524,2020-03-27,Faribault,Minnesota,27043.0,1,0,43,Minnesota,Faribault,13653,7.324397568300006,0.0,0.0,,,,
415525,2020-03-28,Faribault,Minnesota,27043.0,1,0,43,Minnesota,Faribault,13653,7.324397568300006,0.0,0.0,0.0,0.0,,
415526,2020-03-29,Faribault,Minnesota,27043.0,1,0,43,Minnesota,Faribault,13653,7.324397568300006,0.0,0.0,0.0,0.0,,
415527,2020-03-30,Faribault,Minnesota,27043.0,1,0,43,Minnesota,Faribault,13653,7.324397568300006,0.0,0.0,0.0,0.0,,
415528,2020-03-31,Faribault,Minnesota,27043.0,2,0,43,Minnesota,Faribault,13653,14.648795136600013,0.0,0.0,7.324397568300006,0.0,,
415529,2020-04-01,Faribault,Minnesota,27043.0,2,0,43,Minnesota,Faribault,13653,14.648795136600013,0.0,0.0,0.0,0.0,,
415530,2020-04-02,Faribault,Minnesota,27043.0,2,0,43,Minnesota,Faribault,13653,14.648795136600013,0.0,0.0,0.0,0.0,,
415531,2020-04-03,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,7.324397568300009,0.0,2.092685019514288,0.0
415532,2020-04-04,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,0.0,0.0,2.092685019514288,0.0
415533,2020-04-05,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,0.0,0.0,2.092685019514288,0.0
415534,2020-04-06,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,0.0,0.0,2.092685019514288,0.0
415535,2020-04-07,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,0.0,0.0,1.046342509757144,0.0
415536,2020-04-08,Faribault,Minnesota,27043.0,3,0,43,Minnesota,Faribault,13653,21.973192704900022,0.0,0.0,0.0,0.0,1.046342509757144,0.0
415537,2020-04-09,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,7.324397568300004,0.0,2.0926850195142874,0.0
415538,2020-04-10,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415539,2020-04-11,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415540,2020-04-12,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415541,2020-04-13,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415542,2020-04-14,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415543,2020-04-15,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,1.046342509757143,0.0
415544,2020-04-16,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415545,2020-04-17,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415546,2020-04-18,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415547,2020-04-19,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415548,2020-04-20,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415549,2020-04-21,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415550,2020-04-22,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
415551,2020-04-23,Faribault,Minnesota,27043.0,4,0,43,Minnesota,Faribault,13653,29.297590273200026,0.0,0.0,0.0,0.0,0.0,0.0
