,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
672649,2020-05-23,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,,
672650,2020-05-24,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,0.0,
672651,2020-05-25,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,0.0,
672652,2020-05-26,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,0.0,
672653,2020-05-27,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,0.0,
672654,2020-05-28,Hubbard,Minnesota,27057.0,1,0,57,Minnesota,Hubbard,21491,4.6531106044390675,,0.0,
672655,2020-05-29,Hubbard,Minnesota,27057.0,2,0,57,Minnesota,Hubbard,21491,9.306221208878135,5.317840690787506,4.6531106044390675,
672656,2020-05-30,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,6.647300863484381,4.653110604439066,1.3294601726968762
672657,2020-05-31,Hubbard,Minnesota,27057.0,2,0,57,Minnesota,Hubbard,21491,9.306221208878135,7.312030949832819,-4.653110604439066,0.6647300863484382
672658,2020-06-01,Hubbard,Minnesota,27057.0,2,0,57,Minnesota,Hubbard,21491,9.306221208878135,7.976761036181257,0.0,0.6647300863484382
672659,2020-06-02,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,9.306221208878133,4.653110604439066,1.3294601726968762
672660,2020-06-03,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,10.635681381575012,0.0,1.3294601726968762
672661,2020-06-04,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,11.96514155427189,0.0,1.3294601726968762
672662,2020-06-05,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,12.629871640620328,0.0,0.664730086348438
672663,2020-06-06,Hubbard,Minnesota,27057.0,3,0,57,Minnesota,Hubbard,21491,13.9593318133172,12.629871640620328,0.0,0.0
672664,2020-06-07,Hubbard,Minnesota,27057.0,4,0,57,Minnesota,Hubbard,21491,18.61244241775627,13.959331813317204,4.653110604439069,1.3294601726968764
672665,2020-06-08,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,15.953522072362517,4.6531106044390675,1.9941902590453147
672666,2020-06-09,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,17.282982245059394,0.0,1.3294601726968767
672667,2020-06-10,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,18.612442417756274,0.0,1.3294601726968767
672668,2020-06-11,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,19.94190259045315,0.0,1.3294601726968767
672669,2020-06-12,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,21.27136276315003,0.0,1.3294601726968767
672670,2020-06-13,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,22.60082293584691,0.0,1.3294601726968767
672671,2020-06-14,Hubbard,Minnesota,27057.0,5,0,57,Minnesota,Hubbard,21491,23.265553022195338,23.265553022195352,0.0,0.6647300863484382
