,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
198337,2020-03-20,Lee,Mississippi,28081.0,1,0,81,Mississippi,Lee,85436,1.1704667821527224,,
198338,2020-03-21,Lee,Mississippi,28081.0,5,0,81,Mississippi,Lee,85436,5.852333910763613,4.68186712861089,
198339,2020-03-22,Lee,Mississippi,28081.0,6,0,81,Mississippi,Lee,85436,7.022800692916334,1.1704667821527215,
198340,2020-03-23,Lee,Mississippi,28081.0,8,0,81,Mississippi,Lee,85436,9.363734257221779,2.3409335643054447,
198341,2020-03-24,Lee,Mississippi,28081.0,12,0,81,Mississippi,Lee,85436,14.045601385832668,4.6818671286108895,
198342,2020-03-25,Lee,Mississippi,28081.0,14,0,81,Mississippi,Lee,85436,16.386534950138113,2.3409335643054447,
198343,2020-03-26,Lee,Mississippi,28081.0,15,0,81,Mississippi,Lee,85436,17.55700173229084,1.170466782152726,
198344,2020-03-27,Lee,Mississippi,28081.0,15,0,81,Mississippi,Lee,85436,17.55700173229084,0.0,
198345,2020-03-28,Lee,Mississippi,28081.0,17,1,81,Mississippi,Lee,85436,19.897935296596284,2.3409335643054447,
198346,2020-03-29,Lee,Mississippi,28081.0,21,1,81,Mississippi,Lee,85436,24.579802425207173,4.6818671286108895,
198347,2020-03-30,Lee,Mississippi,28081.0,23,1,81,Mississippi,Lee,85436,26.920735989512618,2.3409335643054447,
198348,2020-03-31,Lee,Mississippi,28081.0,24,1,81,Mississippi,Lee,85436,28.091202771665337,1.1704667821527188,
198349,2020-04-01,Lee,Mississippi,28081.0,25,1,81,Mississippi,Lee,85436,29.261669553818063,1.170466782152726,
198350,2020-04-02,Lee,Mississippi,28081.0,24,1,81,Mississippi,Lee,85436,28.091202771665337,-1.170466782152726,
198351,2020-04-03,Lee,Mississippi,28081.0,26,1,81,Mississippi,Lee,85436,30.432136335970785,2.3409335643054483,2.0901192538441475
198352,2020-04-04,Lee,Mississippi,28081.0,28,1,81,Mississippi,Lee,85436,32.77306990027623,2.340933564305441,1.9229097135366153
198353,2020-04-05,Lee,Mississippi,28081.0,30,1,81,Mississippi,Lee,85436,35.11400346458168,2.340933564305452,2.0065144836903817
198354,2020-04-06,Lee,Mississippi,28081.0,30,2,81,Mississippi,Lee,85436,35.11400346458168,0.0,1.8393049433828499
198355,2020-04-07,Lee,Mississippi,28081.0,38,2,81,Mississippi,Lee,85436,44.47773772180346,9.363734257221779,2.1737240239979134
198356,2020-04-08,Lee,Mississippi,28081.0,40,2,81,Mississippi,Lee,85436,46.8186712861089,2.3409335643054447,2.1737240239979134
198357,2020-04-09,Lee,Mississippi,28081.0,40,2,81,Mississippi,Lee,85436,46.8186712861089,0.0,2.0901192538441475
198358,2020-04-10,Lee,Mississippi,28081.0,41,2,81,Mississippi,Lee,85436,47.989138068261624,1.1704667821527224,2.1737240239979134
198359,2020-04-11,Lee,Mississippi,28081.0,42,3,81,Mississippi,Lee,85436,49.15960485041435,1.1704667821527224,2.0901192538441475
198360,2020-04-12,Lee,Mississippi,28081.0,43,4,81,Mississippi,Lee,85436,50.33007163256707,1.1704667821527224,1.8393049433828497
198361,2020-04-13,Lee,Mississippi,28081.0,46,4,81,Mississippi,Lee,85436,53.841471979025236,3.511400346458167,1.9229097135366156
198362,2020-04-14,Lee,Mississippi,28081.0,46,4,81,Mississippi,Lee,85436,53.841471979025236,0.0,1.8393049433828499
198363,2020-04-15,Lee,Mississippi,28081.0,46,4,81,Mississippi,Lee,85436,53.841471979025236,0.0,1.7557001732290838
198364,2020-04-16,Lee,Mississippi,28081.0,48,4,81,Mississippi,Lee,85436,56.182405543330674,2.3409335643054376,2.006514483690381
198365,2020-04-17,Lee,Mississippi,28081.0,49,4,81,Mississippi,Lee,85436,57.35287232548341,1.1704667821527366,1.922909713536616
198366,2020-04-18,Lee,Mississippi,28081.0,54,4,81,Mississippi,Lee,85436,63.205206236247015,5.852333910763605,2.1737240239979134
198367,2020-04-19,Lee,Mississippi,28081.0,60,4,81,Mississippi,Lee,85436,70.22800692916336,7.022800692916341,2.508143104612977
198368,2020-04-20,Lee,Mississippi,28081.0,63,4,81,Mississippi,Lee,85436,73.73940727562152,3.51140034645816,2.758957415074274
198369,2020-04-21,Lee,Mississippi,28081.0,64,4,81,Mississippi,Lee,85436,74.90987405777423,1.1704667821527153,2.1737240239979125
198370,2020-04-22,Lee,Mississippi,28081.0,64,4,81,Mississippi,Lee,85436,74.90987405777423,0.0,2.0065144836903808
198371,2020-04-23,Lee,Mississippi,28081.0,66,4,81,Mississippi,Lee,85436,77.25080762207968,2.3409335643054447,2.1737240239979125
198372,2020-04-24,Lee,Mississippi,28081.0,70,4,81,Mississippi,Lee,85436,81.93267475069058,4.681867128610904,2.424538334459211
198373,2020-04-25,Lee,Mississippi,28081.0,72,5,81,Mississippi,Lee,85436,84.27360831499603,2.3409335643054447,2.508143104612977
