,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
768614,2020-04-11,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,,,,,,,
768615,2020-04-12,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768616,2020-04-13,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768617,2020-04-14,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768618,2020-04-15,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768619,2020-04-16,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768620,2020-04-17,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,,,,
768621,2020-04-18,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
768622,2020-04-19,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768623,2020-04-20,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768624,2020-04-21,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768625,2020-04-22,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768626,2020-04-23,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768627,2020-04-24,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768628,2020-04-25,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768629,2020-04-26,Andrew,Missouri,29003.0,1,0.0,3,Missouri,Andrew,17712,5.645889792231255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
768630,2020-04-27,Andrew,Missouri,29003.0,2,0.0,3,Missouri,Andrew,17712,11.29177958446251,0.0,0.0,1.0,5.645889792231255,0.0,0.806555684604465,0.0,1.0,4428.0
768631,2020-04-28,Andrew,Missouri,29003.0,2,0.0,3,Missouri,Andrew,17712,11.29177958446251,0.0,0.0,0.0,0.0,0.0,0.806555684604465,0.0,1.0,4428.0
768632,2020-04-29,Andrew,Missouri,29003.0,2,0.0,3,Missouri,Andrew,17712,11.29177958446251,0.0,0.0,0.0,0.0,0.0,0.806555684604465,0.0,1.0,4428.0
768633,2020-04-30,Andrew,Missouri,29003.0,2,0.0,3,Missouri,Andrew,17712,11.29177958446251,0.0,0.0,0.0,0.0,0.0,0.806555684604465,0.0,1.0,4428.0
768634,2020-05-01,Andrew,Missouri,29003.0,3,0.0,3,Missouri,Andrew,17712,16.937669376693766,0.0,0.0,1.0,5.645889792231255,0.0,1.61311136920893,0.0,2.0,2214.0
768635,2020-05-02,Andrew,Missouri,29003.0,3,0.0,3,Missouri,Andrew,17712,16.937669376693766,0.0,0.0,0.0,0.0,0.0,1.61311136920893,0.0,2.0,2214.0
768636,2020-05-03,Andrew,Missouri,29003.0,5,0.0,3,Missouri,Andrew,17712,28.229448961156276,0.0,0.0,2.0,11.29177958446251,0.0,3.22622273841786,0.0,4.0,1107.0
768637,2020-05-04,Andrew,Missouri,29003.0,6,0.0,3,Missouri,Andrew,17712,33.87533875338753,0.0,0.0,1.0,5.645889792231255,0.0,3.22622273841786,0.0,5.0,885.6
768638,2020-05-05,Andrew,Missouri,29003.0,6,0.0,3,Missouri,Andrew,17712,33.87533875338753,0.0,0.0,0.0,0.0,0.0,3.22622273841786,0.0,4.0,1107.0
768639,2020-05-06,Andrew,Missouri,29003.0,6,0.0,3,Missouri,Andrew,17712,33.87533875338753,0.0,0.0,0.0,0.0,0.0,3.22622273841786,0.0,4.0,1107.0
768640,2020-05-07,Andrew,Missouri,29003.0,5,0.0,3,Missouri,Andrew,17712,28.229448961156276,0.0,0.0,-1.0,-5.645889792231255,0.0,2.419667053813395,0.0,3.0,1476.0
768641,2020-05-08,Andrew,Missouri,29003.0,6,0.0,3,Missouri,Andrew,17712,33.87533875338753,0.0,0.0,1.0,5.645889792231255,0.0,2.419667053813395,0.0,4.0,1107.0
768642,2020-05-09,Andrew,Missouri,29003.0,7,0.0,3,Missouri,Andrew,17712,39.52122854561879,0.0,0.0,1.0,5.645889792231259,0.0,3.2262227384178606,0.0,4.0,1107.0
768643,2020-05-10,Andrew,Missouri,29003.0,8,0.0,3,Missouri,Andrew,17712,45.16711833785004,0.0,0.0,1.0,5.645889792231252,0.0,2.419667053813395,0.0,5.0,885.6
768644,2020-05-11,Andrew,Missouri,29003.0,8,0.0,3,Missouri,Andrew,17712,45.16711833785004,0.0,0.0,0.0,0.0,0.0,1.61311136920893,0.0,3.0,1476.0
768645,2020-05-12,Andrew,Missouri,29003.0,8,0.0,3,Missouri,Andrew,17712,45.16711833785004,0.0,0.0,0.0,0.0,0.0,1.61311136920893,0.0,2.0,2214.0
768646,2020-05-13,Andrew,Missouri,29003.0,11,0.0,3,Missouri,Andrew,17712,62.10478771454381,0.0,0.0,3.0,16.93766937669377,0.0,4.032778423022326,0.0,5.0,885.6
768647,2020-05-14,Andrew,Missouri,29003.0,11,0.0,3,Missouri,Andrew,17712,62.10478771454381,0.0,0.0,0.0,0.0,0.0,4.839334107626791,0.0,5.0,885.6
768648,2020-05-15,Andrew,Missouri,29003.0,14,0.0,3,Missouri,Andrew,17712,79.04245709123758,0.0,0.0,3.0,16.93766937669377,0.0,6.452445476835722,0.0,9.0,491.99999999999994
768649,2020-05-16,Andrew,Missouri,29003.0,14,0.0,3,Missouri,Andrew,17712,79.04245709123758,0.0,0.0,0.0,0.0,0.0,5.645889792231257,0.0,8.0,553.5
