,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
280489,2020-03-23,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,,
280490,2020-03-24,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,0.0,
280491,2020-03-25,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,0.0,
280492,2020-03-26,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,0.0,
280493,2020-03-27,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,0.0,
280494,2020-03-28,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,,0.0,
280495,2020-03-29,Clinton,Missouri,29049.0,1,0,49,Missouri,Clinton,20387,4.905086574778045,4.905086574778045,0.0,
280496,2020-03-30,Clinton,Missouri,29049.0,4,0,49,Missouri,Clinton,20387,19.62034629911218,7.007266535397208,14.715259724334135,2.102179960619162
280497,2020-03-31,Clinton,Missouri,29049.0,4,0,49,Missouri,Clinton,20387,19.62034629911218,9.10944649601637,0.0,2.102179960619162
280498,2020-04-01,Clinton,Missouri,29049.0,5,0,49,Missouri,Clinton,20387,24.525432873890225,11.912353110175255,4.905086574778043,2.8029066141588825
280499,2020-04-02,Clinton,Missouri,29049.0,6,0,49,Missouri,Clinton,20387,29.43051944866827,15.415986377873859,4.905086574778046,3.5036332676986035
280500,2020-04-03,Clinton,Missouri,29049.0,8,0,49,Missouri,Clinton,20387,39.24069259822436,20.321072952651907,9.810173149556093,4.905086574778045
280501,2020-04-04,Clinton,Missouri,29049.0,7,0,49,Missouri,Clinton,20387,34.33560602344632,24.525432873890228,-4.905086574778046,4.204359921238324
280502,2020-04-05,Clinton,Missouri,29049.0,7,0,49,Missouri,Clinton,20387,34.33560602344632,28.729792795128557,0.0,4.204359921238324
280503,2020-04-06,Clinton,Missouri,29049.0,8,0,49,Missouri,Clinton,20387,39.24069259822436,31.53269940928744,4.905086574778046,2.802906614158883
280504,2020-04-07,Clinton,Missouri,29049.0,8,0,49,Missouri,Clinton,20387,39.24069259822436,34.335606023446324,0.0,2.802906614158883
280505,2020-04-08,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,38.539965944684646,14.715259724334132,4.204359921238325
280506,2020-04-09,Clinton,Missouri,29049.0,9,0,49,Missouri,Clinton,20387,44.1457791730024,40.6421459053038,-9.810173149556093,2.102179960619162
280507,2020-04-10,Clinton,Missouri,29049.0,10,0,49,Missouri,Clinton,20387,49.05086574778045,42.04359921238324,4.905086574778046,1.4014533070794413
280508,2020-04-11,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,44.84650582654213,4.905086574778046,2.802906614158883
280509,2020-04-12,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,47.64941244070102,0.0,2.802906614158883
280510,2020-04-13,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,49.75159240132018,0.0,2.102179960619162
280511,2020-04-14,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,51.85377236193934,0.0,2.102179960619162
280512,2020-04-15,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,51.85377236193934,0.0,5.075305255429287e-16
280513,2020-04-16,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.25522566901879,0.0,1.4014533070794424
280514,2020-04-17,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,0.7007266535397214
280515,2020-04-18,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280516,2020-04-19,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280517,2020-04-20,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280518,2020-04-21,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280519,2020-04-22,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280520,2020-04-23,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280521,2020-04-24,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280522,2020-04-25,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280523,2020-04-26,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280524,2020-04-27,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280525,2020-04-28,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280526,2020-04-29,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280527,2020-04-30,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280528,2020-05-01,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280529,2020-05-02,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280530,2020-05-03,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280531,2020-05-04,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280532,2020-05-05,Clinton,Missouri,29049.0,11,0,49,Missouri,Clinton,20387,53.955952322558495,53.95595232255852,0.0,5.075305255429287e-16
280533,2020-05-06,Clinton,Missouri,29049.0,13,0,49,Missouri,Clinton,20387,63.76612547211459,55.35740562963796,9.810173149556093,1.4014533070794424
280534,2020-05-07,Clinton,Missouri,29049.0,13,0,49,Missouri,Clinton,20387,63.76612547211459,56.758858936717395,0.0,1.4014533070794424
280535,2020-05-08,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,58.86103889733656,4.905086574778046,2.1021799606191633
280536,2020-05-09,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,60.963218857955724,0.0,2.1021799606191633
280537,2020-05-10,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,63.065398818574884,0.0,2.1021799606191633
280538,2020-05-11,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,65.16757877919405,0.0,2.1021799606191633
280539,2020-05-12,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,67.26975873981321,0.0,2.1021799606191633
280540,2020-05-13,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,67.97048539335294,0.0,0.7007266535397214
280541,2020-05-14,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,68.67121204689265,0.0,0.7007266535397214
280542,2020-05-15,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,68.67121204689265,0.0,5.075305255429287e-16
280543,2020-05-16,Clinton,Missouri,29049.0,14,0,49,Missouri,Clinton,20387,68.67121204689263,68.67121204689265,0.0,5.075305255429287e-16
280544,2020-05-17,Clinton,Missouri,29049.0,17,0,49,Missouri,Clinton,20387,83.38647177122675,70.77339200751182,14.715259724334118,2.1021799606191602
280545,2020-05-18,Clinton,Missouri,29049.0,17,0,49,Missouri,Clinton,20387,83.38647177122675,72.87557196813098,0.0,2.1021799606191602
280546,2020-05-19,Clinton,Missouri,29049.0,17,0,49,Missouri,Clinton,20387,83.38647177122675,74.97775192875015,0.0,2.1021799606191602
280547,2020-05-20,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,77.78065854290902,4.905086574778053,2.802906614158882
280548,2020-05-21,Clinton,Missouri,29049.0,16,0,49,Missouri,Clinton,20387,78.48138519644873,79.18211184998847,-9.810173149556078,1.4014533070794424
280549,2020-05-22,Clinton,Missouri,29049.0,16,0,49,Missouri,Clinton,20387,78.48138519644873,80.58356515706792,0.0,1.4014533070794424
280550,2020-05-23,Clinton,Missouri,29049.0,17,0,49,Missouri,Clinton,20387,83.38647177122675,82.68574511768709,4.905086574778025,2.1021799606191602
280551,2020-05-24,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,83.3864717712268,4.905086574778053,0.7007266535397224
280552,2020-05-25,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,84.08719842476651,0.0,0.7007266535397224
280553,2020-05-26,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,84.78792507830623,0.0,0.7007266535397224
280554,2020-05-27,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,84.78792507830623,0.0,5.075305255429287e-16
280555,2020-05-28,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,86.18937838538567,0.0,1.4014533070794404
280556,2020-05-29,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,87.5908316924651,0.0,1.4014533070794404
280557,2020-05-30,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,88.2915583460048,0.0,0.7007266535397224
280558,2020-05-31,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,88.2915583460048,0.0,5.075305255429287e-16
280559,2020-06-01,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,88.2915583460048,0.0,5.075305255429287e-16
280560,2020-06-02,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,88.2915583460048,0.0,5.075305255429287e-16
280561,2020-06-03,Clinton,Missouri,29049.0,18,0,49,Missouri,Clinton,20387,88.2915583460048,88.2915583460048,0.0,5.075305255429287e-16
280562,2020-06-04,Clinton,Missouri,29049.0,20,0,49,Missouri,Clinton,20387,98.1017314955609,89.69301165308426,9.810173149556093,1.4014533070794424
280563,2020-06-05,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,90.39373830662399,-4.905086574778053,0.7007266535397204
280564,2020-06-06,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,91.09446496016372,0.0,0.7007266535397204
280565,2020-06-07,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,91.79519161370345,0.0,0.7007266535397204
280566,2020-06-08,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,92.49591826724318,0.0,0.7007266535397204
280567,2020-06-09,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,93.19664492078292,0.0,0.7007266535397204
280568,2020-06-10,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,93.89737157432265,0.0,0.7007266535397204
280569,2020-06-11,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,93.19664492078293,0.0,-0.7007266535397214
280570,2020-06-12,Clinton,Missouri,29049.0,19,0,49,Missouri,Clinton,20387,93.19664492078284,93.19664492078293,0.0,5.075305255429287e-16
280571,2020-06-13,Clinton,Missouri,29049.0,20,0,49,Missouri,Clinton,20387,98.1017314955609,93.89737157432265,4.905086574778053,0.7007266535397224
280572,2020-06-14,Clinton,Missouri,29049.0,20,0,49,Missouri,Clinton,20387,98.1017314955609,94.59809822786237,0.0,0.7007266535397224
280573,2020-06-15,Clinton,Missouri,29049.0,21,0,49,Missouri,Clinton,20387,103.00681807033894,95.9995515349418,4.905086574778039,1.4014533070794424
280574,2020-06-16,Clinton,Missouri,29049.0,21,0,49,Missouri,Clinton,20387,103.00681807033894,97.40100484202124,0.0,1.4014533070794424
280575,2020-06-17,Clinton,Missouri,29049.0,21,0,49,Missouri,Clinton,20387,103.00681807033894,98.80245814910066,0.0,1.4014533070794424
280576,2020-06-18,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,101.60536476325954,9.810173149556093,2.8029066141588843
280577,2020-06-19,Clinton,Missouri,29049.0,22,0,49,Missouri,Clinton,20387,107.91190464511699,103.70754472387871,-4.905086574778039,2.1021799606191642
280578,2020-06-20,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,105.80972468449787,4.905086574778039,2.102179960619162
280579,2020-06-21,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,107.91190464511703,0.0,2.102179960619162
280580,2020-06-22,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,109.31335795219648,0.0,1.4014533070794424
280581,2020-06-23,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,110.71481125927593,0.0,1.4014533070794424
280582,2020-06-24,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.11626456635538,0.0,1.4014533070794424
280583,2020-06-25,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.11626456635538,0.0,5.075305255429287e-16
280584,2020-06-26,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.81699121989509,0.0,0.7007266535397204
280585,2020-06-27,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.81699121989509,0.0,5.075305255429287e-16
280586,2020-06-28,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.81699121989509,0.0,5.075305255429287e-16
280587,2020-06-29,Clinton,Missouri,29049.0,23,0,49,Missouri,Clinton,20387,112.81699121989503,112.81699121989509,0.0,5.075305255429287e-16
280588,2020-06-30,Clinton,Missouri,29049.0,25,0,49,Missouri,Clinton,20387,122.62716436945112,114.21844452697454,9.810173149556093,1.4014533070794424
280589,2020-07-01,Clinton,Missouri,29049.0,25,0,49,Missouri,Clinton,20387,122.62716436945112,115.61989783405397,0.0,1.4014533070794424
280590,2020-07-02,Clinton,Missouri,29049.0,26,0,49,Missouri,Clinton,20387,127.53225094422918,117.72207779467314,4.905086574778053,2.1021799606191642
280591,2020-07-03,Clinton,Missouri,29049.0,28,0,49,Missouri,Clinton,20387,137.34242409378527,121.22571106237173,9.810173149556093,3.503633267698606
280592,2020-07-04,Clinton,Missouri,29049.0,29,0,49,Missouri,Clinton,20387,142.2475106685633,125.43007098361007,4.905086574778039,4.204359921238326
280593,2020-07-05,Clinton,Missouri,29049.0,29,0,49,Missouri,Clinton,20387,142.2475106685633,129.6344309048484,0.0,4.204359921238326
280594,2020-07-06,Clinton,Missouri,29049.0,28,0,49,Missouri,Clinton,20387,137.34242409378527,133.138064172547,-4.905086574778039,3.503633267698606
280595,2020-07-07,Clinton,Missouri,29049.0,29,0,49,Missouri,Clinton,20387,142.2475106685633,135.9409707867059,4.905086574778039,2.8029066141588843
280596,2020-07-08,Clinton,Missouri,29049.0,31,0,49,Missouri,Clinton,20387,152.0576838181194,140.1453307079442,9.810173149556078,4.204359921238324
280597,2020-07-09,Clinton,Missouri,29049.0,31,0,49,Missouri,Clinton,20387,152.0576838181194,143.6489639756428,0.0,3.503633267698602
280598,2020-07-10,Clinton,Missouri,29049.0,33,0,49,Missouri,Clinton,20387,161.8678569676755,147.1525972433414,9.810173149556107,3.5036332676986035
280599,2020-07-11,Clinton,Missouri,29049.0,33,0,49,Missouri,Clinton,20387,161.8678569676755,149.95550385750025,0.0,2.8029066141588834
280600,2020-07-12,Clinton,Missouri,29049.0,33,0,49,Missouri,Clinton,20387,161.8678569676755,152.75841047165912,0.0,2.8029066141588834
280601,2020-07-13,Clinton,Missouri,29049.0,33,0,49,Missouri,Clinton,20387,161.8678569676755,156.26204373935772,0.0,3.5036332676986035
280602,2020-07-14,Clinton,Missouri,29049.0,35,0,49,Missouri,Clinton,20387,171.67803011723157,160.46640366059606,9.810173149556078,4.204359921238323
280603,2020-07-15,Clinton,Missouri,29049.0,36,0,49,Missouri,Clinton,20387,176.5831166920096,163.97003692829463,4.905086574778039,3.5036332676986035
280604,2020-07-16,Clinton,Missouri,29049.0,36,0,49,Missouri,Clinton,20387,176.5831166920096,167.47367019599324,0.0,3.5036332676986035
280605,2020-07-17,Clinton,Missouri,29049.0,38,0,49,Missouri,Clinton,20387,186.3932898415657,170.97730346369184,9.810173149556078,3.5036332676985995
280606,2020-07-18,Clinton,Missouri,29049.0,38,0,49,Missouri,Clinton,20387,186.3932898415657,174.48093673139041,0.0,3.5036332676985995
280607,2020-07-19,Clinton,Missouri,29049.0,36,0,49,Missouri,Clinton,20387,176.5831166920096,176.58311669200955,-9.810173149556078,2.10217996061916
280608,2020-07-20,Clinton,Missouri,29049.0,38,0,49,Missouri,Clinton,20387,186.3932898415657,180.08674995970816,9.810173149556078,3.5036332676985995
280609,2020-07-21,Clinton,Missouri,29049.0,42,0,49,Missouri,Clinton,20387,206.01363614067787,184.99183653448617,19.620346299112185,4.905086574778044
280610,2020-07-22,Clinton,Missouri,29049.0,43,0,49,Missouri,Clinton,20387,210.9187227154559,189.89692310926424,4.905086574778039,4.905086574778044
280611,2020-07-23,Clinton,Missouri,29049.0,46,0,49,Missouri,Clinton,20387,225.63398243979006,196.90418964466147,14.715259724334146,7.007266535397207
280612,2020-07-24,Clinton,Missouri,29049.0,50,0,49,Missouri,Clinton,20387,245.25432873890225,205.31290948713809,19.620346299112185,8.408719842476652
280613,2020-07-25,Clinton,Missouri,29049.0,53,0,49,Missouri,Clinton,20387,259.9695884632364,215.82380929023387,14.715259724334146,10.510899803095814
280614,2020-07-26,Clinton,Missouri,29049.0,53,0,49,Missouri,Clinton,20387,259.9695884632364,227.7361624004091,0.0,11.912353110175255
