,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
677735,2020-04-03,Saline,Missouri,29195.0,2,0.0,195,Missouri,Saline,22761,8.786960151135714,0.0,0.0,,,,,,,
677736,2020-04-04,Saline,Missouri,29195.0,2,0.0,195,Missouri,Saline,22761,8.786960151135714,0.0,0.0,0.0,0.0,0.0,,,,
677737,2020-04-05,Saline,Missouri,29195.0,3,0.0,195,Missouri,Saline,22761,13.180440226703572,0.0,0.0,1.0,4.393480075567858,0.0,,,,
677738,2020-04-06,Saline,Missouri,29195.0,3,0.0,195,Missouri,Saline,22761,13.180440226703572,0.0,0.0,0.0,0.0,0.0,,,,
677739,2020-04-07,Saline,Missouri,29195.0,5,0.0,195,Missouri,Saline,22761,21.967400377839287,0.0,0.0,2.0,8.786960151135714,0.0,,,,
677740,2020-04-08,Saline,Missouri,29195.0,7,0.0,195,Missouri,Saline,22761,30.754360528975003,0.0,0.0,2.0,8.786960151135716,0.0,,,,
677741,2020-04-09,Saline,Missouri,29195.0,11,0.0,195,Missouri,Saline,22761,48.32828083124643,0.0,0.0,4.0,17.57392030227143,0.0,,,,
677742,2020-04-10,Saline,Missouri,29195.0,18,0.0,195,Missouri,Saline,22761,79.08264136022143,0.0,0.0,7.0,30.754360528975,0.0,10.042240172726531,0.0,,
677743,2020-04-11,Saline,Missouri,29195.0,22,0.0,195,Missouri,Saline,22761,96.65656166249286,0.0,0.0,4.0,17.573920302271432,0.0,12.552800215908164,0.0,20.0,284.5125
677744,2020-04-12,Saline,Missouri,29195.0,22,0.0,195,Missouri,Saline,22761,96.65656166249286,0.0,0.0,0.0,0.0,0.0,11.925160205112755,0.0,20.0,284.5125
677745,2020-04-13,Saline,Missouri,29195.0,23,0.0,195,Missouri,Saline,22761,101.05004173806071,0.0,0.0,1.0,4.393480075567851,0.0,12.552800215908162,0.0,20.0,284.5125
677746,2020-04-14,Saline,Missouri,29195.0,35,0.0,195,Missouri,Saline,22761,153.771802644875,0.0,0.0,12.0,52.721760906814296,0.0,18.829200323862246,0.0,32.0,177.8203125
677747,2020-04-15,Saline,Missouri,29195.0,44,0.0,195,Missouri,Saline,22761,193.31312332498572,0.0,0.0,9.0,39.541320680110715,0.0,23.222680399430107,0.0,39.0,145.90384615384613
677748,2020-04-16,Saline,Missouri,29195.0,49,0.0,195,Missouri,Saline,22761,215.280523702825,0.0,0.0,5.0,21.967400377839283,0.0,23.850320410225514,0.0,42.0,135.48214285714286
677749,2020-04-17,Saline,Missouri,29195.0,51,0.0,195,Missouri,Saline,22761,224.06748385396074,0.0,0.0,2.0,8.78696015113573,0.0,20.712120356248477,0.0,40.0,142.25625
677750,2020-04-18,Saline,Missouri,29195.0,51,0.0,195,Missouri,Saline,22761,224.06748385396074,0.0,0.0,0.0,0.0,0.0,18.201560313066842,0.0,33.0,172.4318181818182
677751,2020-04-19,Saline,Missouri,29195.0,54,0.0,195,Missouri,Saline,22761,237.24792408066432,0.0,0.0,3.0,13.180440226703581,0.0,20.08448034545307,0.0,32.0,177.8203125
677752,2020-04-20,Saline,Missouri,29195.0,54,0.0,195,Missouri,Saline,22761,237.24792408066432,0.0,0.0,0.0,0.0,0.0,19.456840334657663,0.0,32.0,177.8203125
677753,2020-04-21,Saline,Missouri,29195.0,54,0.0,195,Missouri,Saline,22761,237.24792408066432,0.0,0.0,0.0,0.0,0.0,11.925160205112762,0.0,31.0,183.55645161290323
677754,2020-04-22,Saline,Missouri,29195.0,55,0.0,195,Missouri,Saline,22761,241.64140415623217,0.0,0.0,1.0,4.393480075567851,0.0,6.904040118749497,0.0,20.0,284.5125
677755,2020-04-23,Saline,Missouri,29195.0,81,0.0,195,Missouri,Saline,22761,355.8718861209964,0.0,0.0,26.0,114.23048196476424,0.0,20.084480345453063,0.0,37.0,153.79054054054055
677756,2020-04-24,Saline,Missouri,29195.0,139,0.0,195,Missouri,Saline,22761,610.6937305039322,0.0,0.0,58.0,254.8218443829358,0.0,55.23232094999592,0.0,90.0,63.225
677757,2020-04-25,Saline,Missouri,29195.0,143,0.0,195,Missouri,Saline,22761,628.2676508062036,0.0,0.0,4.0,17.573920302271404,0.0,57.74288099317755,0.0,92.0,61.85054347826087
677758,2020-04-26,Saline,Missouri,29195.0,159,0.0,195,Missouri,Saline,22761,698.5633320152892,0.0,0.0,16.0,70.29568120908561,0.0,65.90220113351783,0.0,108.0,52.68749999999999
677759,2020-04-27,Saline,Missouri,29195.0,168,0.0,195,Missouri,Saline,22761,738.1046526954,0.0,0.0,9.0,39.54132068011074,0.0,71.55096123067652,0.0,114.0,49.91447368421053
677760,2020-04-28,Saline,Missouri,29195.0,170,0.0,195,Missouri,Saline,22761,746.8916128465357,0.0,0.0,2.0,8.786960151135759,0.0,72.80624125226734,0.0,116.0,49.05387931034483
677761,2020-04-29,Saline,Missouri,29195.0,182,0.0,195,Missouri,Saline,22761,799.6133737533501,0.0,0.0,12.0,52.721760906814325,0.0,79.71028137101685,0.0,128.0,44.455078125
677762,2020-04-30,Saline,Missouri,29195.0,184,0.0,195,Missouri,Saline,22761,808.4003339044857,0.0,0.0,2.0,8.786960151135645,0.0,64.64692111192704,0.0,129.0,44.11046511627907
677763,2020-05-01,Saline,Missouri,29195.0,190,0.0,195,Missouri,Saline,22761,834.7612143578929,0.0,0.0,6.0,26.360880453407162,0.0,32.009640550565805,0.0,109.0,52.20412844036697
677764,2020-05-02,Saline,Missouri,29195.0,193,0.0,195,Missouri,Saline,22761,847.9416545845964,0.0,0.0,3.0,13.180440226703581,0.0,31.382000539770406,0.0,54.0,105.37499999999999
677765,2020-05-03,Saline,Missouri,29195.0,199,0.0,195,Missouri,Saline,22761,874.3025350380035,0.0,0.0,6.0,26.36088045340705,0.0,25.105600431816324,0.0,56.0,101.61160714285714
677766,2020-05-04,Saline,Missouri,29195.0,204,0.0,195,Missouri,Saline,22761,896.269935415843,0.0,0.0,5.0,21.967400377839454,0.0,22.59504038863471,0.0,45.0,126.45
677767,2020-05-05,Saline,Missouri,29195.0,205,0.0,195,Missouri,Saline,22761,900.6634154914107,0.0,0.0,1.0,4.393480075567709,0.0,21.967400377839276,0.0,37.0,153.79054054054055
677768,2020-05-06,Saline,Missouri,29195.0,208,0.0,195,Missouri,Saline,22761,913.8438557181144,0.0,0.0,3.0,13.180440226703695,0.0,16.318640280680615,0.0,38.0,149.74342105263156
677769,2020-05-07,Saline,Missouri,29195.0,208,0.0,195,Missouri,Saline,22761,913.8438557181144,0.0,0.0,0.0,0.0,0.0,15.063360259089807,0.0,26.0,218.85576923076923
677770,2020-05-08,Saline,Missouri,29195.0,214,0.0,195,Missouri,Saline,22761,940.2047361715215,0.0,0.0,6.0,26.360880453407162,0.0,15.063360259089807,0.0,30.0,189.675
677771,2020-05-09,Saline,Missouri,29195.0,215,0.0,195,Missouri,Saline,22761,944.5982162470893,0.0,0.0,1.0,4.3934800755678225,0.0,13.808080237498984,0.0,25.0,227.60999999999999
677772,2020-05-10,Saline,Missouri,29195.0,219,0.0,195,Missouri,Saline,22761,962.1721365493607,0.0,0.0,4.0,17.573920302271404,0.0,12.552800215908178,0.0,26.0,218.85576923076923
677773,2020-05-11,Saline,Missouri,29195.0,219,0.0,195,Missouri,Saline,22761,962.1721365493607,0.0,0.0,0.0,0.0,0.0,9.414600161931114,0.0,20.0,284.5125
677774,2020-05-12,Saline,Missouri,29195.0,219,0.0,195,Missouri,Saline,22761,962.1721365493607,0.0,0.0,0.0,0.0,0.0,8.786960151135727,0.0,15.0,379.35
677775,2020-05-13,Saline,Missouri,29195.0,224,0.0,195,Missouri,Saline,22761,984.1395369272001,0.0,0.0,5.0,21.96740037783934,0.0,10.042240172726533,0.0,19.0,299.4868421052631
677776,2020-05-14,Saline,Missouri,29195.0,224,0.0,195,Missouri,Saline,22761,984.1395369272001,0.0,0.0,0.0,0.0,0.0,10.042240172726533,0.0,16.0,355.640625
677777,2020-05-15,Saline,Missouri,29195.0,225,0.0,195,Missouri,Saline,22761,988.5330170027679,0.0,0.0,1.0,4.3934800755678225,0.0,6.904040118749484,0.0,17.0,334.72058823529414
677778,2020-05-16,Saline,Missouri,29195.0,241,0.0,195,Missouri,Saline,22761,1058.8286982118536,0.0,0.0,16.0,70.29568120908573,0.0,16.318640280680615,0.0,27.0,210.74999999999997
677779,2020-05-17,Saline,Missouri,29195.0,246,0.0,195,Missouri,Saline,22761,1080.7960985896927,0.0,0.0,5.0,21.967400377839112,0.0,16.946280291476,0.0,31.0,183.55645161290323
677780,2020-05-18,Saline,Missouri,29195.0,249,0.0,195,Missouri,Saline,22761,1093.9765388163964,0.0,0.0,3.0,13.180440226703695,0.0,18.829200323862242,0.0,30.0,189.675
677781,2020-05-19,Saline,Missouri,29195.0,253,0.0,195,Missouri,Saline,22761,1111.550459118668,0.0,0.0,4.0,17.573920302271517,0.0,21.339760367043887,0.0,34.0,167.36029411764707
677782,2020-05-20,Saline,Missouri,29195.0,256,0.0,195,Missouri,Saline,22761,1124.7308993453714,0.0,0.0,3.0,13.180440226703467,0.0,20.08448034545305,0.0,37.0,153.79054054054055
677783,2020-05-21,Saline,Missouri,29195.0,256,0.0,195,Missouri,Saline,22761,1124.7308993453714,0.0,0.0,0.0,0.0,0.0,20.08448034545305,0.0,32.0,177.8203125
677784,2020-05-22,Saline,Missouri,29195.0,260,0.0,195,Missouri,Saline,22761,1142.304819647643,0.0,0.0,4.0,17.573920302271517,0.0,21.96740037783929,0.0,36.0,158.0625
677785,2020-05-23,Saline,Missouri,29195.0,263,0.0,195,Missouri,Saline,22761,1155.4852598743466,0.0,0.0,3.0,13.180440226703695,0.0,13.808080237499,0.0,38.0,149.74342105263156
