,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
869498,2020-06-20,Dawson,Montana,30021.0,1,0.0,21,Montana,Dawson,8613,11.610356437942645,0.0,0.0,,,,,,,
869499,2020-06-21,Dawson,Montana,30021.0,1,0.0,21,Montana,Dawson,8613,11.610356437942645,0.0,0.0,0.0,0.0,0.0,,,,
869500,2020-06-22,Dawson,Montana,30021.0,1,0.0,21,Montana,Dawson,8613,11.610356437942645,0.0,0.0,0.0,0.0,0.0,,,,
869501,2020-06-23,Dawson,Montana,30021.0,2,0.0,21,Montana,Dawson,8613,23.22071287588529,0.0,0.0,1.0,11.610356437942645,0.0,,,,
869502,2020-06-24,Dawson,Montana,30021.0,3,0.0,21,Montana,Dawson,8613,34.83106931382794,0.0,0.0,1.0,11.610356437942649,0.0,,,,
869503,2020-06-25,Dawson,Montana,30021.0,9,0.0,21,Montana,Dawson,8613,104.49320794148382,0.0,0.0,6.0,69.66213862765588,0.0,,,,
869504,2020-06-26,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,-1.0,-11.610356437942656,0.0,,,,
869505,2020-06-27,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,11.610356437942645,0.0,,
869506,2020-06-28,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,11.610356437942645,0.0,7.0,307.60714285714283
869507,2020-06-29,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,11.610356437942645,0.0,7.0,307.60714285714283
869508,2020-06-30,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,9.951734089665125,0.0,7.0,307.60714285714283
869509,2020-07-01,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,8.293111741387603,0.0,6.0,358.875
869510,2020-07-02,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,-1.6586223482775213,0.0,5.0,430.65
869511,2020-07-03,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,1.0150610510858574e-15,0.0,-1.0,-2153.25
869512,2020-07-04,Dawson,Montana,30021.0,8,0.0,21,Montana,Dawson,8613,92.88285150354116,0.0,0.0,0.0,0.0,0.0,1.0150610510858574e-15,0.0,0.0,inf
