,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
696821,2020-06-18,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,,
696822,2020-06-19,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696823,2020-06-20,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696824,2020-06-21,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696825,2020-06-22,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696826,2020-06-23,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696827,2020-06-24,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696828,2020-06-25,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696829,2020-06-26,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696830,2020-06-27,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696831,2020-06-28,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696832,2020-06-29,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696833,2020-06-30,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696834,2020-07-01,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,
696835,2020-07-02,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696836,2020-07-03,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696837,2020-07-04,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696838,2020-07-05,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696839,2020-07-06,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696840,2020-07-07,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696841,2020-07-08,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696842,2020-07-09,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696843,2020-07-10,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696844,2020-07-11,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696845,2020-07-12,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696846,2020-07-13,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
696847,2020-07-14,Fergus,Montana,30027.0,2,0,27,Montana,Fergus,11050,18.099547511312217,0.0,0.0
