,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
712017,2020-10-05,Petroleum,Montana,30069.0,1,0,69,Montana,Petroleum,487,205.3388090349076,,
712018,2020-10-06,Petroleum,Montana,30069.0,1,0,69,Montana,Petroleum,487,205.3388090349076,0.0,
712019,2020-10-07,Petroleum,Montana,30069.0,1,0,69,Montana,Petroleum,487,205.3388090349076,0.0,
712020,2020-10-08,Petroleum,Montana,30069.0,1,0,69,Montana,Petroleum,487,205.3388090349076,0.0,
712021,2020-10-09,Petroleum,Montana,30069.0,1,0,69,Montana,Petroleum,487,205.3388090349076,0.0,
712022,2020-10-10,Petroleum,Montana,30069.0,2,0,69,Montana,Petroleum,487,410.6776180698152,205.3388090349076,
712023,2020-10-11,Petroleum,Montana,30069.0,2,0,69,Montana,Petroleum,487,410.6776180698152,0.0,
712024,2020-10-12,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,205.33880903490757,
712025,2020-10-13,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712026,2020-10-14,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712027,2020-10-15,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712028,2020-10-16,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712029,2020-10-17,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712030,2020-10-18,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,
712031,2020-10-19,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,29.334115576415368
712032,2020-10-20,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,29.334115576415368
712033,2020-10-21,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,29.334115576415368
712034,2020-10-22,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,29.334115576415368
712035,2020-10-23,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,29.334115576415368
712036,2020-10-24,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,14.667057788207682
712037,2020-10-25,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,14.667057788207682
712038,2020-10-26,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712039,2020-10-27,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712040,2020-10-28,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712041,2020-10-29,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712042,2020-10-30,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712043,2020-10-31,Petroleum,Montana,30069.0,3,0,69,Montana,Petroleum,487,616.0164271047228,0.0,0.0
712044,2020-11-01,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,205.33880903490763,14.667057788207686
712045,2020-11-02,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207686
712046,2020-11-03,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207686
712047,2020-11-04,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207686
712048,2020-11-05,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207686
712049,2020-11-06,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207686
712050,2020-11-07,Petroleum,Montana,30069.0,5,0,69,Montana,Petroleum,487,1026.694045174538,205.3388090349075,29.334115576415368
712051,2020-11-08,Petroleum,Montana,30069.0,5,0,69,Montana,Petroleum,487,1026.694045174538,0.0,29.334115576415368
712052,2020-11-09,Petroleum,Montana,30069.0,5,0,69,Montana,Petroleum,487,1026.694045174538,0.0,29.334115576415368
712053,2020-11-10,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,-205.3388090349075,14.667057788207687
712054,2020-11-11,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207687
712055,2020-11-12,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,0.0,14.667057788207687
712056,2020-11-13,Petroleum,Montana,30069.0,5,0,69,Montana,Petroleum,487,1026.694045174538,205.3388090349075,29.334115576415368
712057,2020-11-14,Petroleum,Montana,30069.0,4,0,69,Montana,Petroleum,487,821.3552361396304,-205.3388090349075,14.667057788207687
712058,2020-11-15,Petroleum,Montana,30069.0,5,0,69,Montana,Petroleum,487,1026.694045174538,205.3388090349075,14.66705778820768
