,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
798327,2020-04-24,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,,,,,,,
798328,2020-04-25,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798329,2020-04-26,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798330,2020-04-27,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798331,2020-04-28,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798332,2020-04-29,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798333,2020-04-30,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,,,,
798334,2020-05-01,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
798335,2020-05-02,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798336,2020-05-03,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798337,2020-05-04,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798338,2020-05-05,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798339,2020-05-06,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798340,2020-05-07,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798341,2020-05-08,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798342,2020-05-09,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798343,2020-05-10,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798344,2020-05-11,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798345,2020-05-12,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798346,2020-05-13,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798347,2020-05-14,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798348,2020-05-15,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798349,2020-05-16,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798350,2020-05-17,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798351,2020-05-18,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798352,2020-05-19,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798353,2020-05-20,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798354,2020-05-21,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798355,2020-05-22,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798356,2020-05-23,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798357,2020-05-24,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798358,2020-05-25,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798359,2020-05-26,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798360,2020-05-27,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798361,2020-05-28,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798362,2020-05-29,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798363,2020-05-30,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798364,2020-05-31,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798365,2020-06-01,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798366,2020-06-02,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
798367,2020-06-03,Wheatland,Montana,30107.0,1,0.0,107,Montana,Wheatland,2126,47.03668861712136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
