,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
787219,2020-06-05,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,,,,,,,
787220,2020-06-06,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787221,2020-06-07,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787222,2020-06-08,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787223,2020-06-09,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787224,2020-06-10,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787225,2020-06-11,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,,,,
787226,2020-06-12,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
787227,2020-06-13,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787228,2020-06-14,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787229,2020-06-15,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787230,2020-06-16,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787231,2020-06-17,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787232,2020-06-18,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787233,2020-06-19,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
787234,2020-06-20,Garfield,Nebraska,31071.0,1,0.0,71,Nebraska,Garfield,1969,50.78720162519045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
