,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
622851,2020-04-14,Saline,Nebraska,31151.0,1,0,151,Nebraska,Saline,14224,7.030371203599551,,
622852,2020-04-15,Saline,Nebraska,31151.0,1,0,151,Nebraska,Saline,14224,7.030371203599551,0.0,
622853,2020-04-16,Saline,Nebraska,31151.0,3,0,151,Nebraska,Saline,14224,21.09111361079865,14.0607424071991,
622854,2020-04-17,Saline,Nebraska,31151.0,4,0,151,Nebraska,Saline,14224,28.121484814398205,7.030371203599554,
622855,2020-04-18,Saline,Nebraska,31151.0,6,0,151,Nebraska,Saline,14224,42.1822272215973,14.060742407199097,
622856,2020-04-19,Saline,Nebraska,31151.0,7,0,151,Nebraska,Saline,14224,49.21259842519685,7.03037120359955,
622857,2020-04-20,Saline,Nebraska,31151.0,8,0,151,Nebraska,Saline,14224,56.24296962879641,7.030371203599557,
622858,2020-04-21,Saline,Nebraska,31151.0,11,0,151,Nebraska,Saline,14224,77.33408323959505,21.091113610798637,
622859,2020-04-22,Saline,Nebraska,31151.0,16,0,151,Nebraska,Saline,14224,112.48593925759282,35.15185601799777,
622860,2020-04-23,Saline,Nebraska,31151.0,20,0,151,Nebraska,Saline,14224,140.607424071991,28.121484814398187,
622861,2020-04-24,Saline,Nebraska,31151.0,26,0,151,Nebraska,Saline,14224,182.78965129358832,42.182227221597316,
622862,2020-04-25,Saline,Nebraska,31151.0,38,0,151,Nebraska,Saline,14224,267.1541057367829,84.3644544431946,
622863,2020-04-26,Saline,Nebraska,31151.0,60,0,151,Nebraska,Saline,14224,421.82227221597304,154.66816647919012,
622864,2020-04-27,Saline,Nebraska,31151.0,87,0,151,Nebraska,Saline,14224,611.6422947131608,189.82002249718778,
622865,2020-04-28,Saline,Nebraska,31151.0,87,0,151,Nebraska,Saline,14224,611.6422947131608,0.0,43.18656596496866
622866,2020-04-29,Saline,Nebraska,31151.0,107,0,151,Nebraska,Saline,14224,752.2497187851519,140.6074240719911,53.229953398682305
622867,2020-04-30,Saline,Nebraska,31151.0,129,0,151,Nebraska,Saline,14224,906.917885264342,154.66816647919006,63.273340832395945
622868,2020-05-01,Saline,Nebraska,31151.0,194,0,151,Nebraska,Saline,14224,1363.8920134983127,456.97412823397076,95.4121806202796
622869,2020-05-02,Saline,Nebraska,31151.0,196,0,151,Nebraska,Saline,14224,1377.9527559055118,14.060742407199086,95.4121806202796
622870,2020-05-03,Saline,Nebraska,31151.0,212,0,151,Nebraska,Saline,14224,1490.4386951631047,112.48593925759292,102.94472119556484
622871,2020-05-04,Saline,Nebraska,31151.0,264,0,151,Nebraska,Saline,14224,1856.017997750281,365.57930258717624,128.5553591515346
622872,2020-05-05,Saline,Nebraska,31151.0,285,0,151,Nebraska,Saline,14224,2003.6557930258716,147.63779527559063,137.5944078418769
622873,2020-05-06,Saline,Nebraska,31151.0,285,0,151,Nebraska,Saline,14224,2003.6557930258716,0.0,135.08356098344848
622874,2020-05-07,Saline,Nebraska,31151.0,320,0,151,Nebraska,Saline,14224,2249.718785151856,246.06299212598447,150.65081150570464
622875,2020-05-08,Saline,Nebraska,31151.0,320,0,151,Nebraska,Saline,14224,2249.718785151856,0.0,147.63779527559055
622876,2020-05-09,Saline,Nebraska,31151.0,349,0,151,Nebraska,Saline,14224,2453.599550056243,203.88076490438698,156.17467459424714
622877,2020-05-10,Saline,Nebraska,31151.0,349,0,151,Nebraska,Saline,14224,2453.599550056243,0.0,145.12694841716214
622878,2020-05-11,Saline,Nebraska,31151.0,367,0,151,Nebraska,Saline,14224,2580.146231721035,126.54668166479178,140.607424071991
622879,2020-05-12,Saline,Nebraska,31151.0,367,0,151,Nebraska,Saline,14224,2580.146231721035,0.0,140.607424071991
622880,2020-05-13,Saline,Nebraska,31151.0,392,0,151,Nebraska,Saline,14224,2755.9055118110236,175.7592800899888,143.1182709304194
